,x,fu,fubar,fd,fdbar,fs,fsbar
0,0.001,0.3947216866544251,0.4150162621341091,0.4241419485838455,0.4588586845716141,1.0114863273076198,1.0334242182271318
1,0.011090909090909092,0.3281251890802519,0.381549411949879,0.2803140378573063,0.3654858965624628,0.4835104444475544,0.5189209888204906
2,0.021181818181818184,0.40916557277994026,0.3398773211308109,0.3208631304348038,0.33919155837949283,0.3312747111811288,0.3026632218321172
3,0.03127272727272727,0.45947883953909796,0.29149364368763225,0.3354494297192086,0.3102133984901593,0.27996558382641196,0.21564364206365877
4,0.041363636363636366,0.491358305209221,0.2512503627165492,0.3441987720264252,0.2848739702005077,0.25307851475321647,0.17292116272498095
5,0.05145454545454546,0.5104438151294608,0.2184758648178867,0.3435087529980714,0.25982181040067365,0.24037949661763042,0.14999600730382706
6,0.06154545454545455,0.5236056181016595,0.19214351570956578,0.3398534452382258,0.2364063069656365,0.23382093269558846,0.1356666010200186
7,0.07163636363636364,0.5358686874417573,0.17071864775616055,0.33993737970579585,0.2162144576099312,0.22826269744484354,0.1248296271688144
8,0.08172727272727273,0.5487397513098279,0.1529962662269014,0.3407633677170027,0.1989926707594112,0.22164857880242744,0.11547902852295691
9,0.09181818181818183,0.5618186437954766,0.1381466089987626,0.341387205920786,0.18376920572476907,0.21414588820286803,0.107080780891879
10,0.10190909090909092,0.5746027032335165,0.12549845194652193,0.34172045618039126,0.16991139516722295,0.20616664479640287,0.09940281189462957
11,0.112,0.5867787594099981,0.11452813079805732,0.3416515591886219,0.15710549016025413,0.19793331410947956,0.09227360718945603
12,0.1220909090909091,0.5981783919947742,0.1048556091202906,0.3411028164644945,0.14518684129482237,0.18955277071450027,0.08557219012960054
13,0.13218181818181818,0.6086756827769849,0.09619928853862031,0.3400162433528763,0.13405952782133868,0.18109801281209426,0.07922042837353599
14,0.14227272727272727,0.6181929150451017,0.08835742537587392,0.33836189911704695,0.12365497536403713,0.1726271532715584,0.07317225222589517
15,0.15236363636363637,0.6266531095877141,0.08117872645602055,0.3361155037578347,0.11392321402479225,0.1641974085132702,0.06740340258148035
16,0.16245454545454546,0.6339985233648412,0.07455233486245566,0.33326617596532554,0.10482142035398216,0.15585879243380607,0.0619018628621764
17,0.17254545454545456,0.640176390759144,0.06839557245773133,0.3298095731901391,0.0963123838015269,0.14765551952770237,0.05666320855762439
18,0.18263636363636365,0.6451361406539896,0.06264677328382809,0.3257469430087373,0.08836425180075543,0.13962754227270036,0.05168847076577418
19,0.19272727272727275,0.6488448964730342,0.05726045371519926,0.3210888806946755,0.08094559337114518,0.13180357254707997,0.04697827116000288
20,0.20281818181818184,0.6512691551199306,0.052203108424496575,0.3158495486183045,0.07402929525008474,0.12420993524751271,0.042536173383882526
21,0.2129090909090909,0.6523871509705165,0.04745037065463688,0.31004867839102324,0.06758920983945914,0.11686552427319581,0.03836465519546909
22,0.223,0.6521921627010552,0.04298432663985012,0.3037107338534144,0.061599911872828136,0.10978268458847167,0.03446447967909355
23,0.2330909090909091,0.6506811210758826,0.038793252602342954,0.29686261776663336,0.056038286514506534,0.10297171322503951,0.030836950047580056
24,0.2431818181818182,0.6478677911289983,0.03486920466454604,0.2895340387538704,0.0508814707813929,0.09643770182848066,0.027480810372458173
25,0.25327272727272726,0.643777790060592,0.03120746740514952,0.2817558083645918,0.046107409421913506,0.09018211736240783,0.02439272853332247
26,0.26336363636363636,0.6384447388362486,0.027806752527235457,0.27355936634751066,0.04169515259716672,0.0842049031166124,0.021567978563413366
27,0.27345454545454545,0.6319151168960319,0.024666938713987323,0.2649771229922168,0.03762435707904193,0.07850350570079502,0.018999042460366985
28,0.28354545454545454,0.6242413522923956,0.02178727329702547,0.2560403628187839,0.03387526753615082,0.07307296777229226,0.016675848868142815
29,0.29363636363636364,0.6154820900534995,0.01916637085847277,0.2467821402788624,0.030429124735921555,0.06790814892468483,0.014586579529514193
30,0.30372727272727273,0.6056992136883311,0.016799586731083435,0.2372366104014496,0.0272679727935579,0.06300300610291698,0.012717622820845906
31,0.31381818181818183,0.5949568920862315,0.014678176280495236,0.22743858783721338,0.024374705539411307,0.05835046429848523,0.011054288170162813
32,0.3239090909090909,0.583321019900389,0.012790245480291933,0.21742644508634043,0.021733039953287674,0.05394373615911608,0.00958105445746851
33,0.334,0.5708586269099692,0.011121114787267865,0.20724191717409138,0.019327363722354184,0.049775996138850975,0.008281936112100489
34,0.3440909090909091,0.5576353723030468,0.009654819037487229,0.196927752395482,0.017142665400222093,0.04584000192561522,0.007141123669130479
35,0.3541818181818182,0.543717528904917,0.008375091634567273,0.18652843478965123,0.015164477498561877,0.042128657714651255,0.006143276106002194
36,0.3642727272727273,0.5291725106138073,0.007265584147566679,0.17609133042494093,0.013378456845365306,0.03863504258213218,0.00527331494003744
37,0.3743636363636364,0.5140675339088402,0.006310352802258351,0.16566427217572477,0.011770602551954706,0.03535226826782601,0.004517105988279912
38,0.3844545454545455,0.4984672444333978,0.005494239154863994,0.15529239999181074,0.010327438096920391,0.03227333655516203,0.003861826748993816
39,0.3945454545454546,0.48243691575608394,0.004802268126419982,0.14502148396346273,0.009035797048978654,0.029391376868607565,0.003295539726412404
40,0.4046363636363637,0.466042617002339,0.0042197913366755335,0.13489745974790485,0.007882956374175475,0.02669968396865133,0.0028072756778737408
41,0.4147272727272727,0.44934849776566504,0.003732772843050709,0.12496437954970649,0.006856830389217558,0.02419147669114202,0.0023871980030654807
42,0.4248181818181818,0.4324157121959612,0.00332850398729603,0.11526275075795092,0.0059463749594277525,0.021859982433398425,0.0020267943555094736
43,0.4349090909090909,0.41530622926484073,0.002994867113738864,0.10583347822932386,0.005140991944394241,0.019698415933564167,0.001718237956929884
44,0.445,0.3980809727661257,0.002720883163430287,0.09671596874513273,0.00443080033526258,0.01769987222735784,0.0014545854430518337
45,0.4550909090909091,0.38079774175941306,0.002496994330557306,0.08794662139922867,0.0038066520929352274,0.01585730409417528,0.0012297612389794877
46,0.4651818181818182,0.3635121652493901,0.002315154564331921,0.07955765267759475,0.0032603277807260987,0.014163657904751084,0.0010386225147438481
47,0.4752727272727273,0.34627778113587365,0.0021682904225759497,0.0715795694800518,0.0027839490228414223,0.012611576382755459,0.0008765018886977513
48,0.4853636363636364,0.329147743327113,0.0020504441737419954,0.06403966216825804,0.002370211180801993,0.011193620652766311,0.0007393344261582208
49,0.4954545454545455,0.3121713227396257,0.0019566265918047956,0.05696032596237605,0.0020123841038775046,0.009902228456358996,0.0006236161440722045
50,0.5055454545454545,0.2953930661333127,0.0018827275638265207,0.050357875923666195,0.0017044200874398291,0.008729917117352763,0.000526399940217043
51,0.5156363636363637,0.27885707541591925,0.0018250730492784801,0.04424471260896321,0.0014405810423292035,0.00766913721890885,0.0004450167207318197
52,0.5257272727272727,0.26260442195402406,0.0017803682045375907,0.038627581987164525,0.0012155581853702838,0.006712409606218132,0.0003771282810386993
53,0.5358181818181819,0.24667290044278867,0.0017455819355352079,0.033506852994916056,0.0010245144344721482,0.005852408075995558,0.0003207012967667677
54,0.5459090909090909,0.2310958987922525,0.0017179567115466492,0.0288766078335003,0.000863161743393373,0.005082240375130526,0.00027398766317033197
55,0.556,0.21590481181089924,0.00169477872779539,0.0247252774301101,0.0007275201431093975,0.004395138318073717,0.00023542659091228607
56,0.5660909090909091,0.2011291581996893,0.0016733901565754948,0.021035479130162443,0.0006139341363284926,0.0037845685537072366,0.00020361761822185388
57,0.5761818181818182,0.18679600927292273,0.001651294224238606,0.017784299840157877,0.0005191266936563387,0.0032442918832870614,0.00017735478249851876
58,0.5862727272727273,0.17292922641377254,0.0016262329085515738,0.014944606964798423,0.00044022533576057167,0.002768461420716785,0.00015561819203645426
59,0.5963636363636364,0.1595507778513942,0.0015962615730392934,0.012485696533682792,0.0003746634258036273,0.0023514910724950072,0.00013752560525170932
60,0.6064545454545455,0.14668196154079843,0.0015597700852407824,0.01037363727327592,0.00032013843770448353,0.0019879421795491467,0.0001223255748871029
61,0.6165454545454546,0.134342183937075,0.0015156615897306844,0.008573015779332218,0.0002746564869599197,0.001672630477058663,0.00010938692781631054
62,0.6266363636363637,0.12254848571346656,0.0014633892817661719,0.007048589647241789,0.00023654939040032656,0.001400640298047693,9.821161769454818e-05
63,0.6367272727272728,0.11131518152157402,0.0014029401668506948,0.005766990652332662,0.00020444661841181362,0.001167402050844084,8.839664239135812e-05
64,0.6468181818181818,0.1006554367248596,0.0013347351640875416,0.004695802273871433,0.0001771974626583132,0.0009684586200878769,7.963171566214696e-05
65,0.6569090909090909,0.09057976120301771,0.0012596176664299728,0.0038051811458938716,0.0001538702748662095,0.0007996149476921338,7.167757827580204e-05
66,0.667,0.08109569991517672,0.0011787323264787677,0.003068366468070571,0.0001337398431273951,0.0006569946465609032,6.43686185784217e-05
67,0.6770909090909091,0.07220743964972727,0.0010934029180265923,0.002462352314575788,0.00011625737390584343,0.0005371555597536026,5.759973648729296e-05
68,0.6871818181818182,0.06391627871219355,0.0010051028972424274,0.0019666766867862256,0.00010099365396677689,0.000436943626732281,5.1306152419687324e-05
69,0.6972727272727273,0.05622099167069941,0.0009154071483555619,0.0015633665849232867,8.761027053337258e-05,0.0003535182813996545,4.545145121845169e-05
70,0.7073636363636364,0.04911721907437013,0.0008258780557737612,0.0012370132419760563,7.584883055176816e-05,0.0002843838269879834,4.0020948642599844e-05
71,0.7174545454545455,0.04259777318825186,0.0007379946089226049,0.00097456850115203,6.550485053842783e-05,0.00022738473529910095,3.500999657962497e-05
72,0.7275454545454546,0.036652864414461764,0.0006530735348507211,0.0007651348956188265,5.641832742867105e-05,0.00018068432085370596,3.0418039135676114e-05
73,0.7376363636363636,0.0312704233915621,0.0005723172036179553,0.0005991136138882208,4.844424851679771e-05,0.00014263746103835724,2.624114038057223e-05
74,0.7477272727272728,0.026435655550461887,0.0004967281343604391,0.000468357820182634,4.145927437395014e-05,0.00011182089522584827,2.2473161643020393e-05
75,0.7578181818181818,0.02213085617428163,0.0004270758554229902,0.00036600880115008016,3.5350097078148694e-05,8.701287921329533e-05,1.9101250585020686e-05
76,0.767909090909091,0.018335350055409094,0.0003638690867927158,0.0002864316473475232,3.0014019146364183e-05,6.718814863135249e-05,1.610591362706366e-05
77,0.778,0.015024868258953189,0.0003073693300716034,0.00022489434615109217,2.535660522724484e-05,5.1465791630629676e-05,1.3463883780964598e-05
78,0.7880909090909092,0.012170719687172078,0.0002575976520005668,0.00017739374688087505,2.129076425724449e-05,3.9081579337396084e-05,1.1147696146536189e-05
79,0.7981818181818182,0.009739967348667437,0.0002143329949547941,0.0001406794362059434,1.77402700961426e-05,2.9394164799640053e-05,7.875890169278172e-06
80,0.8082727272727274,0.007696037703093051,0.000177157665763137,0.00011216344665297944,1.464169628112016e-05,2.187182518553686e-05,6.36158790386692e-06
81,0.8183636363636364,0.006000799318257209,0.00014553118643941972,8.986610898468287e-05,1.1945659279065048e-05,1.6086544327578225e-05,5.061758189364442e-06
82,0.8284545454545454,0.004614029415639241,0.00011882802230632631,7.222088323647506e-05,8.27726519254316e-06,1.1677797736042799e-05,3.957612339028394e-06
83,0.8385454545454546,0.0034951776698126766,9.639634561008178e-05,5.80455845017168e-05,6.546022841062158e-06,7.159070126171998e-06,3.032263469474093e-06
84,0.8486363636363636,0.0026051377076108505,7.761461962303512e-05,4.6485484189468514e-05,5.079582732443915e-06,5.024833994555516e-06,2.2698976783014577e-06
85,0.8587272727272728,0.0019076203037017407,6.192786750283262e-05,3.694221172102003e-05,3.856610089995319e-06,3.4537907852083915e-06,1.6547449101195694e-06
86,0.8688181818181818,0.0013703389129737075,4.886809712759903e-05,2.9009324218803585e-05,2.856192704060303e-06,2.318358641901604e-06,1.1707405830898465e-06
87,0.878909090909091,0.0009635888482700632,3.8030837897466776e-05,2.239841688790401e-05,2.0558212321874207e-06,1.5132526824092387e-06,8.005287021239363e-07
88,0.889,0.0006613863417536185,2.9083667502607444e-05,1.6912398042601755e-05,1.4316458340217495e-06,9.55055937305062e-07,5.262582449780881e-07
89,0.8990909090909092,0.00044150727844379726,2.1756216315864458e-05,1.2411510789762018e-05,9.589331855005438e-07,5.783874478768331e-07,3.3026950134992815e-07
90,0.9091818181818182,0.00028547068971747754,1.582881480141799e-05,7.5130854480083075e-06,6.131315238691777e-07,3.329360497160706e-07,1.9607724918109768e-07
91,0.9192727272727274,0.0001781271209811719,1.1118893136666368e-05,5.078339348091851e-06,3.7076747312258295e-07,1.8032560302198412e-07,1.0896226503062677e-07
92,0.9293636363636364,0.00010668754089123822,6.366821901875649e-06,3.241471327340498e-06,2.0916111413219926e-07,9.039486434261181e-08,5.576446358999891e-08
93,0.9394545454545455,6.0930918309702085e-05,4.015377105455362e-06,1.919516270590181e-06,1.0783941345324597e-07,4.090250479837784e-08,2.56397136694484e-08
94,0.9495454545454546,3.2885579782172156e-05,2.32867974010846e-06,1.0258026417706686e-06,4.9127560091758113e-08,1.6005850028125428e-08,1.0150893865207996e-08
95,0.9596363636363637,1.6590096082979045e-05,1.1952257536975953e-06,4.726462600456972e-07,1.870299662717346e-08,5.045117803166506e-09,3.2221932616072174e-09
96,0.9697272727272728,6.495273645754809e-06,5.06547278797257e-07,1.7313507490458073e-07,5.4178352805948984e-09,1.1435936658606155e-09,7.308463634950954e-10
97,0.9798181818181818,2.559344172051182e-06,1.5193854007266237e-07,4.214282148655415e-08,9.661528120988036e-10,1.42369726489425e-10,9.019157390613209e-11
98,0.989909090909091,6.384022340750518e-07,2.0326618541253198e-08,4.05028240582562e-09,5.801026819275845e-11,4.225242986982449e-12,2.589299010270321e-12
99,1.0,0.0,0.0,0.0,0.0,0.0,0.0
