,parameter,value
0,m1,1.0
1,Nu,2.5
2,alphau,2.0
3,betau,0.05
4,Nubar,2.1
5,alphaub,2.0
6,betaub,0.05
7,Nd,2.5
8,alphad,2.0
9,betad,0.05
10,Ndbar,-1.5
11,alphadb,2.5
12,betadb,0.05
13,Ns,0.2
14,alphas,1.8
15,betas,0.5
16,Nsbar,-0.05
17,alphasb,0.5
18,betasb,0.1
