kx,ky,fu
-1.0,-1.0,0.004287619523795258
-0.9797979797979798,-1.0,0.0047948102166044575
-0.9595959595959596,-1.0,0.005342599890058678
-0.9393939393939394,-1.0,0.005932533333756929
-0.9191919191919192,-1.0,0.00656605333537735
-0.898989898989899,-1.0,0.0072444826508872105
-0.8787878787878788,-1.0,0.007969005716778516
-0.8585858585858586,-1.0,0.008740650279174323
-0.8383838383838383,-1.0,0.009560269127670204
-0.8181818181818181,-1.0,0.010428522133006206
-0.797979797979798,-1.0,0.011345858796804983
-0.7777777777777778,-1.0,0.012312501528372386
-0.7575757575757576,-1.0,0.013328429867674484
-0.7373737373737373,-1.0,0.01439336587484404
-0.7171717171717171,-1.0,0.01550676090473214
-0.696969696969697,-1.0,0.016667783979952475
-0.6767676767676767,-1.0,0.017875311967460426
-0.6565656565656566,-1.0,0.019127921751915147
-0.6363636363636364,-1.0,0.020423884583900397
-0.6161616161616161,-1.0,0.02176116276259661
-0.5959595959595959,-1.0,0.023137408790843125
-0.5757575757575757,-1.0,0.024549967115906
-0.5555555555555556,-1.0,0.025995878541945565
-0.5353535353535352,-1.0,0.027471887370493685
-0.5151515151515151,-1.0,0.02897445129360105
-0.4949494949494949,-1.0,0.030499754031154333
-0.4747474747474747,-1.0,0.03204372066969744
-0.4545454545454545,-1.0,0.033602035625467354
-0.43434343434343425,-1.0,0.035170163119854075
-0.41414141414141414,-1.0,0.03674337002171718
-0.3939393939393939,-1.0,0.03831675087854937
-0.3737373737373737,-1.0,0.03988525492797465
-0.3535353535353535,-1.0,0.04144371485309389
-0.33333333333333326,-1.0,0.042986877020291796
-0.31313131313131304,-1.0,0.0445094329168046
-0.2929292929292928,-1.0,0.0460060514880502
-0.2727272727272727,-1.0,0.04747141206181369
-0.2525252525252525,-1.0,0.04890023753812317
-0.23232323232323226,-1.0,0.05028732752023063
-0.21212121212121204,-1.0,0.05162759106358848
-0.19191919191919182,-1.0,0.052916078726050975
-0.1717171717171716,-1.0,0.05414801361356826
-0.1515151515151515,-1.0,0.05531882113112771
-0.13131313131313127,-1.0,0.05642415716825263
-0.11111111111111105,-1.0,0.05745993447154808
-0.09090909090909083,-1.0,0.058422346983039296
-0.07070707070707061,-1.0,0.0593078919517819
-0.050505050505050386,-1.0,0.060113389656793796
-0.030303030303030276,-1.0,0.06083600061109325
