,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.423,0.086,0.592,0.234,0.346,0.029586540002800754,0.006046487,z
1,pi+,2.428,0.094,0.551,0.303,0.377,0.026133946382250757,0.007715569,z
2,pi+,2.425,0.097,0.528,0.373,0.403,0.054460967462988584,0.009689685,z
3,pi+,2.418,0.099,0.514,0.447,0.429,0.0633612680920847,0.011715375,z
4,pi+,2.411,0.1,0.504,0.523,0.453,0.060771912211128834,0.0146,z
5,pi+,2.4,0.101,0.494,0.593,0.465,0.08991122330385076,0.01707425,z
6,pi+,2.385,0.103,0.478,0.663,0.465,0.10375687381035795,0.01968248,z
7,pi+,2.44,0.087,0.594,0.229,0.344,0.026554006098125926,0.005491812,z
8,pi+,2.46,0.094,0.556,0.289,0.371,0.030456945733075152,0.006020797,z
9,pi+,2.45,0.098,0.533,0.349,0.394,0.04330905961527911,0.007340981,z
10,pi+,2.45,0.1,0.52,0.413,0.418,0.024431555876619254,0.00813941,z
11,pi+,2.44,0.101,0.508,0.483,0.441,0.045214275945862185,0.011552056,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.04804268029475346,0.011552056,z
13,pi+,2.43,0.102,0.499,0.558,0.46,0.0750946825725242,0.012384668,z
14,pi+,2.41,0.104,0.481,0.647,0.466,0.07615615409617761,0.015425304,z
15,pi+,2.41,0.107,0.457,0.729,0.453,0.0906369798473888,0.021260292,z
16,pi+,2.35,0.108,0.434,0.798,0.433,0.0777487748010724,0.023052115,z
17,pi+,2.31,0.116,0.394,0.916,0.376,-0.005161326724104978,0.021890866,z
18,pi+,3.43,0.037,0.36,0.2237,0.43,-0.014870826563559574,0.0068,z
19,pi+,3.37,0.039,0.34,0.2737,0.45,-0.0043920887570716265,0.008,z
20,pi+,3.33,0.041,0.32,0.3237,0.48,-0.013827087781712577,0.0094,z
21,pi+,3.28,0.042,0.3,0.3737,0.49,0.0008600790754515163,0.011,z
22,pi+,3.19,0.044,0.28,0.4448,0.52,-0.005008038359390733,0.01,z
23,pi+,3.03,0.046,0.25,0.5646,0.54,0.011340094459377042,0.0117,z
24,pi+,2.74,0.046,0.22,0.7164,0.54,0.005131737721927127,0.0171,z
25,pi+,2.4,0.045,0.19,0.8787,0.47,0.013810574031447401,0.0234,z
26,pi+,3.75,0.0467,0.33,0.223,0.45,0.019170626402250465,0.0044,z
27,pi+,3.75,0.0483,0.32,0.274,0.47,0.018651298096454955,0.0053,z
28,pi+,3.72,0.0498,0.31,0.324,0.5,0.030925718623535922,0.0063,z
29,pi+,3.68,0.0511,0.29,0.374,0.52,0.02659695432618181,0.0074,z
30,pi+,3.58,0.0527,0.27,0.445,0.54,0.03224211414783493,0.0067,z
31,pi+,3.4,0.0545,0.24,0.565,0.57,0.0256848483137213,0.0077,z
32,pi+,3.1,0.0548,0.21,0.716,0.56,0.04884394639580126,0.0113,z
33,pi+,2.71,0.0527,0.19,0.878,0.47,0.02000577210603602,0.0152,z
34,pi+,1.281,0.036,0.707,0.336,0.489,0.03907894193139647,0.008856636,x
35,pi+,1.631,0.056,0.569,0.356,0.409,0.027322636425280905,0.007300685,x
36,pi+,2.017,0.076,0.513,0.367,0.372,0.07656296131020185,0.008160882,x
37,pi+,2.467,0.098,0.484,0.376,0.356,0.05025097645146272,0.007738863,x
38,pi+,3.203,0.133,0.464,0.379,0.344,0.029380815129769,0.008044874,x
39,pi+,4.321,0.186,0.449,0.379,0.339,0.05725293344067206,0.010720075,x
40,pi+,6.179,0.275,0.434,0.375,0.344,0.08157356897408642,0.015024314,x
41,pi+,1.29,0.036,0.702,0.336,0.486,0.01689914465919557,0.00875557,x
42,pi+,1.64,0.056,0.567,0.356,0.408,0.028951515131213322,0.007397973,x
43,pi+,1.98,0.074,0.516,0.366,0.375,0.05404895205385448,0.008782369,x
44,pi+,2.34,0.093,0.489,0.374,0.358,0.0532042498231538,0.007749194,x
45,pi+,2.34,0.093,0.489,0.374,0.358,0.032932975188006884,0.007749194,x
46,pi+,2.87,0.118,0.469,0.379,0.348,0.03858254234156482,0.007595393,x
47,pi+,3.69,0.157,0.456,0.379,0.342,0.046545676163674325,0.007640026,x
48,pi+,5.71,0.254,0.437,0.375,0.343,0.059858150184062334,0.009352005,x
49,pi+,1.24,0.006469,0.65,0.29,0.53,-0.014638571043945375,0.0156,x
50,pi+,1.45,0.01059,0.46,0.33,0.52,-0.024554999445796876,0.0101,x
51,pi+,1.67,0.01643,0.34,0.35,0.49,-0.005369375978611681,0.0084,x
52,pi+,1.99,0.02556,0.26,0.37,0.46,-0.002184952501937587,0.0074,x
53,pi+,2.79,0.03967,0.23,0.39,0.45,-0.011581636576759402,0.0083,x
54,pi+,4.54,0.06255,0.24,0.38,0.46,-0.004107025573730956,0.0104,x
55,pi+,7.4,0.1005,0.25,0.37,0.46,-0.0066860192521235595,0.0137,x
56,pi+,11.8,0.1609,0.24,0.37,0.47,0.01556423923132031,0.0203,x
57,pi+,23.8,0.2781,0.28,0.36,0.51,0.03497359814092282,0.0343,x
58,pi+,1.24,0.0065,0.65,0.285,0.54,-0.008769736578910902,0.0117,x
59,pi+,1.47,0.0106,0.47,0.321,0.52,0.006267695925694458,0.0074,x
60,pi+,1.72,0.0164,0.36,0.347,0.51,0.013027819169108317,0.0061,x
61,pi+,2.05,0.0257,0.27,0.363,0.49,0.005183692050079189,0.0053,x
62,pi+,2.71,0.0399,0.23,0.37,0.48,0.024213958336732032,0.0055,x
63,pi+,4.22,0.0628,0.23,0.367,0.48,0.02865785093886862,0.0063,x
64,pi+,6.68,0.1009,0.22,0.365,0.48,0.02818187900829923,0.0075,x
65,pi+,10.54,0.1621,0.22,0.362,0.48,0.028839287340344442,0.0096,x
66,pi+,21.02,0.2881,0.24,0.361,0.52,0.013523222706699155,0.0126,x
67,pi+,2.533,0.109,0.46,0.341,0.11,-0.006733536362431539,0.008761849,phT
68,pi+,2.53,0.106,0.49,0.35,0.211,0.030768895338497443,0.007783315,phT
69,pi+,2.486,0.1,0.519,0.355,0.29,0.03409682939166786,0.007333485,phT
70,pi+,2.415,0.093,0.549,0.355,0.37,0.0439858495098679,0.007495332,phT
71,pi+,2.342,0.086,0.58,0.36,0.488,0.0672104347820698,0.007516648,phT
72,pi+,2.303,0.08,0.616,0.388,0.669,0.09005041405620211,0.012140016,phT
73,pi+,2.262,0.073,0.658,0.453,0.954,0.06340789909480862,0.020529978,phT
74,pi+,2.56,0.11,0.46,0.341,0.11,-0.0013900813134005065,0.006911584,phT
75,pi+,2.56,0.108,0.489,0.35,0.211,0.02661492244042814,0.00741485,phT
76,pi+,2.52,0.103,0.514,0.354,0.28,0.030260287005629986,0.008372574,phT
77,pi+,2.46,0.097,0.54,0.355,0.345,0.04017921534458458,0.009291394,phT
78,pi+,2.46,0.097,0.54,0.355,0.345,0.04860040232127507,0.009291394,phT
79,pi+,2.39,0.09,0.57,0.356,0.446,0.07178987478286541,0.009700515,phT
80,pi+,2.34,0.084,0.601,0.373,0.594,0.07336147039069545,0.012816006,phT
81,pi+,2.3,0.076,0.642,0.429,0.849,0.06457113800168994,0.010870603,phT
82,pi+,3.18,0.043,0.29,0.35,0.1547,0.0006581086843845064,0.0104,phT
83,pi+,3.14,0.042,0.29,0.35,0.2519,0.008449353399969236,0.0087,phT
84,pi+,3.14,0.041,0.3,0.35,0.3496,-0.0049593843306051655,0.0084,phT
85,pi+,3.23,0.041,0.31,0.35,0.4482,-0.004392975155741781,0.0089,phT
86,pi+,3.29,0.041,0.32,0.36,0.5475,-0.0054028181845164865,0.0102,phT
87,pi+,3.36,0.04,0.33,0.37,0.6681,-0.00844896003096598,0.0102,phT
88,pi+,3.46,0.04,0.34,0.39,0.817,-0.004776437358453357,0.0138,phT
89,pi+,3.61,0.039,0.36,0.41,1.042,-0.014515403294269875,0.0151,phT
90,pi+,4.08,0.038,0.43,0.43,1.549,-0.026425516955121003,0.0327,phT
91,pi+,3.57,0.052,0.28,0.346,0.15,0.015186986280140854,0.0072,phT
92,pi+,3.52,0.051,0.28,0.344,0.25,0.014241859279612277,0.006,phT
93,pi+,3.48,0.0497,0.29,0.344,0.35,0.0018032375841689416,0.0056,phT
94,pi+,3.55,0.0495,0.3,0.344,0.45,0.026821051944137544,0.0059,phT
95,pi+,3.62,0.0493,0.3,0.35,0.55,0.03244199753843612,0.0066,phT
96,pi+,3.71,0.0489,0.31,0.363,0.67,0.02878765756797635,0.0066,phT
97,pi+,3.84,0.0487,0.32,0.382,0.82,0.009850241676275892,0.0087,phT
98,pi+,4.06,0.0486,0.34,0.404,1.04,0.026743913958253845,0.0091,phT
99,pi+,4.77,0.0492,0.39,0.415,1.56,0.032984796532072924,0.0186,phT
100,pi0,2.361,0.072,0.671,0.236,0.39,0.02746302308016782,0.02556345,z
101,pi0,2.414,0.081,0.623,0.304,0.42,-0.008453487276855123,0.019649936,z
102,pi0,2.447,0.087,0.587,0.374,0.446,0.03768199781506907,0.019405412,z
103,pi0,2.486,0.093,0.558,0.448,0.464,0.046029718759925065,0.019577794,z
104,pi0,2.531,0.098,0.531,0.523,0.472,0.014237700123822647,0.023482973,z
105,pi0,2.552,0.102,0.511,0.593,0.488,0.04137591943392517,0.026705243,z
106,pi0,2.583,0.106,0.495,0.663,0.495,0.13249972786869008,0.0314,z
107,pi0,2.45,0.078,0.648,0.229,0.337,0.03533969815034814,0.034340646,z
108,pi0,2.49,0.085,0.609,0.289,0.372,-0.06962695158031343,0.031331294,z
109,pi0,2.52,0.09,0.581,0.348,0.401,-0.04126075177049315,0.030972569,z
110,pi0,2.53,0.095,0.558,0.413,0.427,0.04558475435653253,0.030304125,z
111,pi0,2.55,0.099,0.537,0.483,0.45,0.008889171394542462,0.031590505,z
112,pi0,2.55,0.099,0.537,0.483,0.45,0.058505400341528284,0.031590505,z
113,pi0,2.57,0.102,0.517,0.557,0.469,-0.020229357726349692,0.032557641,z
114,pi0,2.59,0.106,0.496,0.645,0.483,0.05365393215098556,0.03246244,z
115,pi0,2.61,0.112,0.472,0.728,0.494,0.0006990545849874658,0.043488504,z
116,pi0,2.66,0.116,0.457,0.796,0.488,0.16393178984446213,0.043887698,z
117,pi0,2.56,0.121,0.418,0.908,0.478,0.1564491103802842,0.049152213,z
118,pi0,1.293,0.035,0.717,0.351,0.54,0.013316891492247762,0.037302145,x
119,pi0,1.712,0.055,0.599,0.386,0.451,-0.05229259287417397,0.030805844,x
120,pi0,2.184,0.076,0.557,0.406,0.416,0.0780266483282771,0.029516944,x
121,pi0,2.705,0.098,0.531,0.414,0.392,0.029797901247125093,0.023913594,x
122,pi0,3.549,0.133,0.514,0.421,0.372,0.00948765422902013,0.020248457,x
123,pi0,4.716,0.185,0.491,0.428,0.364,0.04305176430699434,0.028715327,x
124,pi0,6.631,0.273,0.47,0.432,0.378,0.08571629927551212,0.049445323,x
125,pi0,1.3,0.036,0.712,0.325,0.492,-0.009006213080723396,0.036200829,x
126,pi0,1.72,0.056,0.597,0.352,0.406,-0.019320722514194713,0.031942761,x
127,pi0,2.14,0.074,0.558,0.366,0.374,0.056974388028875445,0.035141144,x
128,pi0,2.58,0.093,0.538,0.372,0.353,0.05502481577010217,0.030734996,x
129,pi0,2.58,0.093,0.538,0.372,0.353,0.06289900944666459,0.030734996,x
130,pi0,3.19,0.118,0.522,0.378,0.338,0.0659592731009859,0.031110288,x
131,pi0,4.1,0.156,0.507,0.38,0.323,0.05884910942363151,0.02973096,x
132,pi0,6.14,0.249,0.479,0.386,0.326,0.08520838241354332,0.033160217,x
133,pi0,2.731,0.111,0.475,0.391,0.113,0.06752281295219376,0.031852943,phT
134,pi0,2.649,0.103,0.517,0.384,0.212,0.07113076405921571,0.031795912,phT
135,pi0,2.553,0.095,0.553,0.381,0.29,0.04202499998093878,0.030509834,phT
136,pi0,2.456,0.087,0.587,0.381,0.369,0.02021110358403077,0.029224989,phT
137,pi0,2.367,0.08,0.623,0.382,0.49,0.0330981763571795,0.022333159,phT
138,pi0,2.28,0.073,0.655,0.404,0.673,0.08482599738543553,0.02268149,phT
139,pi0,2.263,0.07,0.677,0.463,0.959,0.01875133673565421,0.027060118,phT
140,pi0,2.82,0.114,0.481,0.338,0.111,0.03648245595692945,0.032318725,phT
141,pi0,2.69,0.103,0.529,0.34,0.211,0.006116111942487151,0.03242607,phT
142,pi0,2.59,0.095,0.563,0.343,0.28,0.05812846931156399,0.03375574,phT
143,pi0,2.49,0.088,0.591,0.347,0.345,0.08651978197381399,0.033147096,phT
144,pi0,2.49,0.088,0.591,0.347,0.345,0.012503797216679659,0.033147096,phT
145,pi0,2.39,0.081,0.624,0.353,0.446,0.04149459264298426,0.027658814,phT
146,pi0,2.3,0.074,0.652,0.371,0.595,-0.009243891284940695,0.027647966,phT
147,pi0,2.27,0.071,0.675,0.428,0.849,0.04281067165679966,0.026956446,phT
148,pi-,2.373,0.084,0.596,0.233,0.352,0.00791826270181364,0.006441273,z
149,pi-,2.356,0.091,0.553,0.303,0.385,0.01590197038353236,0.00820061,z
150,pi-,2.338,0.094,0.53,0.373,0.411,0.01359019230157207,0.010555094,z
151,pi-,2.332,0.096,0.515,0.447,0.43,-0.00223947857357113,0.012798828,z
152,pi-,2.315,0.097,0.504,0.523,0.444,0.007326358692910202,0.016268989,z
153,pi-,2.263,0.096,0.494,0.593,0.447,-0.025321882819405492,0.019246298,z
154,pi-,2.247,0.098,0.475,0.663,0.435,-0.012567510227325307,0.02251444,z
155,pi-,2.39,0.084,0.598,0.229,0.35,0.007248849009875248,0.00659242,z
156,pi-,2.38,0.091,0.559,0.289,0.379,0.015588124072521326,0.008381527,z
157,pi-,2.36,0.094,0.536,0.348,0.403,0.012736048388324615,0.009091755,z
158,pi-,2.37,0.097,0.521,0.413,0.422,0.014267259075995305,0.011759252,z
159,pi-,2.35,0.098,0.509,0.483,0.437,0.003237294010987611,0.014035669,z
160,pi-,2.35,0.098,0.509,0.483,0.437,0.012904072476094269,0.014035669,z
161,pi-,2.31,0.098,0.498,0.558,0.449,-0.024815472117075417,0.016414628,z
162,pi-,2.27,0.099,0.479,0.646,0.438,0.022035572014373835,0.019524344,z
163,pi-,2.19,0.099,0.452,0.729,0.416,-0.03691532256793883,0.023210558,z
164,pi-,2.15,0.101,0.432,0.798,0.389,-0.02703183524603208,0.027815284,z
165,pi-,2.08,0.104,0.399,0.906,0.338,-0.03933089306508901,0.029516944,z
166,pi-,3.31,0.036,0.37,0.2236,0.44,-0.016066300358247233,0.0071,z
167,pi-,3.25,0.038,0.35,0.2736,0.46,-0.008831489615354633,0.0084,z
168,pi-,3.19,0.039,0.33,0.3236,0.48,-0.014493758808218895,0.01,z
169,pi-,3.13,0.04,0.31,0.3736,0.5,0.0060976696966164225,0.0118,z
170,pi-,3.02,0.041,0.28,0.4446,0.52,-0.039099467239484036,0.0109,z
171,pi-,2.81,0.042,0.25,0.5643,0.54,-0.0006246553462337938,0.013,z
172,pi-,2.51,0.042,0.22,0.7171,0.52,-0.07121693055185344,0.019,z
173,pi-,2.21,0.041,0.19,0.8794,0.43,0.04797619479932565,0.0247,z
174,pi-,3.61,0.0447,0.34,0.223,0.45,0.007714349711323971,0.0045,z
175,pi-,3.58,0.0458,0.33,0.273,0.48,0.0023846268402376793,0.0054,z
176,pi-,3.52,0.0468,0.31,0.323,0.5,-0.00798472844988718,0.0065,z
177,pi-,3.45,0.0475,0.3,0.373,0.52,-0.003463607001079735,0.0078,z
178,pi-,3.34,0.0488,0.27,0.444,0.54,0.006780003865089216,0.0071,z
179,pi-,3.11,0.0499,0.24,0.564,0.55,-0.03381761232966806,0.0086,z
180,pi-,2.77,0.0491,0.21,0.716,0.53,0.011493472921168545,0.0127,z
181,pi-,2.43,0.0473,0.19,0.879,0.43,0.008344102679121453,0.0168,z
182,pi-,1.278,0.035,0.708,0.33,0.484,0.008583021146864532,0.01034698,x
183,pi-,1.629,0.055,0.57,0.35,0.403,0.015723906975459036,0.008856636,x
184,pi-,2.011,0.076,0.512,0.36,0.367,-0.025833836670488493,0.009527329,x
185,pi-,2.451,0.098,0.481,0.367,0.352,0.021345267688326515,0.008766413,x
186,pi-,3.192,0.133,0.462,0.369,0.344,-0.00809929426185543,0.008286133,x
187,pi-,4.291,0.186,0.447,0.367,0.34,0.035400659841953605,0.010917875,x
188,pi-,6.125,0.275,0.43,0.363,0.354,-0.03369416046756295,0.015411684,x
189,pi-,1.29,0.036,0.704,0.33,0.481,0.02924336119839132,0.009343447,x
190,pi-,1.64,0.056,0.568,0.35,0.402,0.02293000674073936,0.008102469,x
191,pi-,1.98,0.074,0.515,0.359,0.369,0.0026073878170641425,0.009908078,x
192,pi-,2.33,0.093,0.487,0.366,0.354,-0.0075907149686281344,0.008736704,x
193,pi-,2.33,0.093,0.487,0.366,0.354,-0.0027519208325114813,0.008736704,x
194,pi-,2.86,0.118,0.468,0.369,0.348,-0.018147167800775903,0.009027181,x
195,pi-,3.66,0.156,0.454,0.369,0.342,0.019087041561532965,0.009166242,x
196,pi-,5.66,0.253,0.434,0.364,0.349,-0.005394832908803115,0.011081967,x
197,pi-,1.24,0.006453,0.65,0.29,0.54,-0.002987576686457077,0.0159,x
198,pi-,1.46,0.01057,0.47,0.32,0.52,0.0005038705686810354,0.0104,x
199,pi-,1.68,0.01641,0.35,0.35,0.49,-0.017216929914004676,0.0088,x
200,pi-,2.02,0.02552,0.27,0.37,0.46,-0.010538397357045112,0.0079,x
201,pi-,2.82,0.03964,0.24,0.38,0.45,0.009555372011223105,0.0089,x
202,pi-,4.59,0.06247,0.25,0.38,0.45,-0.0015113047255184836,0.0113,x
203,pi-,7.42,0.1004,0.25,0.36,0.46,-0.01832502475811979,0.0153,x
204,pi-,11.9,0.1607,0.25,0.36,0.47,-0.026024436361121603,0.0232,x
205,pi-,23.9,0.2781,0.28,0.35,0.51,0.019146138937960487,0.0411,x
206,pi-,1.24,0.0064,0.65,0.285,0.54,0.022882487371851373,0.0115,x
207,pi-,1.48,0.0106,0.48,0.32,0.52,-0.018044286967301457,0.0075,x
208,pi-,1.73,0.0164,0.36,0.344,0.5,-0.008642831809163243,0.0063,x
