,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.423,0.086,0.592,0.234,0.346,0.02663751711457717,0.006046487,z
1,pi+,2.428,0.094,0.551,0.303,0.377,0.039751672540374414,0.007715569,z
2,pi+,2.425,0.097,0.528,0.373,0.403,0.038829434742115684,0.009689685,z
3,pi+,2.418,0.099,0.514,0.447,0.429,0.06050289746227398,0.011715375,z
4,pi+,2.411,0.1,0.504,0.523,0.453,0.03527979229133249,0.0146,z
5,pi+,2.4,0.101,0.494,0.593,0.465,0.07098792638087581,0.01707425,z
6,pi+,2.385,0.103,0.478,0.663,0.465,0.06379713183624824,0.01968248,z
7,pi+,2.44,0.087,0.594,0.229,0.344,0.02480163886753785,0.005491812,z
8,pi+,2.46,0.094,0.556,0.289,0.371,0.03485498145550336,0.006020797,z
9,pi+,2.45,0.098,0.533,0.349,0.394,0.0458415487515604,0.007340981,z
10,pi+,2.45,0.1,0.52,0.413,0.418,0.026444817624578357,0.00813941,z
11,pi+,2.44,0.101,0.508,0.483,0.441,0.04455336848786667,0.011552056,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.01762341314542639,0.011552056,z
13,pi+,2.43,0.102,0.499,0.558,0.46,0.08067504031265718,0.012384668,z
14,pi+,2.41,0.104,0.481,0.647,0.466,0.056732971177329526,0.015425304,z
15,pi+,2.41,0.107,0.457,0.729,0.453,0.09371796208057362,0.021260292,z
16,pi+,2.35,0.108,0.434,0.798,0.433,0.08098086532351852,0.023052115,z
17,pi+,2.31,0.116,0.394,0.916,0.376,-0.004494487289611078,0.021890866,z
18,pi+,3.43,0.037,0.36,0.2237,0.43,-0.013117096574441555,0.0068,z
19,pi+,3.37,0.039,0.34,0.2737,0.45,0.006517575340873204,0.008,z
20,pi+,3.33,0.041,0.32,0.3237,0.48,-0.01426779152079413,0.0094,z
21,pi+,3.28,0.042,0.3,0.3737,0.49,-0.027681803119311312,0.011,z
22,pi+,3.19,0.044,0.28,0.4448,0.52,0.016807517637298555,0.01,z
23,pi+,3.03,0.046,0.25,0.5646,0.54,0.019100097335599125,0.0117,z
24,pi+,2.74,0.046,0.22,0.7164,0.54,-0.012124132526453578,0.0171,z
25,pi+,2.4,0.045,0.19,0.8787,0.47,-0.0441191575298055,0.0234,z
26,pi+,3.75,0.0467,0.33,0.223,0.45,0.022484785233243258,0.0044,z
27,pi+,3.75,0.0483,0.32,0.274,0.47,0.023160096247277294,0.0053,z
28,pi+,3.72,0.0498,0.31,0.324,0.5,0.01807761280475318,0.0063,z
29,pi+,3.68,0.0511,0.29,0.374,0.52,0.018771644694358082,0.0074,z
30,pi+,3.58,0.0527,0.27,0.445,0.54,0.029937201548439433,0.0067,z
31,pi+,3.4,0.0545,0.24,0.565,0.57,0.032592470963799164,0.0077,z
32,pi+,3.1,0.0548,0.21,0.716,0.56,0.034786785251874265,0.0113,z
33,pi+,2.71,0.0527,0.19,0.878,0.47,0.02172298671696396,0.0152,z
34,pi+,1.281,0.036,0.707,0.336,0.489,0.027721326574236402,0.008856636,x
35,pi+,1.631,0.056,0.569,0.356,0.409,0.025000458075199645,0.007300685,x
36,pi+,2.017,0.076,0.513,0.367,0.372,0.07647082172889702,0.008160882,x
37,pi+,2.467,0.098,0.484,0.376,0.356,0.05780892165179429,0.007738863,x
38,pi+,3.203,0.133,0.464,0.379,0.344,0.03509945697374255,0.008044874,x
39,pi+,4.321,0.186,0.449,0.379,0.339,0.0286827036463457,0.010720075,x
40,pi+,6.179,0.275,0.434,0.375,0.344,0.043274490788168384,0.015024314,x
41,pi+,1.29,0.036,0.702,0.336,0.486,0.033127692337408594,0.00875557,x
42,pi+,1.64,0.056,0.567,0.356,0.408,0.032465032120715796,0.007397973,x
43,pi+,1.98,0.074,0.516,0.366,0.375,0.05066293600864911,0.008782369,x
44,pi+,2.34,0.093,0.489,0.374,0.358,0.03697968677524692,0.007749194,x
45,pi+,2.34,0.093,0.489,0.374,0.358,0.04156319744728684,0.007749194,x
46,pi+,2.87,0.118,0.469,0.379,0.348,0.03102370159838327,0.007595393,x
47,pi+,3.69,0.157,0.456,0.379,0.342,0.04381067164585116,0.007640026,x
48,pi+,5.71,0.254,0.437,0.375,0.343,0.05647532506816982,0.009352005,x
49,pi+,1.24,0.006469,0.65,0.29,0.53,0.018611349076807927,0.0156,x
50,pi+,1.45,0.01059,0.46,0.33,0.52,-0.020788158649666214,0.0101,x
51,pi+,1.67,0.01643,0.34,0.35,0.49,-0.014864934325401216,0.0084,x
52,pi+,1.99,0.02556,0.26,0.37,0.46,0.001400179541092149,0.0074,x
53,pi+,2.79,0.03967,0.23,0.39,0.45,-0.0024312200541889107,0.0083,x
54,pi+,4.54,0.06255,0.24,0.38,0.46,-0.02512007949471775,0.0104,x
55,pi+,7.4,0.1005,0.25,0.37,0.46,-0.017991123270642013,0.0137,x
56,pi+,11.8,0.1609,0.24,0.37,0.47,-0.02909845478414777,0.0203,x
57,pi+,23.8,0.2781,0.28,0.36,0.51,0.05406390334217959,0.0343,x
58,pi+,1.24,0.0065,0.65,0.285,0.54,0.010917748247721685,0.0117,x
59,pi+,1.47,0.0106,0.47,0.321,0.52,0.006117335486202668,0.0074,x
60,pi+,1.72,0.0164,0.36,0.347,0.51,0.010884284852511056,0.0061,x
61,pi+,2.05,0.0257,0.27,0.363,0.49,0.01295004754495458,0.0053,x
62,pi+,2.71,0.0399,0.23,0.37,0.48,0.021517462734283878,0.0055,x
63,pi+,4.22,0.0628,0.23,0.367,0.48,0.03176759671921203,0.0063,x
64,pi+,6.68,0.1009,0.22,0.365,0.48,0.028742142965645374,0.0075,x
65,pi+,10.54,0.1621,0.22,0.362,0.48,0.021155234529091013,0.0096,x
66,pi+,21.02,0.2881,0.24,0.361,0.52,0.05289506243726878,0.0126,x
67,pi+,2.533,0.109,0.46,0.341,0.11,0.013275665735903098,0.008761849,phT
