,hadron,1D_dependence,y,z,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.677647059,0.343478261,1.122807018,0.22101241203294134,0.1824225055077172,0.3634163666029517,0.18242072224692082,0.36167980851082987,0.22101241203294134
1,pi+,x,0.503529412,0.360869565,1.473684211,0.20086193806461858,0.16996496373703954,0.34407310482218,0.16996014951934602,0.34255027798971327,0.20086193806461858
2,pi+,x,0.470588235,0.365217391,2.526315789,0.1893204115213378,0.16337773528934982,0.32595563057575455,0.16337646404684544,0.3245213900261257,0.1893204115213378
3,pi+,x,0.456470588,0.356521739,4.596491228,0.18869593986691363,0.16424247689965213,0.31857350131079826,0.16425236010447292,0.3172413111605744,0.18869593986691363
4,pi+,y,0.38169,0.369565217,2.0,0.18796666803342948,0.16131423698051559,0.3277742657969266,0.1613122570078076,0.3263495774420562,0.18796666803342948
5,pi+,y,0.49384,0.365217391,2.315789474,0.19056464868453435,0.1640416359027534,0.3283034020642855,0.16404041111144302,0.32685651408147376,0.19056464868453435
6,pi+,y,0.61544,0.356521739,2.526315789,0.19891766669084443,0.17109799187415997,0.3351805853922938,0.17109787427198123,0.3337108640393076,0.19891766669084443
7,pi+,y,0.76339,0.339130435,2.666666667,0.219431224260101,0.1877647353915916,0.3531863770367054,0.18776439067115538,0.35165535601713827,0.219431224260101
8,pi+,z,0.128571429,0.2675,2.310344828,0.33144434350923885,0.27293002850282305,0.43857099548945877,0.2729319097677019,0.4366007433509861,0.33144434350923885
9,pi+,z,0.126190476,0.345,2.344827586,0.21366986598115675,0.18255308010952376,0.34946423109784797,0.1825521823805855,0.3479302997097648,0.21366986598115675
10,pi+,z,0.123809524,0.4475,2.275862069,0.12290001805375775,0.10864524777126576,0.2468523224599327,0.10861710818316754,0.2457743153040938,0.12290001805375775
11,pi+,z,0.122619048,0.5475,2.206896552,0.07729506745236739,0.0702071648276005,0.17580643725061315,0.07021908133686082,0.17506484670972008,0.07729506745236739
12,pi+,z,0.119047619,0.6675,2.206896552,0.03850042014909389,0.036165085804069644,0.12887480721750022,0.036174449342691754,0.12832895174885883,0.03850042014909389
13,pi+,phT,0.117857143,0.317391304,2.310344828,0.25106044927516935,0.2119216424544794,0.3801370600116933,0.2119216491094489,0.3784745492866575,0.25106044927516935
14,pi+,phT,0.122619048,0.334782609,2.310344828,0.22724924464604782,0.19325142245715082,0.3613836455733228,0.19325157414076852,0.35980625937619237,0.22724924464604782
15,pi+,phT,0.125,0.360869565,2.310344828,0.19529932409306444,0.16782059165795443,0.3328837469359327,0.1678204889215657,0.3314172254552399,0.19529932409306444
16,pi+,phT,0.132142857,0.395652174,2.275862069,0.16081964769229823,0.13985247657527017,0.29681830974797485,0.13988181413763076,0.29551650110899486,0.16081964769229823
17,pi+,phT,0.142857143,0.452173913,2.172413793,0.12091798557982894,0.10693260634212463,0.2444322597821719,0.10690565720327952,0.24336301120004572,0.12091798557982894
