,hadron,1D_dependence,y,z,QQ,sbar,ubar,dbar,d,u,s
48,k-,x,0.461176471,0.404255319,1.379310345,0.008608039522513376,0.08925009676127199,0.0085959931808292,0.0085959931808292,0.008597498562230282,0.39500582983422505
49,k-,x,0.432941176,0.408510638,2.379310345,0.012396040194742091,0.08780415272752747,0.012389693637924517,0.012389693637924517,0.012381871641932305,0.3638453109928312
50,k-,x,0.437647059,0.408510638,4.413793103,0.014378338130589698,0.08485980987673387,0.01438785000138707,0.01438785000138707,0.014393300715665821,0.3373637773811736
51,k-,y,0.375757576,0.417021277,1.862068966,0.010102043651995657,0.08720806064714576,0.010099364460020892,0.010099364460020892,0.010095595415859603,0.367516973836221
52,k-,y,0.517171717,0.408510638,2.482758621,0.012634891178776687,0.0876678116197436,0.01262868115653181,0.01262868115653181,0.012620859429257036,0.3618453082318036
53,k-,y,0.646464646,0.370212766,2.862068966,0.017107293615829626,0.09301553301845353,0.01710514462985485,0.01710514462985485,0.01710980474691765,0.39437393345276867
54,k-,z,0.45647059,0.346564885,2.206896552,0.01815904625325504,0.09499867936783202,0.01816251247746465,0.01816251247746465,0.018158584599169355,0.4266637661484631
55,k-,z,0.43764706,0.445801527,2.172413793,0.008897846133298507,0.08173368567487152,0.008875654790538043,0.008875654790538043,0.008871958551404898,0.33281635814663113
56,k-,z,0.41411765,0.546564885,2.034482759,0.0028363158121932574,0.06301572018124561,0.0028239950189984336,0.0028239950189984336,0.002822162076287436,0.26181361823148397
57,k-,phT,0.432941176,0.395744681,2.310344828,0.01337605032111857,0.08982344020822887,0.013353153422031833,0.013353153422031833,0.013338116781801343,0.3780827881893377
58,k-,phT,0.442352941,0.408510638,2.206896552,0.01192205977051754,0.08801104030966825,0.011916414008281894,0.011916414008281894,0.011909153595288461,0.3674642040021723
59,k-,phT,0.461176471,0.421276596,2.0,0.010229102706573836,0.08628410636147914,0.010227822883738682,0.010227822883738682,0.010225054724958233,0.35973360954459305
