,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.0065,0.65,0.285,0.54,-0.002585760534558893,0.0117,x
1,pi+,1.47,0.0106,0.47,0.321,0.52,-0.002339454888877773,0.0074,x
2,pi+,1.72,0.0164,0.36,0.347,0.51,-0.0009208261397805717,0.0061,x
3,pi+,2.05,0.0257,0.27,0.363,0.49,0.0036205201844265304,0.0053,x
4,pi+,2.71,0.0399,0.23,0.37,0.48,0.014175709177808535,0.0055,x
5,pi+,4.22,0.0628,0.23,0.367,0.48,0.033973853397686236,0.0063,x
6,pi+,6.68,0.1009,0.22,0.365,0.48,0.05485415433863074,0.0075,x
7,pi+,10.54,0.1621,0.22,0.362,0.48,0.04749140069661811,0.0096,x
8,pi+,21.02,0.2881,0.24,0.361,0.52,0.011923796868588186,0.0126,x
9,pi+,3.75,0.0467,0.33,0.223,0.45,0.012547237874140535,0.0044,z
10,pi+,3.75,0.0483,0.32,0.274,0.47,0.016650093512860557,0.0053,z
11,pi+,3.72,0.0498,0.31,0.324,0.5,0.021686110046328567,0.0063,z
12,pi+,3.68,0.0511,0.29,0.374,0.52,0.02619620075610407,0.0074,z
13,pi+,3.58,0.0527,0.27,0.445,0.54,0.031051525424778723,0.0067,z
14,pi+,3.4,0.0545,0.24,0.565,0.57,0.03637770456403745,0.0077,z
15,pi+,3.1,0.0548,0.21,0.716,0.56,0.03951180364184784,0.0113,z
16,pi+,2.71,0.0527,0.19,0.878,0.47,0.03289639892035409,0.0152,z
17,pi+,3.57,0.052,0.28,0.346,0.15,0.0073923453070327385,0.0072,phT
18,pi+,3.52,0.051,0.28,0.344,0.25,0.011837992558854801,0.006,phT
19,pi+,3.48,0.0497,0.29,0.344,0.35,0.015783569150285115,0.0056,phT
20,pi+,3.55,0.0495,0.3,0.344,0.45,0.020162692923767,0.0059,phT
21,pi+,3.62,0.0493,0.3,0.35,0.55,0.024794140652349094,0.0066,phT
22,pi+,3.71,0.0489,0.31,0.363,0.67,0.030540127529316907,0.0066,phT
23,pi+,3.84,0.0487,0.32,0.382,0.82,0.03840715384358552,0.0087,phT
24,pi+,4.06,0.0486,0.34,0.404,1.04,0.05037625677201473,0.0091,phT
25,pi+,4.77,0.0492,0.39,0.415,1.56,0.08085804552790525,0.0186,phT
26,pi-,1.24,0.0064,0.65,0.285,0.54,-0.004372022932688382,0.0115,x
27,pi-,1.48,0.0106,0.48,0.32,0.52,-0.004836643925898535,0.0075,x
28,pi-,1.73,0.0164,0.36,0.344,0.5,-0.004668913272760092,0.0063,x
29,pi-,2.05,0.0257,0.27,0.358,0.49,-0.003475836469459275,0.0054,x
30,pi-,2.72,0.0398,0.23,0.365,0.48,-0.00047810128638089977,0.0057,x
31,pi-,4.22,0.0627,0.23,0.359,0.48,0.005234237990335811,0.0068,x
32,pi-,6.66,0.1007,0.22,0.353,0.48,0.009961809828294579,0.0083,x
33,pi-,10.54,0.1619,0.22,0.349,0.48,0.006848448425223551,0.0109,x
34,pi-,20.85,0.2873,0.24,0.345,0.51,0.004794787563933727,0.0147,x
35,pi-,3.61,0.0447,0.34,0.223,0.45,0.0036352785841554875,0.0045,z
36,pi-,3.58,0.0458,0.33,0.273,0.48,0.003789111416846505,0.0054,z
37,pi-,3.52,0.0468,0.31,0.323,0.5,0.0028103495579595615,0.0065,z
38,pi-,3.45,0.0475,0.3,0.373,0.52,0.0012797782458801158,0.0078,z
39,pi-,3.34,0.0488,0.27,0.444,0.54,-0.0005646750107828526,0.0071,z
40,pi-,3.11,0.0499,0.24,0.564,0.55,-0.0035859023556744428,0.0086,z
41,pi-,2.77,0.0491,0.21,0.716,0.53,-0.014109941430659204,0.0127,z
42,pi-,2.43,0.0473,0.19,0.879,0.43,-0.022823788162622566,0.0168,z
43,pi-,3.38,0.0487,0.28,0.346,0.15,0.0007435759655585816,0.0075,phT
44,pi-,3.32,0.0477,0.29,0.344,0.25,0.0011385056042785466,0.0062,phT
45,pi-,3.29,0.0464,0.29,0.342,0.35,0.0013948858891884364,0.0058,phT
46,pi-,3.36,0.0464,0.3,0.34,0.45,0.0018678352912031113,0.0062,phT
47,pi-,3.46,0.0464,0.31,0.342,0.55,0.002222343034382453,0.0069,phT
48,pi-,3.53,0.0461,0.32,0.351,0.67,0.0021951160692324696,0.0069,phT
49,pi-,3.65,0.0458,0.33,0.366,0.82,0.0017653604542021003,0.0092,phT
50,pi-,3.83,0.0452,0.34,0.386,1.04,0.0006670549429227168,0.0096,phT
51,pi-,4.34,0.0442,0.4,0.4,1.56,-0.00091632605322526,0.0197,phT
52,k-,1.24,0.0065,0.65,0.296,0.64,-0.0067228005206960186,0.0295,x
53,k-,1.49,0.0105,0.48,0.341,0.59,-0.007458223041630426,0.0183,x
54,k-,1.88,0.0163,0.39,0.375,0.57,-0.007416937706724377,0.0168,x
55,k-,2.57,0.0253,0.34,0.405,0.56,-0.006047987232176958,0.0169,x
56,k-,3.83,0.0398,0.33,0.42,0.56,-0.0017523984340096143,0.0202,x
57,k-,5.91,0.0626,0.32,0.418,0.56,0.007938707685272496,0.0245,x
58,k-,9.32,0.1002,0.31,0.418,0.56,0.021409446819029926,0.0315,x
59,k-,15.09,0.1613,0.31,0.411,0.56,0.02265156432763578,0.0439,x
60,k-,29.47,0.2984,0.33,0.4,0.61,-0.007982939047131153,0.0571,x
61,k-,4.12,0.0292,0.51,0.225,0.55,-0.0010160958598377716,0.0175,z
62,k-,3.97,0.0323,0.46,0.274,0.56,-0.0009629820612253475,0.0184,z
63,k-,3.85,0.035,0.41,0.324,0.57,-0.0011950093976458769,0.02,z
64,k-,3.69,0.0372,0.37,0.374,0.58,-0.0016850847654761752,0.0222,z
65,k-,3.45,0.0397,0.33,0.446,0.58,-0.0026992228689931698,0.0185,z
66,k-,3.14,0.0428,0.28,0.564,0.58,-0.005587056887501717,0.0205,z
67,k-,3.04,0.0462,0.24,0.712,0.62,-0.008173551026607122,0.0347,z
68,k-,2.92,0.0459,0.24,0.869,0.56,-0.008773699376712197,0.0596,z
69,k-,3.55,0.0364,0.36,0.394,0.15,-0.0006401601775563786,0.0249,phT
70,k-,3.68,0.0371,0.38,0.381,0.25,-0.0008114867253707383,0.0217,phT
71,k-,3.67,0.0367,0.39,0.376,0.35,-0.0011564473946282779,0.0206,phT
72,k-,3.66,0.0364,0.39,0.375,0.45,-0.001558449036135145,0.0207,phT
73,k-,3.68,0.0363,0.39,0.376,0.55,-0.00196051096043219,0.0218,phT
74,k-,3.67,0.0361,0.4,0.382,0.67,-0.0026465790671392417,0.0201,phT
75,k-,3.69,0.0359,0.4,0.39,0.82,-0.0036061463332896725,0.0247,phT
76,k-,3.75,0.0356,0.41,0.398,1.06,-0.005194626311069533,0.0231,phT
77,k-,4.03,0.0349,0.45,0.402,1.59,-0.008794986788885269,0.0409,phT
78,k+,4.51,0.0324,0.5,0.225,0.55,-0.0007397431197249699,0.0155,z
79,k+,4.49,0.0372,0.45,0.275,0.56,0.0007411702455128638,0.0156,z
80,k+,4.46,0.0417,0.4,0.324,0.57,0.003883640312810747,0.0164,z
81,k+,4.36,0.0454,0.36,0.374,0.57,0.011844495321013507,0.0175,z
82,k+,4.18,0.0499,0.31,0.447,0.58,0.029589470118309705,0.0139,z
83,k+,3.89,0.0558,0.26,0.567,0.6,0.06053506349041946,0.0143,z
84,k+,3.77,0.0616,0.22,0.715,0.64,0.09227435865247877,0.0209,z
85,k+,3.55,0.063,0.2,0.874,0.63,0.08738236103742784,0.0317,z
86,k+,1.23,0.0065,0.64,0.299,0.64,0.04974064260870269,0.0271,x
87,k+,1.47,0.0106,0.47,0.35,0.6,0.00931966921827796,0.0161,x
88,k+,1.83,0.0163,0.38,0.391,0.58,0.016634715865179523,0.0141,x
89,k+,2.45,0.0255,0.33,0.433,0.57,0.025249390860838626,0.0133,x
90,k+,3.56,0.0399,0.3,0.458,0.57,0.03307811976876723,0.0151,x
91,k+,5.48,0.0629,0.29,0.463,0.57,0.0435591420914703,0.0172,x
92,k+,8.54,0.1009,0.29,0.468,0.57,0.05736863834023604,0.0203,x
93,k+,13.6,0.1623,0.28,0.473,0.57,0.06906214538850997,0.0261,x
94,k+,26.24,0.2959,0.29,0.468,0.61,0.06855919350553288,0.0319,x
95,k+,4.15,0.0455,0.34,0.41,0.15,0.009184665418876824,0.0199,phT
96,k+,4.26,0.0467,0.35,0.405,0.25,0.01590056914600005,0.0171,phT
97,k+,4.24,0.0465,0.36,0.404,0.35,0.02210173297531933,0.016,phT
98,k+,4.21,0.0463,0.36,0.408,0.45,0.028426245161768438,0.0161,phT
99,k+,4.19,0.046,0.36,0.415,0.55,0.03476293995644751,0.0168,phT
100,k+,4.16,0.0459,0.36,0.425,0.67,0.04286511821026411,0.0155,phT
101,k+,4.18,0.046,0.36,0.437,0.82,0.053672391447012545,0.0188,phT
102,k+,4.3,0.046,0.37,0.448,1.06,0.07084571345948815,0.0174,phT
103,k+,4.81,0.0459,0.41,0.438,1.59,0.10796467973152574,0.0312,phT
