x,y,z,phT,Q2,Asym,dAsym,hadron,1D_dependence,HERMESp
0.00279,0.677647059,0.343478261,0.446575342,1.122807018,-0.083235349,0.021867633,pi+,x,cosphi cos2phi combined
0.01706,0.503529412,0.360869565,0.397260274,1.473684211,-0.089710831,0.015646412,pi+,x,
0.11312,0.470588235,0.365217391,0.37260274,2.526315789,-0.07852019,0.018169997,pi+,x,
0.88395,0.456470588,0.356521739,0.356164384,4.596491228,-0.060638676,0.029764129,pi+,x,
0.104255319,0.38169,0.369565217,0.356164384,2,-0.117027217,0.021691108,pi+,y,
0.085106383,0.49384,0.365217391,0.397260274,2.315789474,-0.068121174,0.017186071,pi+,y,
0.074468085,0.61544,0.356521739,0.421917808,2.526315789,-0.047484375,0.016636432,pi+,y,
0.065957447,0.76339,0.339130435,0.446575342,2.666666667,-0.013299507,0.024695728,pi+,y,
0.089361702,0.128571429,0.2675,0.339726027,2.310344828,-0.073401857,0.016952561,pi+,z,
0.091489362,0.126190476,0.345,0.389041096,2.344827586,-0.031740983,0.016737611,pi+,z,
0.091489362,0.123809524,0.4475,0.438356164,2.275862069,-0.097065414,0.017058949,pi+,z,
0.089361702,0.122619048,0.5475,0.463013699,2.206896552,-0.131412431,0.017677977,pi+,z,
0.091489362,0.119047619,0.6675,0.512328767,2.206896552,-0.185413761,0.017677977,pi+,z,
0.095744681,0.117857143,0.317391304,0.13858,2.310344828,-0.024032214,0.0219334,pi+,phT,
0.093617021,0.122619048,0.334782609,0.27559,2.310344828,-0.038889897,0.016994141,pi+,phT,
0.091489362,0.125,0.360869565,0.41732,2.310344828,-0.099913209,0.018742051,pi+,phT,
0.085106383,0.132142857,0.395652174,0.57795,2.275862069,-0.124682874,0.01822313,pi+,phT,
0.074468085,0.142857143,0.452173913,0.79527,2.172413793,-0.122197304,0.026819206,pi+,phT,
0.024697829,0.67764706,0.343478261,0.446575342,1.122807018,-0.087271633,0.029083073,pi-,x,
0.070282045,0.50352941,0.360869565,0.397260274,1.473684211,-0.088930806,0.021440402,pi-,x,
0.220434628,0.47058824,0.365217391,0.37260274,2.526315789,-0.042775577,0.020630824,pi-,x,
0.725838772,0.45647059,0.356521739,0.356164384,4.596491228,0.100602234,0.068685785,pi-,x,
0.104255319,0.372972973,0.369565217,0.356164384,2,-0.033668676,0.027251937,pi-,y,
0.085106383,0.521621622,0.365217391,0.397260274,2.315789474,-0.079096517,0.020659792,pi-,y,
0.074468085,0.648648649,0.356521739,0.421917808,2.526315789,-0.067420002,0.017537466,pi-,y,
0.065957447,0.772972973,0.339130435,0.446575342,2.666666667,-0.037234124,0.029728825,pi-,y,
0.089361702,0.128571429,0.265,0.339726027,2.310344828,-0.021884907,0.019969206,pi-,z,
0.091489362,0.126190476,0.345,0.389041096,2.344827586,-0.002042473,0.021167314,pi-,z,
0.091489362,0.123809524,0.445,0.438356164,2.275862069,-0.087093759,0.019235292,pi-,z,
0.089361702,0.122619048,0.5475,0.463013699,2.206896552,-0.179068026,0.021295914,pi-,z,
0.091489362,0.119047619,0.6675,0.512328767,2.206896552,-0.290969858,0.022042484,pi-,z,
0.09574468,0.117857143,0.317391304,0.133858268,2.310344828,-0.007779517,0.028982014,pi-,phT,
0.09361702,0.122619048,0.334782609,0.275590551,2.310344828,-0.028151188,0.018663306,pi-,phT,
0.09148936,0.125,0.360869565,0.417322835,2.310344828,-0.07810565,0.027428601,pi-,phT,
0.08510638,0.132142857,0.395652174,0.577952756,2.275862069,-0.093409917,0.031144648,pi-,phT,
0.07446809,0.142857143,0.452173913,0.8,2.172413793,-0.050102729,0.037093748,pi-,phT,
0.018061622,0.461176471,0.404255319,0.41369863,1.379310345,-0.090192079,0.028842657,k+,x,
0.120526094,0.432941176,0.408510638,0.397260274,2.379310345,-0.038928219,0.028111604,k+,x,
0.91087642,0.437647059,0.408510638,0.347945205,4.413793103,-0.038825179,0.047811004,k+,x,
0.095744681,0.371621622,0.417021277,0.389041096,1.862068966,-0.014872452,0.032511326,k+,y,
0.091489362,0.517567568,0.408510638,0.405479452,2.482758621,-0.092526052,0.02922654,k+,y,
0.082978723,0.647297297,0.370212766,0.421917808,2.862068966,-0.110134948,0.069584926,k+,y,
0.091489362,0.456470588,0.348091603,0.380821918,2.206896552,-0.061171828,0.027354457,k+,z,
0.095744681,0.437647059,0.447328244,0.41369863,2.172413793,-0.062891022,0.034056957,k+,z,
0.093617021,0.414117647,0.548091603,0.421917808,2.034482759,-0.025704982,0.04030977,k+,z,
0.10212766,0.432941176,0.395744681,0.275294118,2.310344828,-0.039953675,0.030688538,k+,phT,
0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,-0.039376653,0.032605968,k+,phT,
0.080851064,0.461176471,0.421276596,0.585882353,2,-0.099388311,0.038158241,k+,phT,
0.01750827,0.461176471,0.404255319,0.41369863,1.379310345,-0.616485896,0.037824795,k-,x,
0.116833549,0.432941176,0.408510638,0.397260274,2.379310345,-0.531976628,0.043915742,k-,x,
0.882969996,0.437647059,0.408510638,0.347945205,4.413793103,-0.367861741,0.107739524,k-,x,
0.095744681,0.375757576,0.417021277,0.389041096,1.862068966,-0.465286124,0.053163416,k-,y,
0.091489362,0.517171717,0.408510638,0.405479452,2.482758621,-0.591335809,0.047110595,k-,y,
0.082978723,0.646464646,0.370212766,0.421917808,2.862068966,-0.706684837,0.076949638,k-,y,
0.091489362,0.45647059,0.346564885,0.380821918,2.206896552,-0.509383812,0.048629289,k-,z,
0.095744681,0.43764706,0.445801527,0.41369863,2.172413793,-0.565915963,0.04943375,k-,z,
0.093617021,0.41411765,0.546564885,0.421917808,2.034482759,-0.673318784,0.074863637,k-,z,
0.10212766,0.432941176,0.395744681,0.277647059,2.310344828,-0.58100812,0.039967876,k-,phT,
0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,-0.505314148,0.053660135,k-,phT,
0.080851064,0.461176471,0.421276596,0.588235294,2,-0.562119752,0.062765376,k-,phT,
