,x1,x2,qT,QM,A,dA,A_rel_uncert
0,0.273475627,0.073475627,0.125,5.5,6.75,0.305,0.04518518518518518
1,0.273475627,0.073475627,0.375,5.5,5.59,0.156,0.027906976744186046
2,0.273475627,0.073475627,0.625,5.5,4.84,0.122,0.025206611570247933
3,0.273475627,0.073475627,0.875,5.5,3.5,0.0903,0.0258
4,0.273475627,0.073475627,1.125,5.5,2.56,0.0768,0.029999999999999995
5,0.273475627,0.073475627,1.375,5.5,1.78,0.0672,0.03775280898876404
6,0.273475627,0.073475627,1.625,5.5,1.12,0.0535,0.04776785714285714
7,0.273475627,0.073475627,1.875,5.5,0.817,0.0627,0.07674418604651163
8,0.273475627,0.073475627,2.125,5.5,0.259,0.0298,0.11505791505791506
9,0.273475627,0.073475627,2.375,5.5,0.346,0.0575,0.1661849710982659
10,0.273475627,0.073475627,2.625,5.5,0.147,0.0345,0.23469387755102045
11,0.273475627,0.073475627,2.875,5.5,0.0457,0.0154,0.33698030634573306
12,0.295102242,0.095102242,0.125,6.5,2.87,0.153,0.05331010452961672
13,0.295102242,0.095102242,0.375,6.5,2.28,0.0765,0.03355263157894737
14,0.295102242,0.095102242,0.625,6.5,2.08,0.0625,0.03004807692307692
15,0.295102242,0.095102242,0.875,6.5,1.35,0.0413,0.03059259259259259
16,0.295102242,0.095102242,1.125,6.5,1.05,0.0356,0.0339047619047619
17,0.295102242,0.095102242,1.375,6.5,0.669,0.0275,0.041106128550074734
18,0.295102242,0.095102242,1.625,6.5,0.397,0.0203,0.05113350125944584
19,0.295102242,0.095102242,1.875,6.5,0.262,0.0172,0.06564885496183206
20,0.295102242,0.095102242,2.125,6.5,0.213,0.0202,0.09483568075117371
21,0.295102242,0.095102242,2.375,6.5,0.117,0.015,0.1282051282051282
22,0.295102242,0.095102242,2.625,6.5,0.0979,0.0215,0.21961184882533194
23,0.295102242,0.095102242,2.875,6.5,0.0376,0.00908,0.24148936170212765
24,0.295102242,0.095102242,3.125,6.5,0.0229,0.00789,0.3445414847161572
25,0.295102242,0.095102242,3.375,6.5,0.0345,0.0425,1.2318840579710144
26,0.295102242,0.095102242,3.625,6.5,0.0106,0.00886,0.8358490566037735
27,0.295102242,0.095102242,3.875,6.5,0.000501,0.000432,0.8622754491017963
28,0.317633847,0.117633847,0.125,7.5,1.68,0.12,0.07142857142857142
29,0.317633847,0.117633847,0.375,7.5,1.16,0.051,0.04396551724137931
30,0.317633847,0.117633847,0.625,7.5,0.97,0.0362,0.03731958762886598
31,0.317633847,0.117633847,0.875,7.5,0.73,0.0278,0.038082191780821915
32,0.317633847,0.117633847,1.125,7.5,0.534,0.0224,0.04194756554307116
33,0.317633847,0.117633847,1.375,7.5,0.357,0.0177,0.049579831932773114
34,0.317633847,0.117633847,1.625,7.5,0.222,0.014,0.06306306306306306
35,0.317633847,0.117633847,1.875,7.5,0.13,0.00997,0.07669230769230768
36,0.317633847,0.117633847,2.125,7.5,0.0839,0.00893,0.1064362336114422
37,0.317633847,0.117633847,2.375,7.5,0.0494,0.00709,0.14352226720647773
38,0.317633847,0.117633847,2.625,7.5,0.034,0.00679,0.19970588235294115
39,0.317633847,0.117633847,2.875,7.5,0.0295,0.0095,0.3220338983050848
40,0.317633847,0.117633847,3.125,7.5,0.00844,0.00317,0.3755924170616114
41,0.317633847,0.117633847,3.375,7.5,0.00573,0.00376,0.6561954624781849
42,0.340816556,0.140816556,0.125,8.5,0.755,0.0752,0.09960264900662252
43,0.340816556,0.140816556,0.375,8.5,0.639,0.0367,0.05743348982785603
44,0.340816556,0.140816556,0.625,8.5,0.453,0.0229,0.05055187637969095
45,0.340816556,0.140816556,0.875,8.5,0.387,0.0192,0.049612403100775186
46,0.340816556,0.140816556,1.125,8.5,0.239,0.0131,0.05481171548117155
47,0.340816556,0.140816556,1.375,8.5,0.172,0.0105,0.06104651162790699
48,0.340816556,0.140816556,1.625,8.5,0.12,0.00867,0.07225000000000001
49,0.340816556,0.140816556,1.875,8.5,0.0743,0.00701,0.0943472409152086
50,0.340816556,0.140816556,2.125,8.5,0.0434,0.00555,0.12788018433179724
51,0.340816556,0.140816556,2.375,8.5,0.0199,0.00343,0.1723618090452261
52,0.340816556,0.140816556,2.625,8.5,0.0102,0.00249,0.24411764705882352
53,0.340816556,0.140816556,2.875,8.5,0.007,0.00249,0.3557142857142857
54,0.340816556,0.140816556,3.125,8.5,0.00323,0.00248,0.7678018575851394
55,0.340816556,0.140816556,3.375,8.5,0.00666,0.00597,0.8963963963963963
56,0.412806763,0.212806763,0.125,11.5,0.0868,0.0294,0.3387096774193548
57,0.412806763,0.212806763,0.375,11.5,0.0916,0.0169,0.18449781659388645
58,0.412806763,0.212806763,0.625,11.5,0.0378,0.00769,0.20343915343915342
59,0.412806763,0.212806763,0.875,11.5,0.0373,0.00644,0.17265415549597857
60,0.412806763,0.212806763,1.125,11.5,0.0359,0.00541,0.15069637883008355
61,0.412806763,0.212806763,1.375,11.5,0.0155,0.00342,0.22064516129032258
62,0.412806763,0.212806763,1.625,11.5,0.0111,0.0025,0.22522522522522523
