,x1,x2,qT,QM,A,dA,A_rel_uncert
0,0.234011559,0.153756551,0.1,4.5,9.16,0.42,0.04585152838427947
1,0.234011559,0.153756551,0.3,4.5,7.65,0.3,0.0392156862745098
2,0.234011559,0.153756551,0.5,4.5,6.61,0.3,0.0453857791225416
3,0.234011559,0.153756551,0.7,4.5,5.58,0.3,0.05376344086021505
4,0.234011559,0.153756551,0.9,4.5,3.91,0.27,0.0690537084398977
5,0.234011559,0.153756551,1.1,4.5,2.73,0.23,0.08424908424908426
6,0.234011559,0.153756551,1.3,4.5,1.85,0.2,0.10810810810810811
7,0.234011559,0.153756551,1.5,4.5,1.58,0.2,0.12658227848101267
8,0.234011559,0.153756551,1.7,4.5,0.838,0.155,0.18496420047732698
9,0.234011559,0.153756551,1.9,4.5,0.503,0.136,0.27037773359840955
10,0.234011559,0.153756551,2.1,4.5,0.397,0.102,0.25692695214105793
11,0.234011559,0.153756551,2.3,4.5,0.189,0.084,0.4444444444444445
12,0.234011559,0.153756551,2.5,4.5,0.058,0.101,1.7413793103448276
13,0.234011559,0.153756551,2.7,4.5,0.212,0.194,0.9150943396226415
14,0.234011559,0.153756551,2.9,4.5,0.139,0.108,0.776978417266187
15,0.286014128,0.187924673,0.1,5.5,2.57,0.16,0.06225680933852141
16,0.286014128,0.187924673,0.3,5.5,2.3,0.1,0.04347826086956522
17,0.286014128,0.187924673,0.5,5.5,2.07,0.1,0.04830917874396136
18,0.286014128,0.187924673,0.7,5.5,1.82,0.11,0.06043956043956044
19,0.286014128,0.187924673,0.9,5.5,1.13,0.08,0.07079646017699116
20,0.286014128,0.187924673,1.1,5.5,0.872,0.073,0.08371559633027523
21,0.286014128,0.187924673,1.3,5.5,0.635,0.061,0.09606299212598425
22,0.286014128,0.187924673,1.5,5.5,0.384,0.042,0.109375
23,0.286014128,0.187924673,1.7,5.5,0.26,0.038,0.14615384615384613
24,0.286014128,0.187924673,1.9,5.5,0.124,0.025,0.20161290322580647
25,0.286014128,0.187924673,2.1,5.5,0.103,0.022,0.21359223300970873
26,0.286014128,0.187924673,2.3,5.5,0.079,0.023,0.2911392405063291
27,0.286014128,0.187924673,2.5,5.5,0.032,0.013,0.40625
28,0.286014128,0.187924673,2.7,5.5,0.014,0.012,0.8571428571428571
29,0.286014128,0.187924673,2.9,5.5,0.0066,0.0115,1.7424242424242424
30,0.286014128,0.187924673,3.1,5.5,0.0055,0.0096,1.7454545454545454
31,0.286014128,0.187924673,3.9,5.5,0.0133,0.0138,1.037593984962406
32,0.338016697,0.222092796,0.1,6.5,0.849,0.07,0.08244994110718494
33,0.338016697,0.222092796,0.3,6.5,0.783,0.043,0.054916985951468704
34,0.338016697,0.222092796,0.5,6.5,0.655,0.035,0.0534351145038168
35,0.338016697,0.222092796,0.7,6.5,0.54,0.033,0.06111111111111111
36,0.338016697,0.222092796,0.9,6.5,0.414,0.03,0.07246376811594203
37,0.338016697,0.222092796,1.1,6.5,0.286,0.024,0.08391608391608392
38,0.338016697,0.222092796,1.3,6.5,0.187,0.019,0.10160427807486631
39,0.338016697,0.222092796,1.5,6.5,0.182,0.02,0.1098901098901099
40,0.338016697,0.222092796,1.7,6.5,0.11,0.014,0.1272727272727273
41,0.338016697,0.222092796,1.9,6.5,0.072,0.013,0.18055555555555555
42,0.338016697,0.222092796,2.1,6.5,0.0408,0.0099,0.2426470588235294
43,0.338016697,0.222092796,2.3,6.5,0.0219,0.0068,0.3105022831050228
44,0.338016697,0.222092796,2.5,6.5,0.019,0.0065,0.34210526315789475
45,0.338016697,0.222092796,2.7,6.5,0.0079,0.004,0.5063291139240506
46,0.338016697,0.222092796,2.9,6.5,0.011,0.005,0.4545454545454546
47,0.338016697,0.222092796,3.1,6.5,0.0019,0.0019,1.0
48,0.338016697,0.222092796,3.3,6.5,0.0023,0.0023,1.0
49,0.338016697,0.222092796,3.7,6.5,0.0028,0.0029,1.0357142857142856
50,0.390019266,0.256260918,0.1,7.5,0.286,0.039,0.13636363636363638
51,0.390019266,0.256260918,0.3,7.5,0.253,0.022,0.08695652173913043
52,0.390019266,0.256260918,0.5,7.5,0.237,0.019,0.08016877637130802
53,0.390019266,0.256260918,0.7,7.5,0.197,0.016,0.08121827411167512
54,0.390019266,0.256260918,0.9,7.5,0.145,0.014,0.09655172413793105
55,0.390019266,0.256260918,1.1,7.5,0.11,0.012,0.1090909090909091
56,0.390019266,0.256260918,1.3,7.5,0.0781,0.0098,0.12548015364916773
57,0.390019266,0.256260918,1.5,7.5,0.038,0.0072,0.18947368421052632
58,0.390019266,0.256260918,1.7,7.5,0.0464,0.0082,0.1767241379310345
59,0.390019266,0.256260918,1.9,7.5,0.0192,0.0049,0.25520833333333337
60,0.390019266,0.256260918,2.1,7.5,0.025,0.006,0.24
61,0.390019266,0.256260918,2.3,7.5,0.0118,0.0041,0.3474576271186441
62,0.390019266,0.256260918,2.5,7.5,0.0052,0.0027,0.5192307692307693
63,0.390019266,0.256260918,2.9,7.5,0.0011,0.0011,1.0
64,0.390019266,0.256260918,3.1,7.5,0.0012,0.0012,1.0
65,0.390019266,0.256260918,4.1,7.5,0.0017,0.0017,1.0
66,0.390019266,0.256260918,4.5,7.5,0.0017,0.0017,1.0
67,0.442021834,0.290429041,0.1,8.5,0.096,0.02,0.20833333333333334
68,0.442021834,0.290429041,0.3,8.5,0.07,0.011,0.1571428571428571
69,0.442021834,0.290429041,0.5,8.5,0.07,0.009,0.12857142857142856
70,0.442021834,0.290429041,0.7,8.5,0.073,0.009,0.1232876712328767
71,0.442021834,0.290429041,0.9,8.5,0.053,0.007,0.1320754716981132
72,0.442021834,0.290429041,1.1,8.5,0.052,0.008,0.15384615384615385
73,0.442021834,0.290429041,1.3,8.5,0.032,0.006,0.1875
74,0.442021834,0.290429041,1.5,8.5,0.018,0.004,0.22222222222222224
75,0.442021834,0.290429041,1.7,8.5,0.0102,0.0034,0.3333333333333333
76,0.442021834,0.290429041,1.9,8.5,0.0023,0.0013,0.5652173913043478
77,0.442021834,0.290429041,2.1,8.5,0.007,0.003,0.42857142857142855
78,0.442021834,0.290429041,2.3,8.5,0.0016,0.0012,0.7499999999999999
79,0.442021834,0.290429041,2.5,8.5,0.00088,0.00089,1.0113636363636362
80,0.442021834,0.290429041,3.1,8.5,0.001,0.001,1.0
81,0.494024403,0.324597163,0.1,9.5,0.091,0.021,0.23076923076923078
82,0.494024403,0.324597163,0.3,9.5,0.066,0.01,0.15151515151515152
83,0.494024403,0.324597163,0.5,9.5,0.066,0.008,0.12121212121212122
84,0.494024403,0.324597163,0.7,9.5,0.069,0.009,0.13043478260869562
85,0.494024403,0.324597163,0.9,9.5,0.05,0.007,0.13999999999999999
86,0.494024403,0.324597163,1.1,9.5,0.05,0.0077,0.154
87,0.494024403,0.324597163,1.3,9.5,0.03,0.0056,0.18666666666666668
88,0.494024403,0.324597163,1.5,9.5,0.0166,0.004,0.24096385542168675
89,0.494024403,0.324597163,1.7,9.5,0.0097,0.0033,0.3402061855670103
90,0.494024403,0.324597163,1.9,9.5,0.0022,0.0013,0.5909090909090908
91,0.494024403,0.324597163,2.1,9.5,0.0067,0.0029,0.43283582089552236
92,0.494024403,0.324597163,2.3,9.5,0.00155,0.00112,0.7225806451612903
93,0.494024403,0.324597163,2.5,9.5,0.00084,0.00084,1.0
94,0.494024403,0.324597163,3.1,9.5,0.00096,0.00098,1.0208333333333333
95,0.546026972,0.358765285,0.1,10.5,0.0187,0.0072,0.3850267379679144
96,0.546026972,0.358765285,0.3,10.5,0.0166,0.004,0.24096385542168675
97,0.546026972,0.358765285,0.5,10.5,0.0121,0.0026,0.21487603305785125
98,0.546026972,0.358765285,0.7,10.5,0.0101,0.0022,0.21782178217821785
99,0.546026972,0.358765285,0.9,10.5,0.0624,0.0016,0.025641025641025644
100,0.546026972,0.358765285,1.1,10.5,0.0066,0.0017,0.25757575757575757
101,0.546026972,0.358765285,1.3,10.5,0.0023,0.0009,0.391304347826087
102,0.546026972,0.358765285,1.5,10.5,0.0037,0.0012,0.3243243243243243
103,0.546026972,0.358765285,1.7,10.5,0.0046,0.0014,0.30434782608695654
104,0.546026972,0.358765285,1.9,10.5,0.00075,0.00053,0.7066666666666667
105,0.546026972,0.358765285,2.1,10.5,0.00047,0.00047,1.0
106,0.546026972,0.358765285,2.7,10.5,0.00037,0.00037,1.0
107,0.546026972,0.358765285,2.9,10.5,0.00044,0.00044,1.0
108,0.598029541,0.392933408,0.1,11.5,0.00271,0.00272,1.003690036900369
109,0.598029541,0.392933408,0.3,11.5,0.00079,0.00079,1.0
110,0.598029541,0.392933408,0.5,11.5,0.00101,0.00072,0.7128712871287128
111,0.598029541,0.392933408,0.7,11.5,0.001,0.00058,0.58
112,0.598029541,0.392933408,0.9,11.5,0.00068,0.00048,0.7058823529411764
113,0.598029541,0.392933408,1.1,11.5,0.00118,0.0006,0.5084745762711864
114,0.598029541,0.392933408,1.3,11.5,0.00026,0.00026,1.0
115,0.598029541,0.392933408,1.5,11.5,0.00054,0.00038,0.7037037037037037
116,0.598029541,0.392933408,1.7,11.5,0.00035,0.00035,1.0
117,0.598029541,0.392933408,2.3,11.5,0.00029,0.0003,1.0344827586206895
