,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.29,0.036,0.702,0.336,0.486,0.02326021,0.011721391,x
1,pi+,1.64,0.056,0.567,0.356,0.408,0.027004257,0.0049836435,x
2,pi+,1.98,0.074,0.516,0.366,0.375,0.028247397,0.005680206,x
3,pi+,2.34,0.093,0.489,0.374,0.358,0.04441804,0.004139363,x
4,pi+,2.34,0.093,0.489,0.374,0.358,0.04441804,0.004139363,x
5,pi+,2.87,0.118,0.469,0.379,0.348,0.044396102,0.014839972,x
6,pi+,3.69,0.157,0.456,0.379,0.342,0.036383327,0.015496842,x
7,pi+,5.71,0.254,0.437,0.375,0.343,0.055337004,0.01753784,x
8,pi+,2.44,0.087,0.594,0.229,0.344,0.02454831,0.0022734324,z
9,pi+,2.46,0.094,0.556,0.289,0.371,0.037778467,0.0029270258,z
10,pi+,2.45,0.098,0.533,0.349,0.394,0.043629065,0.0040414287,z
11,pi+,2.45,0.1,0.52,0.413,0.418,0.040985644,0.0068472708,z
12,pi+,2.44,0.101,0.508,0.483,0.441,0.04399897,0.009163126,z
13,pi+,2.44,0.101,0.508,0.483,0.441,0.04399897,0.009163126,z
14,pi+,2.43,0.102,0.499,0.558,0.46,0.061608728,0.008838887,z
15,pi+,2.41,0.104,0.481,0.647,0.466,0.071799174,0.01278037,z
16,pi+,2.41,0.107,0.457,0.729,0.453,0.07156597,0.01714179,z
17,pi+,2.35,0.108,0.434,0.798,0.433,0.058129378,0.013875189,z
18,pi+,2.31,0.116,0.394,0.916,0.376,0.051557727,0.02439242,z
19,pi+,2.56,0.11,0.46,0.341,0.11,0.011530093,0.0062325676,phT
20,pi+,2.56,0.108,0.489,0.35,0.211,0.028873052,0.0047218273,phT
21,pi+,2.52,0.103,0.514,0.354,0.28,0.036405638,0.0052128024,phT
22,pi+,2.46,0.097,0.54,0.355,0.345,0.039307438,0.0032036752,phT
23,pi+,2.46,0.097,0.54,0.355,0.345,0.039307438,0.0032036752,phT
24,pi+,2.39,0.09,0.57,0.356,0.446,0.051152304,0.0047359653,phT
25,pi+,2.34,0.084,0.601,0.373,0.594,0.06512287,0.0062604765,phT
26,pi+,2.3,0.076,0.642,0.429,0.849,0.08847792,0.011478509,phT
27,pi0,1.3,0.036,0.712,0.325,0.492,0.01429093,0.007477371,x
28,pi0,1.72,0.056,0.597,0.352,0.406,0.020919286,0.00474585,x
29,pi0,2.14,0.074,0.558,0.366,0.374,0.01975995,0.004030259,x
30,pi0,2.58,0.093,0.538,0.372,0.353,0.029430114,0.002919615,x
31,pi0,2.58,0.093,0.538,0.372,0.353,0.029430114,0.002919615,x
32,pi0,3.19,0.118,0.522,0.378,0.338,0.029657813,0.016899746,x
33,pi0,4.1,0.156,0.507,0.38,0.323,0.029045967,0.015796121,x
34,pi0,6.14,0.249,0.479,0.386,0.326,0.037002314,0.035130177,x
35,pi0,2.45,0.078,0.648,0.229,0.337,0.014338721,0.0019933877,z
36,pi0,2.49,0.085,0.609,0.289,0.372,0.021990271,0.0020679962,z
37,pi0,2.52,0.09,0.581,0.348,0.401,0.029691163,0.0027650888,z
38,pi0,2.53,0.095,0.558,0.413,0.427,0.03888613,0.0043635285,z
