,kperp,fu,fuErr,fubar,fubarErr,fd,fdErr,fdbar,fdbarErr,fs,fsErr,fsbar,fsbarErr
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.002873214513200809,0.0008869641777547799,0.0015087785418281888,0.000670214677686808,-0.007260888561350707,0.0024445633906168846,-0.006881041273409505,0.0032983179916050206,-0.0010510654743966048,0.0005814569782515332,-0.0010794371537832283,0.0008015645552869117
2,0.02,0.005743366608816361,0.001772983034835633,0.003015948948832339,0.0013397150320671222,-0.014514038081713013,0.004886521354689944,-0.013754748392416829,0.006593120554672967,-0.0021010106750439196,0.0011622942506362166,-0.002157723801830166,0.0016022747753497582
3,0.03,0.008607399308750728,0.0026571129295666586,0.004519905942573595,0.002007788008576451,-0.021751723266273792,0.007323273093257442,-0.020613800229586317,0.009880898504649219,-0.0031487173180223243,0.001741893211942061,-0.0032337114819183353,0.0024012778424188043
4,0.04,0.011462266500361855,0.0035384135740935655,0.006019049950281326,0.0026737230869798177,-0.028966246278392026,0.009752227051016298,-0.027450901679025027,0.01315815512941938,-0.0041930710941240875,0.002319637455530314,-0.0043062558137719606,0.003197723969860044
5,0.05,0.014304938335420002,0.004415949700871712,0.007511789939954658,0.003336813540660384,-0.03614995038334769,0.012170805509424351,-0.03425879658628249,0.0164214123867674,-0.005232963643856368,0.002894913865789603,-0.005374218527349234,0.003990767908322763
6,0.06,0.01713240658866461,0.005288792716684133,0.008996546234248384,0.003996357686484903,-0.043295233489991855,0.014576449145433061,-0.041030280581493134,0.019667217055457955,-0.006267294517665029,0.0034671137024155684,-0.00643646947595171,0.004779570440616505
7,0.07,0.019941689962693653,0.006156022340094929,0.010471753296176866,0.00465166012215182,-0.05039456155677236,0.016966621544564915,-0.04775821378399163,0.022892146824715368,-0.007294973116526266,0.004035633673831806,-0.00749188862917201,0.005563299861616571
8,0.08,0.022729839326090406,0.007016728218296189,0.011935862479759548,0.0053020329479677684,-0.05744048182904335,0.019338813657195746,-0.05443553334703884,0.026092816307067463,-0.008314920608115806,0.004599876997102577,-0.008539368040760338,0.006341133439545049
9,0.09,0.025493942871905564,0.007870011519372326,0.013387344738843388,0.005946796970047824,-0.06442563587510307,0.02169054818708298,-0.061055265811808326,0.029265882959767626,-0.009326071813843248,0.005159254441730807,-0.009577813786570365,0.007112258855033665
10,0.1,0.0282311311838658,0.008714986496084012,0.0148246932874706,0.006585282881994075,-0.07134277238904696,0.02401938390139662,-0.06761053924038861,0.032408052900298634,-0.010327377062131897,0.005713185354786199,-0.010606147867840126,0.0078758756144455
11,0.11,0.030938582197973827,0.009550782017364236,0.016246426205314163,0.0072168324221753505,-0.07818475972926188,0.026322919851758973,-0.07409459509825968,0.03551608660179899,-0.011317804003431626,0.006261098664867553,-0.011623310075173705,0.008631196434014415
12,0.12,0.033613526047496144,0.010376543063821665,0.017651088981877887,0.007840799503808449,-0.08494459816222884,0.028598799496082083,-0.08050079985749578,0.03858680445463317,-0.012296339382573747,0.006802433862470631,-0.012628259808714572,0.009377448591453596
13,0.13,0.036253249779703955,0.011191432183660187,0.0190372569933514,0.00845655131512728,-0.09161543178223146,0.030844714711304837,-0.08682265629283345,0.04161709218075101,-0.013261990764212047,0.007336641954407502,-0.013619977850139362,0.010113875241787628
14,0.14,0.03885510193313853,0.011994630905548772,0.020403537906223516,0.009063469387020765,-0.09819056007859284,0.03305840968747737,-0.09305381444370975,0.044603906087946225,-0.014213788207241984,0.007863186390005291,-0.014597468082253887,0.010839736694275511
15,0.15,0.041416496964610236,0.01278534110511112,0.021748574001987864,0.009660950625622852,-0.10466344912317394,0.03523768469401331,-0.09918808221643106,0.04754427815162869,-0.01515078588425115,0.008381543956901143,-0.015559759152137606,0.01155431164741453
16,0.16,0.04393491951561434,0.013562786321850583,0.023071044417522613,0.010248408307448125,-0.11102774235205874,0.037380399709332504,-0.10521943560176282,0.05043532091226678,-0.016072063642226457,0.00889120564434577,-0.016505906073960512,0.012256898379146704
17,0.17,0.04640792850834738,0.014326213023480631,0.02436966729599022,0.010825273034783665,-0.11727727091662121,0.03948447790554413,-0.11114202848443241,0.05327423217723291,-0.016976728500927747,0.009391677472029509,-0.017434991767784822,0.012946815889529627
18,0.18,0.04883316106204163,0.015074891814795646,0.02564320184338226,0.011390993649171921,-0.1234060635805165,0.04154790898027294,-0.1169502020223149,0.05605829951639626,-0.017863916085531707,0.009882481282552643,-0.018346128530864203,0.013623404993281973
19,0.19,0.05120833622089239,0.015808118588389,0.02689045028612797,0.01194503810094961,-0.12940835614054486,0.04356875232820608,-0.12263849357440362,0.05878490454144795,-0.018732791990354453,0.010363155495774514,-0.01923845943816284,0.014286029359769846
20,0.2,0.053531258485436835,0.016525215614705352,0.028110259725490718,0.012486894272943631,-0.13527860035081551,0.045545140045434196,-0.12820164515807148,0.0614515269596122,-0.0195825530706747,0.010833255823394165,-0.020111159669035285,0.014934076498162415
21,0.21,0.055799821139848396,0.01722553256910132,0.029301523884796236,0.013016070756566505,-0.14101147233116765,0.04747527976017658,-0.13363461141757252,0.06405574839309465,-0.02041242865990077,0.011292355942237669,-0.020963437757236806,0.015566958685655198
22,0.22,0.058012009368237916,0.01790844749378182,0.030463184745863146,0.013532097578699538,-0.1466018804423865,0.04935745728401172,-0.13893256708723925,0.06659525595633549,-0.021221681709553925,0.011740048124854177,-0.021794536761667833,0.01618411383683282
23,0.23,0.060165903153695924,0.018573367692678002,0.03159423407134675,0.014034526877902553,-0.15204497261238117,0.05119003907828337,-0.14409091393436788,0.069067845583876,-0.022009609849776214,0.012175943826152712,-0.022603735355499213,0.016785006312423963
24,0.24,0.06225967995446938,0.019219730557536573,0.03269371481005183,0.014522933528642404,-0.157336143099159,0.05297147453091288,-0.1491052871683699,0.07147142510240327,-0.022775546368311562,0.01259967422494563,-0.023390348831571987,0.017369127665884217
25,0.25,0.06429161715234122,0.01984700432369769,0.033760722382623516,0.014996915712389782,-0.162471038678127,0.054700298039420704,-0.15397156130437095,0.07380401704131,-0.023518861106156475,0.013010890719400306,-0.024153730022218264,0.017935997326430864
