,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.281,0.036,0.707,0.336,0.489,0.029007718,0.0076586064,x
1,pi+,1.631,0.056,0.569,0.356,0.409,0.027522113,0.0063025877,x
2,pi+,2.017,0.076,0.513,0.367,0.372,0.02801297,0.0044062086,x
3,pi+,2.467,0.098,0.484,0.376,0.356,0.04313387,0.0054025077,x
4,pi+,3.203,0.133,0.464,0.379,0.344,0.06285928,0.030605687,x
5,pi+,4.321,0.186,0.449,0.379,0.339,0.033803552,0.025156502,x
6,pi+,6.179,0.275,0.434,0.375,0.344,0.028497979,0.0128039075,x
7,pi+,2.423,0.086,0.592,0.234,0.346,0.022161007,0.0054509286,z
8,pi+,2.428,0.094,0.551,0.303,0.377,0.04117765,0.004201302,z
9,pi+,2.425,0.097,0.528,0.373,0.403,0.052452,0.006239384,z
10,pi+,2.418,0.099,0.514,0.447,0.429,0.052002467,0.008264774,z
11,pi+,2.411,0.1,0.504,0.523,0.453,0.043665655,0.0074929334,z
12,pi+,2.4,0.101,0.494,0.593,0.465,0.04373518,0.006008829,z
13,pi+,2.385,0.103,0.478,0.663,0.465,0.072399706,0.008984612,z
14,pi+,2.533,0.109,0.46,0.341,0.11,0.007031787,0.004299073,phT
15,pi+,2.53,0.106,0.49,0.35,0.211,0.036132418,0.00995244,phT
16,pi+,2.486,0.1,0.519,0.355,0.29,0.022652619,0.004469437,phT
17,pi+,2.415,0.093,0.549,0.355,0.37,0.0452973,0.0045882133,phT
18,pi+,2.342,0.086,0.58,0.36,0.488,0.04763361,0.010427825,phT
19,pi+,2.303,0.08,0.616,0.388,0.669,0.049959913,0.02802924,phT
20,pi+,2.262,0.073,0.658,0.453,0.954,0.12466742,0.033769306,phT
21,pi-,1.278,0.035,0.708,0.33,0.484,0.014789784,0.013179477,x
22,pi-,1.629,0.055,0.57,0.35,0.403,0.008348245,0.010054766,x
23,pi-,2.011,0.076,0.512,0.36,0.367,0.0074615753,0.004743818,x
24,pi-,2.451,0.098,0.481,0.367,0.352,0.0072658695,0.0050952863,x
25,pi-,3.192,0.133,0.462,0.369,0.344,0.039272998,0.05052448,x
26,pi-,4.291,0.186,0.447,0.367,0.34,-0.022838065,0.038600005,x
27,pi-,6.125,0.275,0.43,0.363,0.354,0.021382706,0.019321445,x
28,pi-,2.373,0.084,0.596,0.233,0.352,0.00823953,0.0053243595,z
29,pi-,2.356,0.091,0.553,0.303,0.385,0.0073134755,0.006544184,z
30,pi-,2.338,0.094,0.53,0.373,0.411,0.0019837269,0.0065914113,z
