,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,1.24,0.006469,0.65,0.29,0.53,0.006900658,0.011396439,x
1,pi+,1.45,0.01059,0.46,0.33,0.52,0.010318474,0.006687984,x
2,pi+,1.67,0.01643,0.34,0.35,0.49,0.011866905,0.0062930067,x
3,pi+,1.99,0.02556,0.26,0.37,0.46,0.016478227,0.004927103,x
4,pi+,2.79,0.03967,0.23,0.39,0.45,0.024736468,0.0053551313,x
5,pi+,4.54,0.06255,0.24,0.38,0.46,0.032737423,0.0066348743,x
6,pi+,7.4,0.1005,0.25,0.37,0.46,0.034917116,0.006304967,x
7,pi+,11.8,0.1609,0.24,0.37,0.47,0.039609794,0.008479394,x
8,pi+,23.8,0.2781,0.28,0.36,0.51,0.038784232,0.016805278,x
9,pi+,3.43,0.037,0.36,0.2237,0.43,0.012706281,0.0065151234,z
10,pi+,3.37,0.039,0.34,0.2737,0.45,0.015832858,0.004710412,z
11,pi+,3.33,0.041,0.32,0.3237,0.48,0.027487015,0.0069819978,z
12,pi+,3.28,0.042,0.3,0.3737,0.49,0.03622292,0.0127616115,z
13,pi+,3.19,0.044,0.28,0.4448,0.52,0.04406411,0.012263687,z
14,pi+,3.03,0.046,0.25,0.5646,0.54,0.044851646,0.012550031,z
15,pi+,2.74,0.046,0.22,0.7164,0.54,0.05305137,0.014298224,z
16,pi+,2.4,0.045,0.19,0.8787,0.47,0.053831857,0.013418636,z
17,pi+,3.18,0.043,0.29,0.35,0.1547,0.011000227,0.0033256013,phT
18,pi+,3.14,0.042,0.29,0.35,0.2519,0.01766486,0.0063266293,phT
19,pi+,3.14,0.041,0.3,0.35,0.3496,0.021568218,0.005343616,phT
20,pi+,3.23,0.041,0.31,0.35,0.4482,0.027658245,0.0068610674,phT
21,pi+,3.29,0.041,0.32,0.36,0.5475,0.0346559,0.008543722,phT
22,pi+,3.36,0.04,0.33,0.37,0.6681,0.036542196,0.0077433274,phT
23,pi+,3.46,0.04,0.34,0.39,0.817,0.04679442,0.009835837,phT
24,pi+,3.61,0.039,0.36,0.41,1.042,0.057089098,0.014285605,phT
25,pi+,4.08,0.038,0.43,0.43,1.549,0.090057276,0.030737128,phT
26,pi-,1.24,0.006453,0.65,0.29,0.54,0.002450935,0.010155809,x
27,pi-,1.46,0.01057,0.47,0.32,0.52,-0.0038670471,0.006790654,x
28,pi-,1.68,0.01641,0.35,0.35,0.49,-0.011731521,0.0064933063,x
29,pi-,2.02,0.02552,0.27,0.37,0.46,-0.0067767603,0.0054162624,x
30,pi-,2.82,0.03964,0.24,0.38,0.45,-0.004191115,0.0054355375,x
31,pi-,4.59,0.06247,0.25,0.38,0.45,-0.0053625535,0.0063748662,x
32,pi-,7.42,0.1004,0.25,0.36,0.46,-0.005555144,0.0068718586,x
33,pi-,11.9,0.1607,0.25,0.36,0.47,0.0014669722,0.008935019,x
34,pi-,23.9,0.2781,0.28,0.35,0.51,0.038752876,0.022764767,x
35,pi-,3.31,0.036,0.37,0.2236,0.44,0.0074584014,0.0054586334,z
36,pi-,3.25,0.038,0.35,0.2736,0.46,0.0021735928,0.0058832713,z
37,pi-,3.19,0.039,0.33,0.3236,0.48,-0.0017975464,0.005042585,z
38,pi-,3.13,0.04,0.31,0.3736,0.5,-0.003778101,0.0057421564,z
39,pi-,3.02,0.041,0.28,0.4446,0.52,-0.003320241,0.0069059683,z
40,pi-,2.81,0.042,0.25,0.5643,0.54,-0.005017859,0.009395254,z
41,pi-,2.51,0.042,0.22,0.7171,0.52,-0.018559095,0.010384422,z
42,pi-,2.21,0.041,0.19,0.8794,0.43,-0.031175902,0.012383406,z
43,pi-,3.05,0.041,0.29,0.35,0.1545,8.5237894e-05,0.0018055483,phT
44,pi-,3.0,0.04,0.3,0.35,0.252,-0.0013930772,0.0027199674,phT
45,pi-,3.01,0.039,0.31,0.35,0.3497,-0.0019575162,0.0039169705,phT
46,pi-,3.08,0.039,0.32,0.35,0.4483,-0.00253648,0.0050308197,phT
47,pi-,3.15,0.038,0.33,0.35,0.5475,0.0006319449,0.0083106775,phT
48,pi-,3.23,0.038,0.34,0.36,0.668,0.00037312123,0.010377736,phT
49,pi-,3.29,0.037,0.35,0.38,0.8168,0.0038009246,0.016188562,phT
50,pi-,3.42,0.036,0.38,0.4,1.042,0.015981296,0.023560446,phT
51,pi-,3.83,0.035,0.43,0.42,1.554,0.043209486,0.04993353,phT
52,k+,1.24,0.006452,0.65,0.3,0.57,-0.0321808,0.02202231,x
53,k+,1.49,0.01054,0.48,0.35,0.56,0.010942247,0.013236048,x
54,k+,1.82,0.01628,0.38,0.39,0.56,0.025498673,0.013306711,x
55,k+,2.39,0.02533,0.32,0.44,0.55,0.014981617,0.011925643,x
56,k+,3.61,0.0398,0.3,0.46,0.54,0.03738228,0.014036081,x
57,k+,5.74,0.06279,0.3,0.45,0.54,0.046421,0.014447522,x
58,k+,9.1,0.1008,0.3,0.45,0.53,0.09008383,0.015628347,x
59,k+,14.5,0.1608,0.3,0.45,0.54,0.07857388,0.0208918,x
60,k+,28.7,0.2847,0.33,0.44,0.56,0.050042678,0.029899584,x
61,k+,3.97,0.028,0.5,0.2249,0.52,-0.0043264492,0.022742845,z
62,k+,4.0,0.032,0.46,0.2747,0.52,-0.0007195687,0.016968893,z
63,k+,3.92,0.035,0.42,0.3245,0.54,0.036978174,0.04735373,z
64,k+,3.87,0.038,0.38,0.3742,0.55,0.01718792,0.012749699,z
65,k+,3.74,0.042,0.33,0.4463,0.56,0.054564297,0.01716361,z
66,k+,3.44,0.046,0.27,0.5659,0.58,0.028468627,0.0063826377,z
67,k+,3.25,0.051,0.23,0.7142,0.62,0.062885135,0.022283077,z
68,k+,2.93,0.052,0.2,0.8732,0.61,0.09022662,0.030243473,z
69,k+,3.75,0.039,0.38,0.39,0.1543,0.0069095045,0.0034030925,phT
70,k+,3.75,0.039,0.38,0.39,0.2519,0.011291549,0.0055613196,phT
71,k+,3.77,0.039,0.37,0.39,0.3503,0.015692143,0.0077461493,phT
72,k+,3.77,0.039,0.37,0.4,0.4491,0.021171696,0.01002379,phT
73,k+,3.76,0.039,0.37,0.41,0.5486,0.027120627,0.012404143,phT
74,k+,3.68,0.038,0.37,0.42,0.6703,0.028297886,0.01652475,phT
75,k+,3.71,0.038,0.37,0.43,0.8192,0.036061056,0.020602891,phT
76,k+,3.75,0.037,0.39,0.44,1.051,0.046324957,0.032305185,phT
77,k+,4.12,0.036,0.44,0.44,1.57,0.12698115,0.08815069,phT
78,k-,1.25,0.006431,0.66,0.3,0.57,-0.034397997,0.028498001,x
79,k-,1.51,0.01051,0.48,0.34,0.56,0.034615897,0.01845274,x
80,k-,1.87,0.01621,0.39,0.37,0.54,-0.00090529874,0.0161394,x
