,parameter,value,error,chi2,N_data
0,m1,6.368898750835822,0.06503483524888587,638.5303910951999,900
1,Nu,1.5124467738243017,0.07066666685145137,638.5303910951999,900
2,alphau,2.1558419954540886,0.09572279057657163,638.5303910951999,900
3,betau,9.996477319704214,0.503182425178081,638.5303910951999,900
4,Nubar,3.0360488351547854,0.2917281447319373,638.5303910951999,900
5,alphaub,3.0978898543237063,0.10887492866382242,638.5303910951999,900
6,betaub,0.6135764432564872,0.17382308495882792,638.5303910951999,900
7,Nd,-3.623989529047354,0.3199769526011715,638.5303910951999,900
8,alphad,0.5535163546458577,0.04125825084044743,638.5303910951999,900
9,betad,0.22308308667898902,0.031139388755158648,638.5303910951999,900
10,Ndbar,-31.69508813453432,3.213518070836483,638.5303910951999,900
11,alphadb,5.330039021158626,0.21542685907862502,638.5303910951999,900
12,betadb,17.927132315061435,0.6796406014579581,638.5303910951999,900
13,Ns,-4.14197505259127,0.35243880769156366,638.5303910951999,900
14,alphas,4.208989186220925,0.24233318998324282,638.5303910951999,900
15,betas,1.2891088085390712,0.5160019970648527,638.5303910951999,900
16,Nsbar,-16.80965350324096,1.8084571997709933,638.5303910951999,900
17,alphasb,6.3414790648144574,0.40871477142690793,638.5303910951999,900
18,betasb,19.64181678918988,0.7828167234209005,638.5303910951999,900
