x,y,z,phT,Q2,Asym,dAsym,hadron,1D_dependence,HERMESp
0.00279,0.677647059,0.343478261,0.446575342,1.122807018,-0.024022346,0.00921788,pi+,x,cos2phi
0.01706,0.503529412,0.360869565,0.397260274,1.473684211,-0.006424581,0.00712291,pi+,x,
0.11312,0.470588235,0.365217391,0.37260274,2.526315789,-0.001396648,0.00796089,pi+,x,
0.88395,0.456470588,0.356521739,0.356164384,4.596491228,0.002793296,0.00963687,pi+,x,
0.104255319,0.38169,0.369565217,0.356164384,2,0.019553073,0.00963687,pi+,y,
0.085106383,0.49384,0.365217391,0.397260274,2.315789474,-0.01396648,0.00796089,pi+,y,
0.074468085,0.61544,0.356521739,0.421917808,2.526315789,-0.029888268,0.00712291,pi+,y,
0.065957447,0.76339,0.339130435,0.446575342,2.666666667,-0.028212291,0.01047486,pi+,y,
0.089361702,0.128571429,0.2675,0.339726027,2.310344828,0.008659218,0.00712291,pi+,z,
0.091489362,0.126190476,0.345,0.389041096,2.344827586,-0.019832402,0.0075419,pi+,z,
0.091489362,0.123809524,0.4475,0.438356164,2.275862069,-0.008938547,0.00796089,pi+,z,
0.089361702,0.122619048,0.5475,0.463013699,2.206896552,-0.017318436,0.00921788,pi+,z,
0.091489362,0.119047619,0.6675,0.512328767,2.206896552,-0.027374302,0.00921788,pi+,z,
0.095744681,0.117857143,0.317391304,0.13858,2.310344828,-0.004748603,0.00921788,pi+,phT,
0.093617021,0.122619048,0.334782609,0.27559,2.310344828,-0.009776536,0.00837989,pi+,phT,
0.091489362,0.125,0.360869565,0.41732,2.310344828,0.004469274,0.00879888,pi+,phT,
0.085106383,0.132142857,0.395652174,0.57795,2.275862069,-0.006424581,0.00837989,pi+,phT,
0.074468085,0.142857143,0.452173913,0.79527,2.172413793,-0.029888268,0.0150838,pi+,phT,
0.024697829,0.67764706,0.343478261,0.446575342,1.122807018,0.018258427,0.01474719,pi-,x,
0.070282045,0.50352941,0.360869565,0.397260274,1.473684211,0.035955056,0.00969101,pi-,x,
0.220434628,0.47058824,0.365217391,0.37260274,2.526315789,0.01741573,0.00884831,pi-,x,
0.725838772,0.45647059,0.356521739,0.356164384,4.596491228,-0.000280899,0.02148876,pi-,x,
0.104255319,0.372972973,0.369565217,0.356164384,2,0.038483146,0.01390449,pi-,y,
0.085106383,0.521621622,0.365217391,0.397260274,2.315789474,0.030898876,0.00926966,pi-,y,
0.074468085,0.648648649,0.356521739,0.421917808,2.526315789,0.005617978,0.00842697,pi-,y,
0.065957447,0.772972973,0.339130435,0.446575342,2.666666667,-0.009550562,0.01179775,pi-,y,
0.089361702,0.128571429,0.265,0.339726027,2.310344828,0.010674157,0.00926966,pi-,z,
0.091489362,0.126190476,0.345,0.389041096,2.344827586,0.01488764,0.00969101,pi-,z,
0.091489362,0.123809524,0.445,0.438356164,2.275862069,0.045224719,0.00926966,pi-,z,
0.089361702,0.122619048,0.5475,0.463013699,2.206896552,0.054494382,0.01011236,pi-,z,
0.091489362,0.119047619,0.6675,0.512328767,2.206896552,0.061235955,0.0113764,pi-,z,
0.09574468,0.117857143,0.317391304,0.133858268,2.310344828,-0.022191011,0.01264045,pi-,phT,
0.09361702,0.122619048,0.334782609,0.275590551,2.310344828,0.009831461,0.00800562,pi-,phT,
0.09148936,0.125,0.360869565,0.417322835,2.310344828,0.042696629,0.01179775,pi-,phT,
