,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.036,0.367375,0.37725,2.7325,0.08548328110838851,0.16978748382719508,0.20015378456379582,0.38324620872526327,0.4819411692406872,0.08548328110838851
1,pi+,x,0.0382020202020202,0.367375,0.37725,2.7325,0.08400935553179595,0.1670695287453484,0.19816751746149153,0.3870448267526683,0.4900293320336866,0.08400935553179595
2,pi+,x,0.0404040404040404,0.367375,0.37725,2.7325,0.08257415808883523,0.16438941115937364,0.19616148536058087,0.3906117156694786,0.4978729388694584,0.08257415808883523
3,pi+,x,0.0426060606060606,0.367375,0.37725,2.7325,0.08117719033716886,0.1617464334787395,0.19414537832590953,0.3939714827675221,0.5054885726627935,0.08117719033716886
4,pi+,x,0.0448080808080808,0.367375,0.37725,2.7325,0.07981553681634895,0.15912833544207497,0.19211925152963125,0.3971231615792665,0.5128730180122607,0.07981553681634895
5,pi+,x,0.047010101010101,0.367375,0.37725,2.7325,0.07848770134184196,0.15653303534599725,0.19008550960018716,0.40008332805648034,0.5200434203641979,0.07848770134184196
6,pi+,x,0.0492121212121212,0.367375,0.37725,2.7325,0.07719189779102663,0.15396700017671938,0.18804936023922803,0.4028825796575852,0.5270287870125098,0.07719189779102663
7,pi+,x,0.0514141414141414,0.367375,0.37725,2.7325,0.07592294072315635,0.15142018576931865,0.1860115221325451,0.40551498387486384,0.5338129621685349,0.07592294072315635
8,pi+,x,0.0536161616161616,0.367375,0.37725,2.7325,0.07467652210914517,0.1488842765233583,0.1839725698412026,0.4079765957921927,0.5403840023029607,0.07467652210914517
9,pi+,x,0.0558181818181818,0.367375,0.37725,2.7325,0.07345008266870237,0.14635941444488232,0.1819320373763853,0.4102849867825447,0.5467629181130277,0.07345008266870237
10,pi+,x,0.058020202020202,0.367375,0.37725,2.7325,0.0722440005617962,0.14385007026969082,0.17989270924704656,0.41245989859129434,0.5529725414168157,0.0722440005617962
11,pi+,x,0.0602222222222222,0.367375,0.37725,2.7325,0.07105874691567975,0.14135516548599067,0.177859530962063,0.41450072518151504,0.5590051150282099,0.07105874691567975
12,pi+,x,0.0624242424242424,0.367375,0.37725,2.7325,0.0698945670399759,0.1388738301738634,0.17583648496125479,0.41640808040577415,0.5648557452156431,0.0698945670399759
13,pi+,x,0.0646262626262626,0.367375,0.37725,2.7325,0.0687510742219863,0.13640520757810867,0.17382497496544091,0.41819293874485874,0.5705365970502951,0.0687510742219863
14,pi+,x,0.0668282828282828,0.367375,0.37725,2.7325,0.0676264658284694,0.13394961841920788,0.1718227427111451,0.4198751247032332,0.5760757448776406,0.0676264658284694
15,pi+,x,0.069030303030303,0.367375,0.37725,2.7325,0.06651946796744869,0.13150872961754995,0.16983088822398718,0.42144917464399095,0.581463087522007,0.06651946796744869
16,pi+,x,0.0712323232323232,0.367375,0.37725,2.7325,0.06542897958267035,0.12908392365255061,0.1678504591822459,0.42291036073518595,0.5866897589473703,0.06542897958267035
17,pi+,x,0.0734343434343434,0.367375,0.37725,2.7325,0.06435400442957724,0.12667624928384497,0.1658822922400642,0.42425562839361974,0.5917495323065162,0.06435400442957724
18,pi+,x,0.0756363636363636,0.367375,0.37725,2.7325,0.06329252547789899,0.1242802903979312,0.16392547316779904,0.4255024073568221,0.5966637577253753,0.06329252547789899
19,pi+,x,0.0778383838383838,0.367375,0.37725,2.7325,0.062244449733090186,0.1218967533628572,0.16197957626197643,0.42665999185001363,0.6014460963248702,0.062244449733090186
20,pi+,x,0.080040404040404,0.367375,0.37725,2.7325,0.06121085390101038,0.11953148492131307,0.16004521011044612,0.4277241728094423,0.6060930861135513,0.06121085390101038
21,pi+,x,0.0822424242424242,0.367375,0.37725,2.7325,0.06019259349071314,0.11718937364048682,0.15812286920516908,0.4286918573543737,0.6106024057520761,0.06019259349071314
22,pi+,x,0.0844444444444444,0.367375,0.37725,2.7325,0.05919033786199273,0.11487449195923757,0.1562129511542957,0.4295608815282058,0.6149726784048088,0.05919033786199273
