,Dependence,x1,x2,xF,QT,QM,Siv,tot_err
0,x1,0.1,0.61,0.5,1.22,4.8,0.2269674952521802,0.126
1,x1,0.16,0.47,0.31,1.25,5.26,0.34727267033120474,0.12
2,x1,0.25,0.4,0.15,1.23,5.98,0.4767247594948458,0.117
3,x2,0.21,0.31,0.1,1.36,4.99,0.466387196254808,0.118
4,x2,0.16,0.48,0.31,1.23,5.35,0.34171630760590554,0.12
5,x2,0.13,0.69,0.56,1.12,5.68,0.26184359342972835,0.124
6,xF,0.23,0.32,0.09,1.33,5.26,0.4868907534989462,0.12
7,xF,0.16,0.47,0.31,1.26,5.33,0.35005085169385436,0.12
8,xF,0.12,0.68,0.56,1.13,5.43,0.24666281669810708,0.123
9,QT,0.17,0.52,0.35,0.66,5.32,0.19250068272180823,0.12
10,QT,0.17,0.5,0.33,1.13,5.33,0.32958450223582303,0.124
11,QT,0.17,0.46,0.29,1.97,5.37,0.574585371154488,0.118
12,QM,0.13,0.44,0.31,1.23,4.51,0.28756037492729103,0.122
13,QM,0.16,0.48,0.32,1.23,5.08,0.34171630760590543,0.125
14,QM,0.22,0.56,0.34,1.25,6.43,0.44339278444073454,0.116
