,hadron,1D_dependence,x,z,phT,QQ,sbar,ubar,dbar,d,u,s
39,pi-,z,0.0488,0.444,0.54,3.34,0.08172207867084189,0.15740462647045067,0.19146862496260994,0.4073656565183515,0.533936866979507,0.08172207867084189
40,pi-,z,0.0499,0.564,0.55,3.11,0.07952478227051979,0.15502507995634393,0.18931626812950994,0.4068839120079547,0.5344351719145551,0.07952478227051979
41,pi-,z,0.0491,0.716,0.53,2.77,0.07755989890721125,0.1543061883082656,0.18836806468273842,0.40309852031383836,0.5272589674859908,0.07755989890721125
42,pi-,z,0.0473,0.879,0.43,2.43,0.07548201288061458,0.1541736174239995,0.18773357315836192,0.39707939339135645,0.5155942800609639,0.07548201288061458
43,pi-,phT,0.0487,0.346,0.15,3.38,0.08203478842331227,0.15770013915917597,0.1917452626012574,0.4075385645153345,0.534101314524746,0.08203478842331227
44,pi-,phT,0.0477,0.344,0.25,3.32,0.0823681605330244,0.15873719982733342,0.1925430885477417,0.40601600272561744,0.5303913760202769,0.0823681605330244
45,pi-,phT,0.0464,0.342,0.35,3.29,0.08309373316621396,0.16028481802901456,0.19377513365085924,0.4043078537044474,0.526048175579505,0.08309373316621396
46,pi-,phT,0.0464,0.34,0.45,3.36,0.08355278026981981,0.16061161880760025,0.19411105313713262,0.40484820209511024,0.5269095498390841,0.08355278026981981
47,pi-,phT,0.0464,0.342,0.55,3.46,0.08418435107921207,0.16106054821785973,0.19457228813979915,0.4055900746969101,0.5280939816509403,0.08418435107921207
48,pi-,phT,0.0461,0.351,0.67,3.53,0.08483649888213958,0.16176671390342617,0.19521369456736273,0.4057575889029979,0.5279818215866976,0.08483649888213958
49,pi-,phT,0.0458,0.366,0.82,3.65,0.08577617859937628,0.1626809093421353,0.19606810633170826,0.406259917364812,0.5283969851850747,0.08577617859937628
50,pi-,phT,0.0452,0.386,1.04,3.83,0.0872675427565015,0.1642422153266529,0.19750075761349845,0.40680219782888316,0.5284730448898411,0.0872675427565015
51,pi-,phT,0.0442,0.4,1.56,4.34,0.09070697396678296,0.16756078269710362,0.2006198500279172,0.4087961624496868,0.5302593211151987,0.09070697396678296
52,k+,z,0.0324,0.225,0.55,4.51,0.10382249182713177,0.18756800670789567,0.21708964233644207,0.3959777057090163,0.4943439733942322,0.10382249182713177
53,k+,z,0.0372,0.275,0.56,4.49,0.09831967201401494,0.17919466490633223,0.21034512199484978,0.4020542956091597,0.5100832553177939,0.09831967201401494
54,k+,z,0.0417,0.324,0.57,4.46,0.09361347912476664,0.171817450943972,0.20424877207460654,0.40691632448165815,0.5238313952829908,0.09361347912476664
55,k+,z,0.0454,0.374,0.57,4.36,0.08972475431889479,0.1658288317875388,0.19918367978165008,0.4100667158420935,0.5339317997505882,0.08972475431889479
56,k+,z,0.0499,0.447,0.58,4.18,0.08515405800246843,0.15879077275423098,0.19316084525811822,0.41326481778200375,0.5452241616470895,0.08515405800246843
57,k+,z,0.0558,0.567,0.6,3.89,0.07951808642189068,0.1500318005249826,0.18563605371675562,0.4167315250556364,0.5587251088757228,0.07951808642189068
58,k+,z,0.0616,0.715,0.64,3.77,0.07512022797182627,0.14231912890016452,0.1790730219095512,0.420316590608132,0.5723833463620083,0.07512022797182627
59,k+,z,0.063,0.874,0.63,3.55,0.07341472352830442,0.14016774998483061,0.17720744073638037,0.4204623748877681,0.5741211234426542,0.07341472352830442
60,k+,x,0.0065,0.299,0.64,1.23,0.05175609133587094,0.15009075986170542,0.15812799769156904,0.21427224222403118,0.24484775025303523,0.05175609133587094
61,k+,x,0.0106,0.35,0.6,1.47,0.06261892319262818,0.16317247180880304,0.17627090425298114,0.25905515748224245,0.3010851684664573,0.06261892319262818
