PT,PT_Low,PT_High,CS/A_cm2,error_cm2,CS/A_pb,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",y,QM,QM_Low,QM_High,SqrtS,xF,P NUCLEUS --> MU+ MU- X
2.9,2.8,3,5.8,1.1,0.0058,0.0058,0.0011,,,0.03,7.5,7,8,400,0.001125169,
3.1,3,3.2,3,0.7,0.003,0.003,0.0007,,,0.03,7.5,7,8,400,0.001125169,
3.3,3.2,3.4,1.1,0.4,0.0011,0.0011,0.0004,,,0.03,7.5,7,8,400,0.001125169,
3.5,3.4,3.6,2.4,0.7,0.0024,0.0024,0.0007,,,0.03,7.5,7,8,400,0.001125169,
3.7,3.6,3.8,2.2,0.7,0.0022,0.0022,0.0007,,,0.03,7.5,7,8,400,0.001125169,
3.9,3.8,4,0.94,0.47,0.00094,0.00094,0.00047,,,0.03,7.5,7,8,400,0.001125169,
4.1,4,4.2,0.26,0.27,0.00026,0.00026,0.00027,,,0.03,7.5,7,8,400,0.001125169,
4.3,4.2,4.4,0.26,0.26,0.00026,0.00026,0.00026,,,0.03,7.5,7,8,400,0.001125169,
4.5,4.4,4.6,0.28,0.48,0.00028,0.00028,0.00048,,,0.03,7.5,7,8,400,0.001125169,
4.7,4.6,4.8,0.57,0.4,0.00057,0.00057,0.0004,,,0.03,7.5,7,8,400,0.001125169,
0.1,0,0.2,158,9,0.158,0.158,0.009,,,0.03,8.5,8,9,400,0.001275191,
0.3,0.2,0.4,138,5,0.138,0.138,0.005,,,0.03,8.5,8,9,400,0.001275191,
0.5,0.4,0.6,122,4,0.122,0.122,0.004,,,0.03,8.5,8,9,400,0.001275191,
0.7,0.6,0.8,112,4,0.112,0.112,0.004,,,0.03,8.5,8,9,400,0.001275191,
0.9,0.8,1,83,3,0.083,0.083,0.003,,,0.03,8.5,8,9,400,0.001275191,
1.1,1,1.2,63,3,0.063,0.063,0.003,,,0.03,8.5,8,9,400,0.001275191,
1.3,1.2,1.4,47,2,0.047,0.047,0.002,,,0.03,8.5,8,9,400,0.001275191,
1.5,1.4,1.6,39,2,0.039,0.039,0.002,,,0.03,8.5,8,9,400,0.001275191,
1.7,1.6,1.8,23,2,0.023,0.023,0.002,,,0.03,8.5,8,9,400,0.001275191,
1.9,1.8,2,17.1,1.2,0.0171,0.0171,0.0012,,,0.03,8.5,8,9,400,0.001275191,
2.1,2,2.2,9.5,1.1,0.0095,0.0095,0.0011,,,0.03,8.5,8,9,400,0.001275191,
2.3,2.2,2.4,7.2,0.9,0.0072,0.0072,0.0009,,,0.03,8.5,8,9,400,0.001275191,
2.5,2.4,2.6,3.9,0.7,0.0039,0.0039,0.0007,,,0.03,8.5,8,9,400,0.001275191,
2.7,2.6,2.8,3.3,0.6,0.0033,0.0033,0.0006,,,0.03,8.5,8,9,400,0.001275191,
2.9,2.8,3,1.6,0.4,0.0016,0.0016,0.0004,,,0.03,8.5,8,9,400,0.001275191,
3.1,3,3.2,0.84,0.36,0.00084,0.00084,0.00036,,,0.03,8.5,8,9,400,0.001275191,
3.3,3.2,3.4,0.83,0.32,0.00083,0.00083,0.00032,,,0.03,8.5,8,9,400,0.001275191,
3.5,3.4,3.6,0.26,0.18,0.00026,0.00026,0.00018,,,0.03,8.5,8,9,400,0.001275191,
3.7,3.6,3.8,0.63,0.28,0.00063,0.00063,0.00028,,,0.03,8.5,8,9,400,0.001275191,
4.7,4.6,4.8,0.15,0.15,0.00015,0.00015,0.00015,,,0.03,8.5,8,9,400,0.001275191,
0.1,0,0.2,117,8,0.117,0.117,0.008,,,0.03,9.5,9,10,400,0.001425214,
0.3,0.2,0.4,119,5,0.119,0.119,0.005,,,0.03,9.5,9,10,400,0.001425214,
0.5,0.4,0.6,109,4,0.109,0.109,0.004,,,0.03,9.5,9,10,400,0.001425214,
0.7,0.6,0.8,94,3,0.094,0.094,0.003,,,0.03,9.5,9,10,400,0.001425214,
0.9,0.8,1,78,3,0.078,0.078,0.003,,,0.03,9.5,9,10,400,0.001425214,
1.1,1,1.2,50,2,0.05,0.05,0.002,,,0.03,9.5,9,10,400,0.001425214,
1.3,1.2,1.4,44,2,0.044,0.044,0.002,,,0.03,9.5,9,10,400,0.001425214,
1.5,1.4,1.6,33,2,0.033,0.033,0.002,,,0.03,9.5,9,10,400,0.001425214,
1.7,1.6,1.8,23,2,0.023,0.023,0.002,,,0.03,9.5,9,10,400,0.001425214,
1.9,1.8,2,15.1,1.2,0.0151,0.0151,0.0012,,,0.03,9.5,9,10,400,0.001425214,
2.1,2,2.2,12.2,1.1,0.0122,0.0122,0.0011,,,0.03,9.5,9,10,400,0.001425214,
2.3,2.2,2.4,7.8,0.9,0.0078,0.0078,0.0009,,,0.03,9.5,9,10,400,0.001425214,
2.5,2.4,2.6,5.6,0.7,0.0056,0.0056,0.0007,,,0.03,9.5,9,10,400,0.001425214,
2.7,2.6,2.8,4.4,0.6,0.0044,0.0044,0.0006,,,0.03,9.5,9,10,400,0.001425214,
2.9,2.8,3,2.9,0.5,0.0029,0.0029,0.0005,,,0.03,9.5,9,10,400,0.001425214,
3.1,3,3.2,1.55,0.36,0.00155,0.00155,0.00036,,,0.03,9.5,9,10,400,0.001425214,
3.3,3.2,3.4,1.38,0.36,0.00138,0.00138,0.00036,,,0.03,9.5,9,10,400,0.001425214,
3.5,3.4,3.6,1.05,0.32,0.00105,0.00105,0.00032,,,0.03,9.5,9,10,400,0.001425214,
3.7,3.6,3.8,0.71,0.25,0.00071,0.00071,0.00025,,,0.03,9.5,9,10,400,0.001425214,
3.9,3.8,4,0.44,0.2,0.00044,0.00044,0.0002,,,0.03,9.5,9,10,400,0.001425214,
4.1,4,4.2,0.51,0.21,0.00051,0.00051,0.00021,,,0.03,9.5,9,10,400,0.001425214,
4.3,4.2,4.4,0.21,0.15,0.00021,0.00021,0.00015,,,0.03,9.5,9,10,400,0.001425214,
4.5,4.4,4.6,0.38,0.19,0.00038,0.00038,0.00019,,,0.03,9.5,9,10,400,0.001425214,
0.1,0,0.2,36.5,4.2,0.0365,0.0365,0.0042,,,0.03,10.5,10,11,400,0.001575236,
0.3,0.2,0.4,37.8,2.5,0.0378,0.0378,0.0025,,,0.03,10.5,10,11,400,0.001575236,
0.5,0.4,0.6,32.3,1.9,0.0323,0.0323,0.0019,,,0.03,10.5,10,11,400,0.001575236,
0.7,0.6,0.8,25.7,1.6,0.0257,0.0257,0.0016,,,0.03,10.5,10,11,400,0.001575236,
0.9,0.8,1,23.2,1.4,0.0232,0.0232,0.0014,,,0.03,10.5,10,11,400,0.001575236,
1.1,1,1.2,19.9,1.3,0.0199,0.0199,0.0013,,,0.03,10.5,10,11,400,0.001575236,
