PT,PT_Low,PT_High,CS/A_cm2,error_cm2,CS/A_pb,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",y,QM,QM_Low,QM_High,SqrtS,xF,P NUCLEUS --> MU+ MU- X
0.7,0.6,0.8,73,9,0.073,0.073,0.009,,,0.21,8.5,8,9,300,0.011987658,
0.9,0.8,1,53,7,0.053,0.053,0.007,,,0.21,8.5,8,9,300,0.011987658,
1.1,1,1.2,52,8,0.052,0.052,0.008,,,0.21,8.5,8,9,300,0.011987658,
1.3,1.2,1.4,32,6,0.032,0.032,0.006,,,0.21,8.5,8,9,300,0.011987658,
1.5,1.4,1.6,18,4,0.018,0.018,0.004,,,0.21,8.5,8,9,300,0.011987658,
1.7,1.6,1.8,10.2,3.4,0.0102,0.0102,0.0034,,,0.21,8.5,8,9,300,0.011987658,
1.9,1.8,2,2.3,1.3,0.0023,0.0023,0.0013,,,0.21,8.5,8,9,300,0.011987658,
2.1,2,2.2,7,3,0.007,0.007,0.003,,,0.21,8.5,8,9,300,0.011987658,
2.3,2.2,2.4,1.6,1.2,0.0016,0.0016,0.0012,,,0.21,8.5,8,9,300,0.011987658,
2.5,2.4,2.6,0.88,0.89,0.00088,0.00088,0.00089,,,0.21,8.5,8,9,300,0.011987658,
3.1,3,3.2,1,1,0.001,0.001,0.001,,,0.21,8.5,8,9,300,0.011987658,
0.1,0,0.2,91,21,0.091,0.091,0.021,,,0.21,9.5,9,10,300,0.013397971,
0.3,0.2,0.4,66,10,0.066,0.066,0.01,,,0.21,9.5,9,10,300,0.013397971,
0.5,0.4,0.6,66,8,0.066,0.066,0.008,,,0.21,9.5,9,10,300,0.013397971,
0.7,0.6,0.8,69,9,0.069,0.069,0.009,,,0.21,9.5,9,10,300,0.013397971,
0.9,0.8,1,50,7,0.05,0.05,0.007,,,0.21,9.5,9,10,300,0.013397971,
1.1,1,1.2,50,7.7,0.05,0.05,0.0077,,,0.21,9.5,9,10,300,0.013397971,
1.3,1.2,1.4,30,5.6,0.03,0.03,0.0056,,,0.21,9.5,9,10,300,0.013397971,
1.5,1.4,1.6,16.6,4,0.0166,0.0166,0.004,,,0.21,9.5,9,10,300,0.013397971,
1.7,1.6,1.8,9.7,3.3,0.0097,0.0097,0.0033,,,0.21,9.5,9,10,300,0.013397971,
1.9,1.8,2,2.2,1.3,0.0022,0.0022,0.0013,,,0.21,9.5,9,10,300,0.013397971,
2.1,2,2.2,6.7,2.9,0.0067,0.0067,0.0029,,,0.21,9.5,9,10,300,0.013397971,
2.3,2.2,2.4,1.55,1.12,0.00155,0.00155,0.00112,,,0.21,9.5,9,10,300,0.013397971,
2.5,2.4,2.6,0.84,0.84,0.00084,0.00084,0.00084,,,0.21,9.5,9,10,300,0.013397971,
3.1,3,3.2,0.96,0.98,0.00096,0.00096,0.00098,,,0.21,9.5,9,10,300,0.013397971,
0.1,0,0.2,18.7,7.2,0.0187,0.0187,0.0072,,,0.21,10.5,10,11,300,0.014808283,
0.3,0.2,0.4,16.6,4,0.0166,0.0166,0.004,,,0.21,10.5,10,11,300,0.014808283,
0.5,0.4,0.6,12.1,2.6,0.0121,0.0121,0.0026,,,0.21,10.5,10,11,300,0.014808283,
0.7,0.6,0.8,10.1,2.2,0.0101,0.0101,0.0022,,,0.21,10.5,10,11,300,0.014808283,
0.9,0.8,1,62.4,1.6,0.0624,0.0624,0.0016,,,0.21,10.5,10,11,300,0.014808283,
1.1,1,1.2,6.6,1.7,0.0066,0.0066,0.0017,,,0.21,10.5,10,11,300,0.014808283,
1.3,1.2,1.4,2.3,0.9,0.0023,0.0023,0.0009,,,0.21,10.5,10,11,300,0.014808283,
1.5,1.4,1.6,3.7,1.2,0.0037,0.0037,0.0012,,,0.21,10.5,10,11,300,0.014808283,
1.7,1.6,1.8,4.6,1.4,0.0046,0.0046,0.0014,,,0.21,10.5,10,11,300,0.014808283,
1.9,1.8,2,0.75,0.53,0.00075,0.00075,0.00053,,,0.21,10.5,10,11,300,0.014808283,
2.1,2,2.2,0.47,0.47,0.00047,0.00047,0.00047,,,0.21,10.5,10,11,300,0.014808283,
2.7,2.6,2.8,0.37,0.37,0.00037,0.00037,0.00037,,,0.21,10.5,10,11,300,0.014808283,
2.9,2.8,3,0.44,0.44,0.00044,0.00044,0.00044,,,0.21,10.5,10,11,300,0.014808283,
0.1,0,0.2,2.71,2.72,0.00271,0.00271,0.00272,,,0.21,11.5,11,12,300,0.016218596,
0.3,0.2,0.4,0.79,0.79,0.00079,0.00079,0.00079,,,0.21,11.5,11,12,300,0.016218596,
0.5,0.4,0.6,1.01,0.72,0.00101,0.00101,0.00072,,,0.21,11.5,11,12,300,0.016218596,
0.7,0.6,0.8,1,0.58,0.001,0.001,0.00058,,,0.21,11.5,11,12,300,0.016218596,
0.9,0.8,1,0.68,0.48,0.00068,0.00068,0.00048,,,0.21,11.5,11,12,300,0.016218596,
1.1,1,1.2,1.18,0.6,0.00118,0.00118,0.0006,,,0.21,11.5,11,12,300,0.016218596,
1.3,1.2,1.4,0.26,0.26,0.00026,0.00026,0.00026,,,0.21,11.5,11,12,300,0.016218596,
1.5,1.4,1.6,0.54,0.38,0.00054,0.00054,0.00038,,,0.21,11.5,11,12,300,0.016218596,
1.7,1.6,1.8,0.35,0.35,0.00035,0.00035,0.00035,,,0.21,11.5,11,12,300,0.016218596,
2.3,2.2,2.4,0.29,0.3,0.00029,0.00029,0.0003,,,0.21,11.5,11,12,300,0.016218596,
0.1,0,0.2,6290,320,6.29,6.29,0.32,,,0.4,4.5,4,5,200,0.018483855,
0.3,0.2,0.4,5880,240,5.88,5.88,0.24,,,0.4,4.5,4,5,200,0.018483855,
0.5,0.4,0.6,4750,230,4.75,4.75,0.23,,,0.4,4.5,4,5,200,0.018483855,
0.7,0.6,0.8,3690,220,3.69,3.69,0.22,,,0.4,4.5,4,5,200,0.018483855,
0.9,0.8,1,2930,220,2.93,2.93,0.22,,,0.4,4.5,4,5,200,0.018483855,
1.1,1,1.2,1680,160,1.68,1.68,0.16,,,0.4,4.5,4,5,200,0.018483855,
1.3,1.2,1.4,1260,140,1.26,1.26,0.14,,,0.4,4.5,4,5,200,0.018483855,
1.5,1.4,1.6,678,124,0.678,0.678,0.124,,,0.4,4.5,4,5,200,0.018483855,
1.7,1.6,1.8,598,102,0.598,0.598,0.102,,,0.4,4.5,4,5,200,0.018483855,
1.9,1.8,2,59,67,0.059,0.059,0.067,,,0.4,4.5,4,5,200,0.018483855,
2.1,2,2.2,176,62,0.176,0.176,0.062,,,0.4,4.5,4,5,200,0.018483855,
2.3,2.2,2.4,-33,55,-0.033,-0.033,0.055,,,0.4,4.5,4,5,200,0.018483855,
2.5,2.4,2.6,105,56,0.105,0.105,0.056,,,0.4,4.5,4,5,200,0.018483855,
2.7,2.6,2.8,-73,75,-0.073,-0.073,0.075,,,0.4,4.5,4,5,200,0.018483855,
0.1,0,0.2,1630,110,1.63,1.63,0.11,,,0.4,5.5,5,6,200,0.022591378,
0.3,0.2,0.4,1440,80,1.44,1.44,0.08,,,0.4,5.5,5,6,200,0.022591378,
0.5,0.4,0.6,1190,70,1.19,1.19,0.07,,,0.4,5.5,5,6,200,0.022591378,
0.7,0.6,0.8,1040,70,1.04,1.04,0.07,,,0.4,5.5,5,6,200,0.022591378,
0.9,0.8,1,601,51,0.601,0.601,0.051,,,0.4,5.5,5,6,200,0.022591378,
1.1,1,1.2,441,43,0.441,0.441,0.043,,,0.4,5.5,5,6,200,0.022591378,
1.3,1.2,1.4,248,30,0.248,0.248,0.03,,,0.4,5.5,5,6,200,0.022591378,
1.5,1.4,1.6,255,36,0.255,0.255,0.036,,,0.4,5.5,5,6,200,0.022591378,
1.7,1.6,1.8,159,28,0.159,0.159,0.028,,,0.4,5.5,5,6,200,0.022591378,
1.9,1.8,2,63,15,0.063,0.063,0.015,,,0.4,5.5,5,6,200,0.022591378,
2.1,2,2.2,44,16,0.044,0.044,0.016,,,0.4,5.5,5,6,200,0.022591378,
2.3,2.2,2.4,50,16,0.05,0.05,0.016,,,0.4,5.5,5,6,200,0.022591378,
2.5,2.4,2.6,8.1,8.3,0.0081,0.0081,0.0083,,,0.4,5.5,5,6,200,0.022591378,
2.7,2.6,2.8,11.8,8.7,0.0118,0.0118,0.0087,,,0.4,5.5,5,6,200,0.022591378,
2.9,2.8,3,4.2,4.2,0.0042,0.0042,0.0042,,,0.4,5.5,5,6,200,0.022591378,
3.3,3.2,3.4,-5,5.1,-0.005,-0.005,0.0051,,,0.4,5.5,5,6,200,0.022591378,
0.1,0,0.2,399,43,0.399,0.399,0.043,,,0.4,6.5,6,7,200,0.026698901,
0.3,0.2,0.4,342,25,0.342,0.342,0.025,,,0.4,6.5,6,7,200,0.026698901,
0.5,0.4,0.6,333,22,0.333,0.333,0.022,,,0.4,6.5,6,7,200,0.026698901,
0.7,0.6,0.8,255,20,0.255,0.255,0.02,,,0.4,6.5,6,7,200,0.026698901,
0.9,0.8,1,181,17,0.181,0.181,0.017,,,0.4,6.5,6,7,200,0.026698901,
1.1,1,1.2,130,14,0.13,0.13,0.014,,,0.4,6.5,6,7,200,0.026698901,
1.3,1.2,1.4,73,11,0.073,0.073,0.011,,,0.4,6.5,6,7,200,0.026698901,
1.5,1.4,1.6,45,8,0.045,0.045,0.008,,,0.4,6.5,6,7,200,0.026698901,
1.7,1.6,1.8,35,7,0.035,0.035,0.007,,,0.4,6.5,6,7,200,0.026698901,
1.9,1.8,2,20,6,0.02,0.02,0.006,,,0.4,6.5,6,7,200,0.026698901,
2.1,2,2.2,8.3,3.7,0.0083,0.0083,0.0037,,,0.4,6.5,6,7,200,0.026698901,
2.3,2.2,2.4,9.4,4.3,0.0094,0.0094,0.0043,,,0.4,6.5,6,7,200,0.026698901,
2.5,2.4,2.6,5.3,3.1,0.0053,0.0053,0.0031,,,0.4,6.5,6,7,200,0.026698901,
2.7,2.6,2.8,1.8,1.8,0.0018,0.0018,0.0018,,,0.4,6.5,6,7,200,0.026698901,
0.1,0,0.2,94.5,18.8,0.0945,0.0945,0.0188,,,0.4,7.5,7,8,200,0.030806424,
0.3,0.2,0.4,90.1,11.1,0.0901,0.0901,0.0111,,,0.4,7.5,7,8,200,0.030806424,
0.5,0.4,0.6,70.2,8.4,0.0702,0.0702,0.0084,,,0.4,7.5,7,8,200,0.030806424,
0.7,0.6,0.8,52.2,6.9,0.0522,0.0522,0.0069,,,0.4,7.5,7,8,200,0.030806424,
0.9,0.8,1,41.1,6.1,0.0411,0.0411,0.0061,,,0.4,7.5,7,8,200,0.030806424,
1.1,1,1.2,29.7,5.4,0.0297,0.0297,0.0054,,,0.4,7.5,7,8,200,0.030806424,
1.3,1.2,1.4,16.4,3.8,0.0164,0.0164,0.0038,,,0.4,7.5,7,8,200,0.030806424,
1.5,1.4,1.6,9.5,2.9,0.0095,0.0095,0.0029,,,0.4,7.5,7,8,200,0.030806424,
1.7,1.6,1.8,6.9,2.5,0.0069,0.0069,0.0025,,,0.4,7.5,7,8,200,0.030806424,
1.9,1.8,2,3.7,1.7,0.0037,0.0037,0.0017,,,0.4,7.5,7,8,200,0.030806424,
2.1,2,2.2,3.2,1.9,0.0032,0.0032,0.0019,,,0.4,7.5,7,8,200,0.030806424,
2.3,2.2,2.4,1.6,1.2,0.0016,0.0016,0.0012,,,0.4,7.5,7,8,200,0.030806424,
3.1,3,3.2,1.1,1.2,0.0011,0.0011,0.0012,,,0.4,7.5,7,8,200,0.030806424,
0.1,0,0.2,22.2,7.5,0.0222,0.0222,0.0075,,,0.4,8.5,8,9,200,0.034913948,
0.3,0.2,0.4,16.5,3.8,0.0165,0.0165,0.0038,,,0.4,8.5,8,9,200,0.034913948,
0.5,0.4,0.6,13.4,2.9,0.0134,0.0134,0.0029,,,0.4,8.5,8,9,200,0.034913948,
0.7,0.6,0.8,10,2.3,0.01,0.01,0.0023,,,0.4,8.5,8,9,200,0.034913948,
0.9,0.8,1,6.1,1.7,0.0061,0.0061,0.0017,,,0.4,8.5,8,9,200,0.034913948,
1.1,1,1.2,5.2,1.6,0.0052,0.0052,0.0016,,,0.4,8.5,8,9,200,0.034913948,
1.3,1.2,1.4,6,1.8,0.006,0.006,0.0018,,,0.4,8.5,8,9,200,0.034913948,
1.5,1.4,1.6,1.7,1,0.0017,0.0017,0.001,,,0.4,8.5,8,9,200,0.034913948,
1.7,1.6,1.8,1.05,0.75,0.00105,0.00105,0.00075,,,0.4,8.5,8,9,200,0.034913948,
1.9,1.8,2,1.05,0.75,0.00105,0.00105,0.00075,,,0.4,8.5,8,9,200,0.034913948,
2.1,2,2.2,0.58,0.58,0.00058,0.00058,0.00058,,,0.4,8.5,8,9,200,0.034913948,
2.9,2.8,3,0.53,0.53,0.00053,0.00053,0.00053,,,0.4,8.5,8,9,200,0.034913948,
0.1,0,0.2,15.8,6.1,0.0158,0.0158,0.0061,,,0.4,9.5,9,10,200,0.039021471,
0.3,0.2,0.4,1.86,1.08,0.00186,0.00186,0.00108,,,0.4,9.5,9,10,200,0.039021471,
0.5,0.4,0.6,4.28,1.45,0.00428,0.00428,0.00145,,,0.4,9.5,9,10,200,0.039021471,
0.7,0.6,0.8,2.27,0.94,0.00227,0.00227,0.00094,,,0.4,9.5,9,10,200,0.039021471,
0.9,0.8,1,4.37,1.35,0.00437,0.00437,0.00135,,,0.4,9.5,9,10,200,0.039021471,
1.1,1,1.2,1.22,0.62,0.00122,0.00122,0.00062,,,0.4,9.5,9,10,200,0.039021471,
1.3,1.2,1.4,2.2,0.92,0.0022,0.0022,0.00092,,,0.4,9.5,9,10,200,0.039021471,
1.5,1.4,1.6,0.35,0.35,0.00035,0.00035,0.00035,,,0.4,9.5,9,10,200,0.039021471,
1.9,1.8,2,0.37,0.37,0.00037,0.00037,0.00037,,,0.4,9.5,9,10,200,0.039021471,
2.1,2,2.2,0.42,0.43,0.00042,0.00042,0.00043,,,0.4,9.5,9,10,200,0.039021471,
2.3,2.2,2.4,0.38,0.39,0.00038,0.00038,0.00039,,,0.4,9.5,9,10,200,0.039021471,
0.1,0,0.2,2.09,2.12,0.00209,0.00209,0.00212,,,0.4,10.5,10,11,200,0.043128994,
0.3,0.2,0.4,1.23,0.88,0.00123,0.00123,0.00088,,,0.4,10.5,10,11,200,0.043128994,
0.5,0.4,0.6,0.42,0.42,0.00042,0.00042,0.00042,,,0.4,10.5,10,11,200,0.043128994,
0.7,0.6,0.8,0.32,0.33,0.00032,0.00032,0.00033,,,0.4,10.5,10,11,200,0.043128994,
0.9,0.8,1,0.26,0.27,0.00026,0.00026,0.00027,,,0.4,10.5,10,11,200,0.043128994,
1.1,1,1.2,0.71,0.42,0.00071,0.00071,0.00042,,,0.4,10.5,10,11,200,0.043128994,
1.3,1.2,1.4,0.31,0.31,0.00031,0.00031,0.00031,,,0.4,10.5,10,11,200,0.043128994,
1.5,1.4,1.6,0.36,0.36,0.00036,0.00036,0.00036,,,0.4,10.5,10,11,200,0.043128994,
1.9,1.8,2,0.61,0.46,0.00061,0.00061,0.00046,,,0.4,10.5,10,11,200,0.043128994,
