,hadron,Q2,x,z,phT,1D_dependence
99,pi+,2.7325,0.254,0.367375,0.37725,x
100,pi-,2.71875,0.036,0.35912499999999997,0.37487499999999996,x
101,pi-,2.71875,0.03819191919191919,0.35912499999999997,0.37487499999999996,x
102,pi-,2.71875,0.04038383838383838,0.35912499999999997,0.37487499999999996,x
103,pi-,2.71875,0.04257575757575757,0.35912499999999997,0.37487499999999996,x
104,pi-,2.71875,0.04476767676767676,0.35912499999999997,0.37487499999999996,x
105,pi-,2.71875,0.04695959595959596,0.35912499999999997,0.37487499999999996,x
106,pi-,2.71875,0.04915151515151515,0.35912499999999997,0.37487499999999996,x
107,pi-,2.71875,0.051343434343434344,0.35912499999999997,0.37487499999999996,x
108,pi-,2.71875,0.05353535353535353,0.35912499999999997,0.37487499999999996,x
109,pi-,2.71875,0.05572727272727272,0.35912499999999997,0.37487499999999996,x
110,pi-,2.71875,0.05791919191919192,0.35912499999999997,0.37487499999999996,x
111,pi-,2.71875,0.06011111111111111,0.35912499999999997,0.37487499999999996,x
112,pi-,2.71875,0.062303030303030305,0.35912499999999997,0.37487499999999996,x
113,pi-,2.71875,0.0644949494949495,0.35912499999999997,0.37487499999999996,x
114,pi-,2.71875,0.06668686868686868,0.35912499999999997,0.37487499999999996,x
115,pi-,2.71875,0.06887878787878787,0.35912499999999997,0.37487499999999996,x
116,pi-,2.71875,0.07107070707070706,0.35912499999999997,0.37487499999999996,x
117,pi-,2.71875,0.07326262626262625,0.35912499999999997,0.37487499999999996,x
118,pi-,2.71875,0.07545454545454545,0.35912499999999997,0.37487499999999996,x
119,pi-,2.71875,0.07764646464646464,0.35912499999999997,0.37487499999999996,x
120,pi-,2.71875,0.07983838383838385,0.35912499999999997,0.37487499999999996,x
121,pi-,2.71875,0.08203030303030304,0.35912499999999997,0.37487499999999996,x
122,pi-,2.71875,0.08422222222222223,0.35912499999999997,0.37487499999999996,x
123,pi-,2.71875,0.08641414141414142,0.35912499999999997,0.37487499999999996,x
124,pi-,2.71875,0.0886060606060606,0.35912499999999997,0.37487499999999996,x
125,pi-,2.71875,0.0907979797979798,0.35912499999999997,0.37487499999999996,x
126,pi-,2.71875,0.09298989898989898,0.35912499999999997,0.37487499999999996,x
127,pi-,2.71875,0.09518181818181817,0.35912499999999997,0.37487499999999996,x
128,pi-,2.71875,0.09737373737373736,0.35912499999999997,0.37487499999999996,x
129,pi-,2.71875,0.09956565656565655,0.35912499999999997,0.37487499999999996,x
130,pi-,2.71875,0.10175757575757577,0.35912499999999997,0.37487499999999996,x
131,pi-,2.71875,0.10394949494949496,0.35912499999999997,0.37487499999999996,x
132,pi-,2.71875,0.10614141414141415,0.35912499999999997,0.37487499999999996,x
133,pi-,2.71875,0.10833333333333334,0.35912499999999997,0.37487499999999996,x
134,pi-,2.71875,0.11052525252525253,0.35912499999999997,0.37487499999999996,x
135,pi-,2.71875,0.11271717171717172,0.35912499999999997,0.37487499999999996,x
136,pi-,2.71875,0.1149090909090909,0.35912499999999997,0.37487499999999996,x
137,pi-,2.71875,0.1171010101010101,0.35912499999999997,0.37487499999999996,x
138,pi-,2.71875,0.11929292929292928,0.35912499999999997,0.37487499999999996,x
139,pi-,2.71875,0.12148484848484847,0.35912499999999997,0.37487499999999996,x
140,pi-,2.71875,0.12367676767676769,0.35912499999999997,0.37487499999999996,x
141,pi-,2.71875,0.12586868686868688,0.35912499999999997,0.37487499999999996,x
142,pi-,2.71875,0.12806060606060607,0.35912499999999997,0.37487499999999996,x
143,pi-,2.71875,0.13025252525252526,0.35912499999999997,0.37487499999999996,x
144,pi-,2.71875,0.13244444444444445,0.35912499999999997,0.37487499999999996,x
145,pi-,2.71875,0.13463636363636364,0.35912499999999997,0.37487499999999996,x
146,pi-,2.71875,0.13682828282828283,0.35912499999999997,0.37487499999999996,x
147,pi-,2.71875,0.13902020202020202,0.35912499999999997,0.37487499999999996,x
148,pi-,2.71875,0.1412121212121212,0.35912499999999997,0.37487499999999996,x
149,pi-,2.71875,0.1434040404040404,0.35912499999999997,0.37487499999999996,x
150,pi-,2.71875,0.14559595959595958,0.35912499999999997,0.37487499999999996,x
151,pi-,2.71875,0.1477878787878788,0.35912499999999997,0.37487499999999996,x
152,pi-,2.71875,0.149979797979798,0.35912499999999997,0.37487499999999996,x
153,pi-,2.71875,0.15217171717171718,0.35912499999999997,0.37487499999999996,x
154,pi-,2.71875,0.15436363636363637,0.35912499999999997,0.37487499999999996,x
155,pi-,2.71875,0.15655555555555556,0.35912499999999997,0.37487499999999996,x
156,pi-,2.71875,0.15874747474747475,0.35912499999999997,0.37487499999999996,x
157,pi-,2.71875,0.16093939393939394,0.35912499999999997,0.37487499999999996,x
158,pi-,2.71875,0.16313131313131313,0.35912499999999997,0.37487499999999996,x
159,pi-,2.71875,0.16532323232323234,0.35912499999999997,0.37487499999999996,x
160,pi-,2.71875,0.16751515151515153,0.35912499999999997,0.37487499999999996,x
161,pi-,2.71875,0.16970707070707072,0.35912499999999997,0.37487499999999996,x
162,pi-,2.71875,0.1718989898989899,0.35912499999999997,0.37487499999999996,x
163,pi-,2.71875,0.1740909090909091,0.35912499999999997,0.37487499999999996,x
164,pi-,2.71875,0.1762828282828283,0.35912499999999997,0.37487499999999996,x
165,pi-,2.71875,0.17847474747474748,0.35912499999999997,0.37487499999999996,x
166,pi-,2.71875,0.18066666666666667,0.35912499999999997,0.37487499999999996,x
167,pi-,2.71875,0.18285858585858586,0.35912499999999997,0.37487499999999996,x
168,pi-,2.71875,0.18505050505050505,0.35912499999999997,0.37487499999999996,x
169,pi-,2.71875,0.18724242424242424,0.35912499999999997,0.37487499999999996,x
170,pi-,2.71875,0.18943434343434346,0.35912499999999997,0.37487499999999996,x
171,pi-,2.71875,0.19162626262626264,0.35912499999999997,0.37487499999999996,x
172,pi-,2.71875,0.19381818181818183,0.35912499999999997,0.37487499999999996,x
173,pi-,2.71875,0.19601010101010102,0.35912499999999997,0.37487499999999996,x
174,pi-,2.71875,0.1982020202020202,0.35912499999999997,0.37487499999999996,x
175,pi-,2.71875,0.2003939393939394,0.35912499999999997,0.37487499999999996,x
176,pi-,2.71875,0.2025858585858586,0.35912499999999997,0.37487499999999996,x
177,pi-,2.71875,0.20477777777777778,0.35912499999999997,0.37487499999999996,x
178,pi-,2.71875,0.20696969696969697,0.35912499999999997,0.37487499999999996,x
179,pi-,2.71875,0.20916161616161616,0.35912499999999997,0.37487499999999996,x
180,pi-,2.71875,0.21135353535353538,0.35912499999999997,0.37487499999999996,x
181,pi-,2.71875,0.21354545454545457,0.35912499999999997,0.37487499999999996,x
182,pi-,2.71875,0.21573737373737376,0.35912499999999997,0.37487499999999996,x
183,pi-,2.71875,0.21792929292929294,0.35912499999999997,0.37487499999999996,x
184,pi-,2.71875,0.22012121212121213,0.35912499999999997,0.37487499999999996,x
185,pi-,2.71875,0.22231313131313132,0.35912499999999997,0.37487499999999996,x
186,pi-,2.71875,0.2245050505050505,0.35912499999999997,0.37487499999999996,x
187,pi-,2.71875,0.2266969696969697,0.35912499999999997,0.37487499999999996,x
188,pi-,2.71875,0.2288888888888889,0.35912499999999997,0.37487499999999996,x
189,pi-,2.71875,0.23108080808080808,0.35912499999999997,0.37487499999999996,x
190,pi-,2.71875,0.23327272727272727,0.35912499999999997,0.37487499999999996,x
191,pi-,2.71875,0.2354646464646465,0.35912499999999997,0.37487499999999996,x
192,pi-,2.71875,0.23765656565656568,0.35912499999999997,0.37487499999999996,x
193,pi-,2.71875,0.23984848484848487,0.35912499999999997,0.37487499999999996,x
194,pi-,2.71875,0.24204040404040406,0.35912499999999997,0.37487499999999996,x
195,pi-,2.71875,0.24423232323232325,0.35912499999999997,0.37487499999999996,x
196,pi-,2.71875,0.24642424242424243,0.35912499999999997,0.37487499999999996,x
197,pi-,2.71875,0.24861616161616162,0.35912499999999997,0.37487499999999996,x
198,pi-,2.71875,0.2508080808080808,0.35912499999999997,0.37487499999999996,x
199,pi-,2.71875,0.253,0.35912499999999997,0.37487499999999996,x
200,pi0,2.96875,0.036,0.366375,0.370625,x
201,pi0,2.96875,0.03815151515151515,0.366375,0.370625,x
202,pi0,2.96875,0.0403030303030303,0.366375,0.370625,x
203,pi0,2.96875,0.04245454545454545,0.366375,0.370625,x
204,pi0,2.96875,0.04460606060606061,0.366375,0.370625,x
205,pi0,2.96875,0.046757575757575755,0.366375,0.370625,x
206,pi0,2.96875,0.04890909090909091,0.366375,0.370625,x
207,pi0,2.96875,0.051060606060606056,0.366375,0.370625,x
208,pi0,2.96875,0.05321212121212121,0.366375,0.370625,x
209,pi0,2.96875,0.055363636363636365,0.366375,0.370625,x
210,pi0,2.96875,0.05751515151515151,0.366375,0.370625,x
211,pi0,2.96875,0.059666666666666666,0.366375,0.370625,x
212,pi0,2.96875,0.061818181818181814,0.366375,0.370625,x
213,pi0,2.96875,0.06396969696969697,0.366375,0.370625,x
214,pi0,2.96875,0.06612121212121212,0.366375,0.370625,x
215,pi0,2.96875,0.06827272727272726,0.366375,0.370625,x
216,pi0,2.96875,0.07042424242424242,0.366375,0.370625,x
217,pi0,2.96875,0.07257575757575757,0.366375,0.370625,x
218,pi0,2.96875,0.07472727272727273,0.366375,0.370625,x
219,pi0,2.96875,0.07687878787878788,0.366375,0.370625,x
220,pi0,2.96875,0.07903030303030303,0.366375,0.370625,x
221,pi0,2.96875,0.08118181818181819,0.366375,0.370625,x
222,pi0,2.96875,0.08333333333333334,0.366375,0.370625,x
223,pi0,2.96875,0.08548484848484848,0.366375,0.370625,x
224,pi0,2.96875,0.08763636363636364,0.366375,0.370625,x
225,pi0,2.96875,0.08978787878787879,0.366375,0.370625,x
226,pi0,2.96875,0.09193939393939393,0.366375,0.370625,x
227,pi0,2.96875,0.09409090909090909,0.366375,0.370625,x
228,pi0,2.96875,0.09624242424242424,0.366375,0.370625,x
229,pi0,2.96875,0.0983939393939394,0.366375,0.370625,x
230,pi0,2.96875,0.10054545454545455,0.366375,0.370625,x
231,pi0,2.96875,0.1026969696969697,0.366375,0.370625,x
232,pi0,2.96875,0.10484848484848486,0.366375,0.370625,x
233,pi0,2.96875,0.10700000000000001,0.366375,0.370625,x
234,pi0,2.96875,0.10915151515151517,0.366375,0.370625,x
235,pi0,2.96875,0.11130303030303029,0.366375,0.370625,x
236,pi0,2.96875,0.11345454545454545,0.366375,0.370625,x
237,pi0,2.96875,0.1156060606060606,0.366375,0.370625,x
238,pi0,2.96875,0.11775757575757576,0.366375,0.370625,x
239,pi0,2.96875,0.11990909090909091,0.366375,0.370625,x
240,pi0,2.96875,0.12206060606060606,0.366375,0.370625,x
241,pi0,2.96875,0.12421212121212122,0.366375,0.370625,x
