,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.423,0.086,0.592,0.234,0.346,0.005411435887396399,0.006046487,z
1,pi+,2.428,0.094,0.551,0.303,0.377,0.030523494702527416,0.007715569,z
2,pi+,2.425,0.097,0.528,0.373,0.403,0.03330844021313485,0.009689685,z
3,pi+,2.418,0.099,0.514,0.447,0.429,0.025981796124878973,0.011715375,z
4,pi+,2.411,0.1,0.504,0.523,0.453,0.025273309904238265,0.0146,z
5,pi+,2.4,0.101,0.494,0.593,0.465,0.05276105650720574,0.01707425,z
6,pi+,2.385,0.103,0.478,0.663,0.465,-0.015117922122321888,0.01968248,z
7,pi+,3.43,0.037,0.36,0.2237,0.43,-0.0030423455157089635,0.0068,z
8,pi+,3.37,0.039,0.34,0.2737,0.45,-0.008705929575705217,0.008,z
9,pi+,3.33,0.041,0.32,0.3237,0.48,-0.002095556069280799,0.0094,z
10,pi+,3.28,0.042,0.3,0.3737,0.49,0.0012615263672777727,0.011,z
11,pi+,3.19,0.044,0.28,0.4448,0.52,-0.00691317826711782,0.01,z
12,pi+,3.03,0.046,0.25,0.5646,0.54,0.01318984281751751,0.0117,z
13,pi+,2.74,0.046,0.22,0.7164,0.54,0.04561674649337573,0.0171,z
14,pi+,2.4,0.045,0.19,0.8787,0.47,0.05546488963924356,0.0234,z
15,pi+,3.75,0.0467,0.33,0.223,0.45,0.009946407594413797,0.0044,z
16,pi+,3.75,0.0483,0.32,0.274,0.47,0.011946155266906028,0.0053,z
17,pi+,3.72,0.0498,0.31,0.324,0.5,0.012432358688136039,0.0063,z
18,pi+,3.68,0.0511,0.29,0.374,0.52,0.019483670253514638,0.0074,z
19,pi+,3.58,0.0527,0.27,0.445,0.54,0.02478587159216334,0.0067,z
20,pi+,3.4,0.0545,0.24,0.565,0.57,0.030367193286790158,0.0077,z
21,pi+,3.1,0.0548,0.21,0.716,0.56,0.048054860977846156,0.0113,z
22,pi+,2.71,0.0527,0.19,0.878,0.47,0.05426185891829709,0.0152,z
23,pi+,1.281,0.036,0.707,0.336,0.489,0.02927976060893225,0.008856636,x
24,pi+,1.631,0.056,0.569,0.356,0.409,0.023368541879258062,0.007300685,x
25,pi+,2.017,0.076,0.513,0.367,0.372,0.05554504988137819,0.008160882,x
26,pi+,2.467,0.098,0.484,0.376,0.356,0.04963569609085628,0.007738863,x
27,pi+,3.203,0.133,0.464,0.379,0.344,0.048161141992728154,0.008044874,x
28,pi+,4.321,0.186,0.449,0.379,0.339,0.06962085766596587,0.010720075,x
29,pi+,6.179,0.275,0.434,0.375,0.344,0.05161317230903962,0.015024314,x
30,pi+,1.24,0.006469,0.65,0.29,0.53,0.007497373646267091,0.0156,x
31,pi+,1.45,0.01059,0.46,0.33,0.52,0.010706930874839654,0.0101,x
32,pi+,1.67,0.01643,0.34,0.35,0.49,-0.0027241504231052182,0.0084,x
33,pi+,1.99,0.02556,0.26,0.37,0.46,0.009154791020015528,0.0074,x
34,pi+,2.79,0.03967,0.23,0.39,0.45,0.013681721850220678,0.0083,x
35,pi+,4.54,0.06255,0.24,0.38,0.46,0.010380903867067618,0.0104,x
36,pi+,7.4,0.1005,0.25,0.37,0.46,0.0272839860586836,0.0137,x
37,pi+,11.8,0.1609,0.24,0.37,0.47,0.02549561447171902,0.0203,x
38,pi+,23.8,0.2781,0.28,0.36,0.51,0.006539725993886034,0.0343,x
39,pi+,1.24,0.0065,0.65,0.285,0.54,0.00022341274465758308,0.0117,x
40,pi+,1.47,0.0106,0.47,0.321,0.52,-0.002896675372168424,0.0074,x
41,pi+,1.72,0.0164,0.36,0.347,0.51,0.004409089742002969,0.0061,x
42,pi+,2.05,0.0257,0.27,0.363,0.49,-0.008029620118563868,0.0053,x
43,pi+,2.71,0.0399,0.23,0.37,0.48,0.003252232049054192,0.0055,x
44,pi+,4.22,0.0628,0.23,0.367,0.48,0.02891759534222177,0.0063,x
45,pi+,6.68,0.1009,0.22,0.365,0.48,0.05890178450122706,0.0075,x
46,pi+,10.54,0.1621,0.22,0.362,0.48,0.058921495344106276,0.0096,x
47,pi+,21.02,0.2881,0.24,0.361,0.52,0.014672400374214736,0.0126,x
48,pi+,2.533,0.109,0.46,0.341,0.11,0.016924663715156704,0.008761849,phT
49,pi+,2.53,0.106,0.49,0.35,0.211,0.025347826650490728,0.007783315,phT
50,pi+,2.486,0.1,0.519,0.355,0.29,0.031585129290660964,0.007333485,phT
51,pi+,2.415,0.093,0.549,0.355,0.37,0.03178873959863772,0.007495332,phT
52,pi+,2.342,0.086,0.58,0.36,0.488,0.03980216987988745,0.007516648,phT
53,pi+,2.303,0.08,0.616,0.388,0.669,0.05355600225103186,0.012140016,phT
54,pi+,2.262,0.073,0.658,0.453,0.954,0.06940607352553904,0.020529978,phT
55,pi+,3.18,0.043,0.29,0.35,0.1547,-0.00017213937549197906,0.0104,phT
56,pi+,3.14,0.042,0.29,0.35,0.2519,0.021277538256941134,0.0087,phT
57,pi+,3.14,0.041,0.3,0.35,0.3496,0.003383252551382447,0.0084,phT
58,pi+,3.23,0.041,0.31,0.35,0.4482,-0.0035935446303976305,0.0089,phT
59,pi+,3.29,0.041,0.32,0.36,0.5475,-0.0017755040685231045,0.0102,phT
60,pi+,3.36,0.04,0.33,0.37,0.6681,0.005638753248572418,0.0102,phT
61,pi+,3.46,0.04,0.34,0.39,0.817,0.03741548355220324,0.0138,phT
62,pi+,3.61,0.039,0.36,0.41,1.042,0.031571630004766066,0.0151,phT
63,pi+,4.08,0.038,0.43,0.43,1.549,-0.0012277973987018138,0.0327,phT
64,pi+,3.57,0.052,0.28,0.346,0.15,-0.008896526433705526,0.0072,phT
65,pi+,3.52,0.051,0.28,0.344,0.25,0.014325588456357587,0.006,phT
66,pi+,3.48,0.0497,0.29,0.344,0.35,0.005451049389739809,0.0056,phT
67,pi+,3.55,0.0495,0.3,0.344,0.45,0.011883267067106892,0.0059,phT
