,hadron,Q2,x,y,z,phT,Siv,tot_err,1D_dependence
0,pi+,2.423,0.086,0.592,0.234,0.346,0.006718598188633311,0.006046487,z
1,pi+,2.428,0.094,0.551,0.303,0.377,0.01870516308885114,0.007715569,z
2,pi+,2.425,0.097,0.528,0.373,0.403,0.02973536286483012,0.009689685,z
3,pi+,2.418,0.099,0.514,0.447,0.429,0.03893923016879647,0.011715375,z
4,pi+,2.411,0.1,0.504,0.523,0.453,0.04339439541639258,0.0146,z
5,pi+,2.4,0.101,0.494,0.593,0.465,0.033373789928315356,0.01707425,z
6,pi+,2.385,0.103,0.478,0.663,0.465,0.010604914471584306,0.01968248,z
7,pi+,1.281,0.036,0.707,0.336,0.489,0.023376865219479143,0.008856636,x
8,pi+,1.631,0.056,0.569,0.356,0.409,0.03439891884901525,0.007300685,x
9,pi+,2.017,0.076,0.513,0.367,0.372,0.043531516298437545,0.008160882,x
10,pi+,2.467,0.098,0.484,0.376,0.356,0.05045230984401877,0.007738863,x
11,pi+,3.203,0.133,0.464,0.379,0.344,0.05476490597550883,0.008044874,x
12,pi+,4.321,0.186,0.449,0.379,0.339,0.05753786731183459,0.010720075,x
13,pi+,6.179,0.275,0.434,0.375,0.344,0.06018209951626687,0.015024314,x
14,pi+,2.533,0.109,0.46,0.341,0.11,0.012284202899057205,0.008761849,phT
15,pi+,2.53,0.106,0.49,0.35,0.211,0.02353999557435512,0.007783315,phT
16,pi+,2.486,0.1,0.519,0.355,0.29,0.031240200636260138,0.007333485,phT
17,pi+,2.415,0.093,0.549,0.355,0.37,0.03729701082529563,0.007495332,phT
18,pi+,2.342,0.086,0.58,0.36,0.488,0.0455707735621341,0.007516648,phT
19,pi+,2.303,0.08,0.616,0.388,0.669,0.05959452188130557,0.012140016,phT
20,pi+,2.262,0.073,0.658,0.453,0.954,0.07939955541808807,0.020529978,phT
21,pi0,2.361,0.072,0.671,0.236,0.39,0.0019362083393338234,0.02556345,z
22,pi0,2.414,0.081,0.623,0.304,0.42,0.010737024005264172,0.019649936,z
23,pi0,2.447,0.087,0.587,0.374,0.446,0.020131087074547464,0.019405412,z
24,pi0,2.486,0.093,0.558,0.448,0.464,0.027261510973295724,0.019577794,z
25,pi0,2.531,0.098,0.531,0.523,0.472,0.031202510815313816,0.023482973,z
26,pi0,2.552,0.102,0.511,0.593,0.488,0.02467652907746929,0.026705243,z
27,pi0,2.583,0.106,0.495,0.663,0.495,0.007994523322045784,0.0314,z
28,pi0,1.293,0.035,0.717,0.351,0.54,0.013979373211000236,0.037302145,x
29,pi0,1.712,0.055,0.599,0.386,0.451,0.020927807014511874,0.030805844,x
30,pi0,2.184,0.076,0.557,0.406,0.416,0.02634213246710264,0.029516944,x
31,pi0,2.705,0.098,0.531,0.414,0.392,0.030573783795430402,0.023913594,x
32,pi0,3.549,0.133,0.514,0.421,0.372,0.032793002528447524,0.020248457,x
33,pi0,4.716,0.185,0.491,0.428,0.364,0.03450403584720736,0.028715327,x
34,pi0,6.631,0.273,0.47,0.432,0.378,0.035042165027304485,0.049445323,x
35,pi0,2.731,0.111,0.475,0.391,0.113,0.008662771677423901,0.031852943,phT
36,pi0,2.649,0.103,0.517,0.384,0.212,0.015259055411974773,0.031795912,phT
37,pi0,2.553,0.095,0.553,0.381,0.29,0.019179315833977462,0.030509834,phT
38,pi0,2.456,0.087,0.587,0.381,0.369,0.021847662304715864,0.029224989,phT
39,pi0,2.367,0.08,0.623,0.382,0.49,0.025663151041008813,0.022333159,phT
40,pi0,2.28,0.073,0.655,0.404,0.673,0.030543621157974748,0.02268149,phT
41,pi0,2.263,0.07,0.677,0.463,0.959,0.04107547430937298,0.027060118,phT
42,pi-,2.373,0.084,0.596,0.233,0.352,-0.0034818849633940175,0.006441273,z
43,pi-,2.356,0.091,0.553,0.303,0.385,-0.0012719309256273015,0.00820061,z
44,pi-,2.338,0.094,0.53,0.373,0.411,0.0013334151154027192,0.010555094,z
45,pi-,2.332,0.096,0.515,0.447,0.43,0.003792063001857072,0.012798828,z
46,pi-,2.315,0.097,0.504,0.523,0.444,0.006167881271925717,0.016268989,z
47,pi-,2.263,0.096,0.494,0.593,0.447,0.005432181344116712,0.019246298,z
48,pi-,2.247,0.098,0.475,0.663,0.435,0.000895880929943242,0.02251444,z
49,pi-,1.278,0.035,0.708,0.33,0.484,0.007807016229598598,0.01034698,x
50,pi-,1.629,0.055,0.57,0.35,0.403,0.007572758427256288,0.008856636,x
51,pi-,2.011,0.076,0.512,0.36,0.367,0.003414651798395296,0.009527329,x
52,pi-,2.451,0.098,0.481,0.367,0.352,-0.0005966730320674885,0.008766413,x
53,pi-,3.192,0.133,0.462,0.369,0.344,-0.0035646684797927494,0.008286133,x
54,pi-,4.291,0.186,0.447,0.367,0.34,-0.008539272465289516,0.010917875,x
55,pi-,6.125,0.275,0.43,0.363,0.354,-0.01812108109582387,0.015411684,x
56,pi-,2.454,0.106,0.462,0.337,0.11,0.002066464996649528,0.009709789,phT
57,pi-,2.445,0.102,0.493,0.346,0.211,0.0033453284356793835,0.009708244,phT
