,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
62,pi+,2.7325,0.1725252525252525,0.367375,0.37725,0.041131496,0.007879363,x
63,pi+,2.7325,0.1747272727272727,0.367375,0.37725,0.04078005,0.007849103,x
64,pi+,2.7325,0.1769292929292929,0.367375,0.37725,0.04043027,0.007819982,x
65,pi+,2.7325,0.1791313131313131,0.367375,0.37725,0.040082213,0.007792276,x
66,pi+,2.7325,0.1813333333333333,0.367375,0.37725,0.039735634,0.0077650975,x
67,pi+,2.7325,0.1835353535353535,0.367375,0.37725,0.039390285,0.0077386326,x
68,pi+,2.7325,0.1857373737373737,0.367375,0.37725,0.03904578,0.007713529,x
69,pi+,2.7325,0.1879393939393939,0.367375,0.37725,0.038702786,0.0076899,x
70,pi+,2.7325,0.1901414141414141,0.367375,0.37725,0.03836129,0.007666802,x
71,pi+,2.7325,0.1923434343434343,0.367375,0.37725,0.038020357,0.0076460824,x
72,pi+,2.7325,0.1945454545454545,0.367375,0.37725,0.037679855,0.00762747,x
73,pi+,2.7325,0.1967474747474747,0.367375,0.37725,0.037340127,0.007611026,x
74,pi+,2.7325,0.1989494949494949,0.367375,0.37725,0.03700012,0.007597725,x
75,pi+,2.7325,0.2011515151515151,0.367375,0.37725,0.036659464,0.007587537,x
76,pi+,2.7325,0.2033535353535353,0.367375,0.37725,0.03631913,0.007580015,x
77,pi+,2.7325,0.2055555555555555,0.367375,0.37725,0.03597931,0.007576008,x
78,pi+,2.7325,0.2077575757575757,0.367375,0.37725,0.035639722,0.007575395,x
79,pi+,2.7325,0.2099595959595959,0.367375,0.37725,0.0352999,0.007578743,x
80,pi+,2.7325,0.2121616161616161,0.367375,0.37725,0.03495991,0.007585536,x
81,pi+,2.7325,0.2143636363636363,0.367375,0.37725,0.034619577,0.0075956555,x
82,pi+,2.7325,0.2165656565656565,0.367375,0.37725,0.034278467,0.0076095555,x
83,pi+,2.7325,0.2187676767676767,0.367375,0.37725,0.033936236,0.0076273982,x
84,pi+,2.7325,0.2209696969696969,0.367375,0.37725,0.033593137,0.007649377,x
85,pi+,2.7325,0.2231717171717172,0.367375,0.37725,0.033249803,0.007675566,x
86,pi+,2.7325,0.2253737373737374,0.367375,0.37725,0.03290605,0.007706125,x
87,pi+,2.7325,0.2275757575757575,0.367375,0.37725,0.03256174,0.007740785,x
88,pi+,2.7325,0.2297777777777777,0.367375,0.37725,0.032217156,0.0077793295,x
89,pi+,2.7325,0.2319797979797979,0.367375,0.37725,0.031872287,0.007821631,x
90,pi+,2.7325,0.2341818181818181,0.367375,0.37725,0.031526305,0.0078680245,x
91,pi+,2.7325,0.2363838383838384,0.367375,0.37725,0.031179052,0.007918622,x
92,pi+,2.7325,0.2385858585858586,0.367375,0.37725,0.030831043,0.007973164,x
93,pi+,2.7325,0.2407878787878788,0.367375,0.37725,0.030482706,0.008031718,x
94,pi+,2.7325,0.242989898989899,0.367375,0.37725,0.030133715,0.008094373,x
95,pi+,2.7325,0.2451919191919192,0.367375,0.37725,0.02978407,0.008161116,x
96,pi+,2.7325,0.2473939393939394,0.367375,0.37725,0.029433623,0.008231821,x
97,pi+,2.7325,0.2495959595959596,0.367375,0.37725,0.029082796,0.008306831,x
98,pi+,2.7325,0.2517979797979798,0.367375,0.37725,0.028732734,0.008389001,x
99,pi+,2.7325,0.254,0.367375,0.37725,0.028381517,0.008477718,x
100,pi-,2.71875,0.036,0.3591249999999999,0.3748749999999999,-0.008189715,0.002549274,x
101,pi-,2.71875,0.0381919191919191,0.3591249999999999,0.3748749999999999,-0.0072101955,0.002285083,x
102,pi-,2.71875,0.0403838383838383,0.3591249999999999,0.3748749999999999,-0.006201091,0.0020801793,x
103,pi-,2.71875,0.0425757575757575,0.3591249999999999,0.3748749999999999,-0.0051708287,0.0019593446,x
104,pi-,2.71875,0.0447676767676767,0.3591249999999999,0.3748749999999999,-0.0041642394,0.0018893057,x
105,pi-,2.71875,0.0469595959595959,0.3591249999999999,0.3748749999999999,-0.0031081887,0.0018679486,x
106,pi-,2.71875,0.0491515151515151,0.3591249999999999,0.3748749999999999,-0.002005031,0.001897898,x
107,pi-,2.71875,0.0513434343434343,0.3591249999999999,0.3748749999999999,-0.00094293023,0.0019573814,x
108,pi-,2.71875,0.0535353535353535,0.3591249999999999,0.3748749999999999,8.5095526e-05,0.0020069224,x
109,pi-,2.71875,0.0557272727272727,0.3591249999999999,0.3748749999999999,0.001067813,0.0020471504,x
110,pi-,2.71875,0.0579191919191919,0.3591249999999999,0.3748749999999999,0.0020073338,0.0020755988,x
111,pi-,2.71875,0.0601111111111111,0.3591249999999999,0.3748749999999999,0.0029272768,0.0021027501,x
112,pi-,2.71875,0.0623030303030303,0.3591249999999999,0.3748749999999999,0.003835407,0.0021359269,x
113,pi-,2.71875,0.0644949494949495,0.3591249999999999,0.3748749999999999,0.004732726,0.0021804313,x
114,pi-,2.71875,0.0666868686868686,0.3591249999999999,0.3748749999999999,0.0056218007,0.0022319832,x
115,pi-,2.71875,0.0688787878787878,0.3591249999999999,0.3748749999999999,0.006503459,0.0022889762,x
