,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
0,pi+,6.297777777777778,0.006469,0.3566666666666666,0.4833333333333333,-0.015310199,0.005674074,x
1,pi+,6.297777777777778,0.0092127474747474,0.3566666666666666,0.4833333333333333,-0.014101948,0.005127598,x
2,pi+,6.297777777777778,0.0119564949494949,0.3566666666666666,0.4833333333333333,-0.012975646,0.004688058,x
3,pi+,6.297777777777778,0.0147002424242424,0.3566666666666666,0.4833333333333333,-0.011913544,0.004329398,x
4,pi+,6.297777777777778,0.0174439898989899,0.3566666666666666,0.4833333333333333,-0.010890043,0.0040497924,x
5,pi+,6.297777777777778,0.0201877373737373,0.3566666666666666,0.4833333333333333,-0.009893613,0.0038488912,x
6,pi+,6.297777777777778,0.0229314848484848,0.3566666666666666,0.4833333333333333,-0.0089063225,0.003723133,x
7,pi+,6.297777777777778,0.0256752323232323,0.3566666666666666,0.4833333333333333,-0.007923467,0.0036683555,x
8,pi+,6.297777777777778,0.0284189797979797,0.3566666666666666,0.4833333333333333,-0.0067924582,0.0036213433,x
9,pi+,6.297777777777778,0.0311627272727272,0.3566666666666666,0.4833333333333333,-0.0047214003,0.0033036917,x
10,pi+,6.297777777777778,0.0339064747474747,0.3566666666666666,0.4833333333333333,-0.0025315816,0.0031406316,x
11,pi+,6.297777777777778,0.0366502222222222,0.3566666666666666,0.4833333333333333,-0.00066581933,0.003140024,x
12,pi+,6.297777777777778,0.0393939696969697,0.3566666666666666,0.4833333333333333,0.0013006993,0.0029902537,x
13,pi+,6.297777777777778,0.0421377171717171,0.3566666666666666,0.4833333333333333,0.0034605968,0.002754166,x
14,pi+,6.297777777777778,0.0448814646464646,0.3566666666666666,0.4833333333333333,0.005724227,0.0025926677,x
15,pi+,6.297777777777778,0.0476252121212121,0.3566666666666666,0.4833333333333333,0.008281542,0.0024696134,x
16,pi+,6.297777777777778,0.0503689595959596,0.3566666666666666,0.4833333333333333,0.010972972,0.002362809,x
17,pi+,6.297777777777778,0.053112707070707,0.3566666666666666,0.4833333333333333,0.013669879,0.0023090297,x
18,pi+,6.297777777777778,0.0558564545454545,0.3566666666666666,0.4833333333333333,0.016322518,0.0022991328,x
19,pi+,6.297777777777778,0.058600202020202,0.3566666666666666,0.4833333333333333,0.01893438,0.0023023698,x
20,pi+,6.297777777777778,0.0613439494949495,0.3566666666666666,0.4833333333333333,0.021532973,0.0023235546,x
21,pi+,6.297777777777778,0.0640876969696969,0.3566666666666666,0.4833333333333333,0.024117997,0.0023586205,x
22,pi+,6.297777777777778,0.0668314444444444,0.3566666666666666,0.4833333333333333,0.0266968,0.0024131462,x
23,pi+,6.297777777777778,0.0695751919191919,0.3566666666666666,0.4833333333333333,0.029274544,0.0024903067,x
24,pi+,6.297777777777778,0.0723189393939394,0.3566666666666666,0.4833333333333333,0.031853087,0.002593406,x
25,pi+,6.297777777777778,0.0750626868686868,0.3566666666666666,0.4833333333333333,0.03442667,0.002719415,x
26,pi+,6.297777777777778,0.0778064343434343,0.3566666666666666,0.4833333333333333,0.036995675,0.0028712468,x
27,pi+,6.297777777777778,0.0805501818181818,0.3566666666666666,0.4833333333333333,0.039575838,0.0030366029,x
28,pi+,6.297777777777778,0.0832939292929293,0.3566666666666666,0.4833333333333333,0.042175733,0.003220878,x
29,pi+,6.297777777777778,0.0860376767676767,0.3566666666666666,0.4833333333333333,0.044790935,0.0034305593,x
30,pi+,6.297777777777778,0.0887814242424242,0.3566666666666666,0.4833333333333333,0.047422454,0.0036688657,x
31,pi+,6.297777777777778,0.0915251717171717,0.3566666666666666,0.4833333333333333,0.050059322,0.0039346833,x
32,pi+,6.297777777777778,0.0942689191919192,0.3566666666666666,0.4833333333333333,0.05262026,0.0042321966,x
33,pi+,6.297777777777778,0.0970126666666666,0.3566666666666666,0.4833333333333333,0.055039454,0.0045661097,x
34,pi+,6.297777777777778,0.0997564141414141,0.3566666666666666,0.4833333333333333,0.057396803,0.004926952,x
35,pi+,6.297777777777778,0.1025001616161616,0.3566666666666666,0.4833333333333333,0.059823558,0.0052998415,x
36,pi+,6.297777777777778,0.1052439090909091,0.3566666666666666,0.4833333333333333,0.062290143,0.0056816223,x
37,pi+,6.297777777777778,0.1079876565656565,0.3566666666666666,0.4833333333333333,0.06470767,0.0060310573,x
38,pi+,6.297777777777778,0.110731404040404,0.3566666666666666,0.4833333333333333,0.067012414,0.006427854,x
39,pi+,6.297777777777778,0.1134751515151515,0.3566666666666666,0.4833333333333333,0.06908246,0.006905734,x
40,pi+,6.297777777777778,0.116218898989899,0.3566666666666666,0.4833333333333333,0.07079087,0.0075919167,x
