,hadron,1D_dependence,x,y,z,phT,QQ,sbar,ubar,dbar,d,u,s
0,pi+,x,0.00279,0.677647059,0.343478261,0.446575342,1.122807018,0.14288183428989704,0.18472100534169528,0.18186553205966915,0.19974508988285258,0.21474355319327001,0.14137853457245195
1,pi+,x,0.01706,0.503529412,0.360869565,0.397260274,1.473684211,0.11511236925639236,0.18653114049808583,0.20198352589535123,0.2642328548193008,0.31325029990773484,0.1143638991061431
2,pi+,x,0.11312,0.470588235,0.365217391,0.37260274,2.526315789,0.042699807144271205,0.10503586419818417,0.1579130827712133,0.42714524526281006,0.6590927801149767,0.06471060933657849
3,pi+,x,0.88395,0.456470588,0.356521739,0.356164384,4.596491228,8.709556271736202e-05,0.00019063059180732768,0.00013534539852881147,0.00012736946311783359,0.001394443310167318,9.635714454272653e-05
4,pi+,y,0.104255319,0.38169,0.369565217,0.356164384,2.0,0.04316637286092425,0.10484619507855228,0.15598573285990522,0.39762256962336573,0.5991146557911078,0.06243508836979993
5,pi+,y,0.085106383,0.49384,0.365217391,0.397260274,2.315789474,0.05784085239992154,0.1292976570578972,0.18470390758511787,0.41853414336264794,0.6046438023964698,0.07483705608238421
6,pi+,y,0.074468085,0.61544,0.356521739,0.421917808,2.526315789,0.06785031911240545,0.1440848759103146,0.2000286654100719,0.4237350758761653,0.5974478699049349,0.0828555953159488
7,pi+,y,0.065957447,0.76339,0.339130435,0.446575342,2.666666667,0.0766696864313436,0.15612691606617052,0.2111815819920267,0.4229501523720667,0.5842184424193644,0.08969985356166119
8,pi+,z,0.089361702,0.128571429,0.2675,0.339726027,2.310344828,0.054890961711617656,0.12481256055719529,0.18003605928590602,0.41905603087322796,0.6114767240816913,0.07272380273658029
9,pi+,z,0.091489362,0.126190476,0.345,0.389041096,2.344827586,0.053793028471476864,0.1231847119276656,0.17846462126618134,0.42108042313369165,0.6176414237635127,0.07211121416748295
10,pi+,z,0.091489362,0.123809524,0.4475,0.438356164,2.275862069,0.05320688161695392,0.122135072304271,0.17702509331572538,0.41750425893892473,0.6120994943189834,0.07135727519371651
11,pi+,z,0.089361702,0.122619048,0.5475,0.463013699,2.206896552,0.053894563033231375,0.12297579830446471,0.17750442749735795,0.41291462117279126,0.6020959843382001,0.07144732239629802
12,pi+,z,0.091489362,0.119047619,0.6675,0.512328767,2.206896552,0.052542779454744816,0.12088979042706884,0.175297595200084,0.41325866981074477,0.6055924528308575,0.07049691488984178
13,pi+,phT,0.095744681,0.117857143,0.317391304,0.13858,2.310344828,0.05087395573792533,0.11855670321090114,0.17330319538409691,0.41985499326833975,0.6217902566567305,0.0698837741312002
14,pi+,phT,0.093617021,0.122619048,0.334782609,0.27559,2.310344828,0.05217123921979247,0.12059945081039798,0.17553627331810887,0.4196409228746876,0.6184270629606378,0.07080130116655363
15,pi+,phT,0.091489362,0.125,0.360869565,0.41732,2.310344828,0.05350962638273968,0.12268409736062881,0.17778046639648365,0.41937516087286636,0.6149899279319796,0.07174744094067297
16,pi+,phT,0.085106383,0.132142857,0.395652174,0.57795,2.275862069,0.05745826937088698,0.1286185873853667,0.18378104726986996,0.4163527938928591,0.6013327282547837,0.07435761861544436
17,pi+,phT,0.074468085,0.142857143,0.452173913,0.79527,2.172413793,0.06423677767916154,0.13810893943978006,0.1921554338370546,0.4064518769632607,0.5718217130484435,0.0785383909125068
18,pi-,x,0.024697829,0.67764706,0.343478261,0.446575342,1.122807018,0.078222958332566,0.13437608246172347,0.15260046477008915,0.2181467241142187,0.2662453571128451,0.07865863780384903
19,pi-,x,0.070282045,0.50352941,0.360869565,0.397260274,1.473684211,0.05239035455380859,0.11254244320207168,0.1551696265906636,0.318781740232098,0.44258934209145634,0.0627727226123255
20,pi-,x,0.220434628,0.47058824,0.365217391,0.37260274,2.526315789,0.013898788591020575,0.04049781284600825,0.06558031331092214,0.3663936977027166,0.7080659478113297,0.035743694630434454
21,pi-,x,0.725838772,0.45647059,0.356521739,0.356164384,4.596491228,0.0005459503650235732,0.0016803595925297822,0.0007104908050630739,0.002005556294846473,0.03788634048527305,0.0008861774468566448
22,pi-,y,0.104255319,0.372972973,0.369565217,0.356164384,2.0,0.04316637286092425,0.10484619507855228,0.15598573285990522,0.39762256962336573,0.5991146557911078,0.06243508836979993
23,pi-,y,0.085106383,0.521621622,0.365217391,0.397260274,2.315789474,0.05784085239992154,0.1292976570578972,0.18470390758511787,0.41853414336264794,0.6046438023964698,0.07483705608238421
24,pi-,y,0.074468085,0.648648649,0.356521739,0.421917808,2.526315789,0.06785031911240545,0.1440848759103146,0.2000286654100719,0.4237350758761653,0.5974478699049349,0.0828555953159488
25,pi-,y,0.065957447,0.772972973,0.339130435,0.446575342,2.666666667,0.0766696864313436,0.15612691606617052,0.2111815819920267,0.4229501523720667,0.5842184424193644,0.08969985356166119
26,pi-,z,0.089361702,0.128571429,0.265,0.339726027,2.310344828,0.054890961711617656,0.12481256055719529,0.18003605928590602,0.41905603087322796,0.6114767240816913,0.07272380273658029
27,pi-,z,0.091489362,0.126190476,0.345,0.389041096,2.344827586,0.053793028471476864,0.1231847119276656,0.17846462126618134,0.42108042313369165,0.6176414237635127,0.07211121416748295
28,pi-,z,0.091489362,0.123809524,0.445,0.438356164,2.275862069,0.05320688161695392,0.122135072304271,0.17702509331572538,0.41750425893892473,0.6120994943189834,0.07135727519371651
29,pi-,z,0.089361702,0.122619048,0.5475,0.463013699,2.206896552,0.053894563033231375,0.12297579830446471,0.17750442749735795,0.41291462117279126,0.6020959843382001,0.07144732239629802
30,pi-,z,0.091489362,0.119047619,0.6675,0.512328767,2.206896552,0.052542779454744816,0.12088979042706884,0.175297595200084,0.41325866981074477,0.6055924528308575,0.07049691488984178
31,pi-,phT,0.09574468,0.117857143,0.317391304,0.133858268,2.310344828,0.05087395633819411,0.11855670416135465,0.1733031964309149,0.41985499318006947,0.6217902550939741,0.06988377455613735
32,pi-,phT,0.09361702,0.122619048,0.334782609,0.275590551,2.310344828,0.05217123983907168,0.12059945178023015,0.17553627437032737,0.4196409227618238,0.6184270613622617,0.07080130160429812
33,pi-,phT,0.09148936,0.125,0.360869565,0.417322835,2.310344828,0.05350962766056046,0.12268409934031643,0.17778046851100068,0.4193751605992021,0.6149899246675723,0.07174744184438459
34,pi-,phT,0.08510638,0.132142857,0.395652174,0.577952756,2.275862069,0.05745827146675612,0.1286185905323562,0.18378105046976245,0.4163527932351358,0.6013327230312691,0.07435762009801457
35,pi-,phT,0.07446809,0.142857143,0.452173913,0.8,2.172413793,0.06423677364326152,0.13810893367294494,0.19215542848438474,0.4064518788453069,0.5718217227032586,0.07853838802910422
36,k+,x,0.018061622,0.461176471,0.404255319,0.41369863,1.379310345,0.10660661493769635,0.17437130906159784,0.19005062165141037,0.251733084364621,0.29968677549129036,0.10602963842631377
37,k+,x,0.120526094,0.432941176,0.408510638,0.397260274,2.379310345,0.03868927338466164,0.09804775503577239,0.1490673090237111,0.4217531922781034,0.6606870651792867,0.061310847309172675
38,k+,x,0.91087642,0.437647059,0.408510638,0.347945205,4.413793103,5.3032955855384796e-05,0.00010257378278488656,8.484808165094935e-05,8.42434258660589e-05,0.0004955068373668543,6.190335038602878e-05
39,k+,y,0.095744681,0.371621622,0.417021277,0.389041096,1.862068966,0.04568813973733972,0.10794169454856865,0.1582044643874251,0.38226371853809815,0.5645182464439021,0.06293945275427112
40,k+,y,0.091489362,0.517567568,0.408510638,0.405479452,2.482758621,0.05473659175069799,0.12471425067969703,0.1805062939267068,0.4262834584981886,0.6259106504100297,0.07330726837414256
41,k+,y,0.082978723,0.647297297,0.370212766,0.421917808,2.862068966,0.06219160578843081,0.13495427671210872,0.19105296817633846,0.4284733956476,0.6183675431564529,0.07929490948106879
42,k+,z,0.091489362,0.456470588,0.348091603,0.380821918,2.206896552,0.052542779454744816,0.12088979042706884,0.175297595200084,0.41325866981074477,0.6055924528308575,0.07049691488984178
43,k+,z,0.095744681,0.437647059,0.447328244,0.41369863,2.172413793,0.049621712185433695,0.11617662799023393,0.16997626845985653,0.41142643462382406,0.6087239791069506,0.0682294694126098
44,k+,z,0.093617021,0.414117647,0.548091603,0.421917808,2.034482759,0.049281568801035874,0.1149380499799869,0.16758218868500516,0.3999624748080889,0.5883564935779896,0.06699706541026294
45,k+,phT,0.10212766,0.432941176,0.395744681,0.275294118,2.310344828,0.04721430108476761,0.11266499943701766,0.16667198029311833,0.42018986455252194,0.6314312892536081,0.06728327313126532
46,k+,phT,0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,0.05123283934953644,0.1188464000307621,0.1731012584803029,0.4135495645416905,0.609013754195598,0.06957585064414407
47,k+,phT,0.080851064,0.461176471,0.421276596,0.585882353,2.0,0.056904378552335336,0.12628770940712383,0.1788750431985647,0.39392961160321116,0.5622907034425312,0.07202893316496685
48,k-,x,0.01750827,0.461176471,0.404255319,0.41369863,1.379310345,0.10775373695865731,0.17547341214671947,0.19056690230872667,0.25070352990232625,0.2977806166107653,0.10709811817508536
49,k-,x,0.116833549,0.432941176,0.408510638,0.397260274,2.379310345,0.04031788565146684,0.1009702478255228,0.1527654172550225,0.4223443255055918,0.6562554764622518,0.06253822600555907
50,k-,x,0.882969996,0.437647059,0.408510638,0.347945205,4.413793103,9.001216585846392e-05,0.00019806062810932812,0.00013965059996585532,0.00013106370649739404,0.001470149398463969,9.93951975589477e-05
51,k-,y,0.095744681,0.375757576,0.417021277,0.389041096,1.862068966,0.04568813973733972,0.10794169454856865,0.1582044643874251,0.38226371853809815,0.5645182464439021,0.06293945275427112
52,k-,y,0.091489362,0.517171717,0.408510638,0.405479452,2.482758621,0.05473659175069799,0.12471425067969703,0.1805062939267068,0.4262834584981886,0.6259106504100297,0.07330726837414256
53,k-,y,0.082978723,0.646464646,0.370212766,0.421917808,2.862068966,0.06219160578843081,0.13495427671210872,0.19105296817633846,0.4284733956476,0.6183675431564529,0.07929490948106879
54,k-,z,0.091489362,0.45647059,0.346564885,0.380821918,2.206896552,0.052542779454744816,0.12088979042706884,0.175297595200084,0.41325866981074477,0.6055924528308575,0.07049691488984178
55,k-,z,0.095744681,0.43764706,0.445801527,0.41369863,2.172413793,0.049621712185433695,0.11617662799023393,0.16997626845985653,0.41142643462382406,0.6087239791069506,0.0682294694126098
56,k-,z,0.093617021,0.41411765,0.546564885,0.421917808,2.034482759,0.049281568801035874,0.1149380499799869,0.16758218868500516,0.3999624748080889,0.5883564935779896,0.06699706541026294
57,k-,phT,0.10212766,0.432941176,0.395744681,0.277647059,2.310344828,0.04721430108476761,0.11266499943701766,0.16667198029311833,0.42018986455252194,0.6314312892536081,0.06728327313126532
58,k-,phT,0.093617021,0.442352941,0.408510638,0.421176471,2.206896552,0.05123283934953644,0.1188464000307621,0.1731012584803029,0.4135495645416905,0.609013754195598,0.06957585064414407
59,k-,phT,0.080851064,0.461176471,0.421276596,0.588235294,2.0,0.056904378552335336,0.12628770940712383,0.1788750431985647,0.39392961160321116,0.5622907034425312,0.07202893316496685
