,parameter,value,error,chi2,N_data
0,m1,34.196665994306514,1.411896640795225,663.233311787324,357
1,Nu,3.539866412914048,0.07116666105714954,663.233311787324,357
2,alphau,2.500495601137917,0.03870010132875686,663.233311787324,357
3,betau,15.499682723776052,0.3204830630582483,663.233311787324,357
4,Nubar,-0.1958858552662265,0.04186109998777855,663.233311787324,357
5,Nd,-5.3489726946750435,0.3459297734699453,663.233311787324,357
6,alphad,1.260809167749027,0.0947386845446861,663.233311787324,357
7,betad,6.490660947894847,0.7463098012547668,663.233311787324,357
8,Ndbar,-0.8985909057734174,0.6012947279205638,663.233311787324,357
9,Ns,18.000249000358412,0.4571247010846892,663.233311787324,357
10,alphas,3.601216802299427,0.07076307461258,663.233311787324,357
11,betas,26.270734403004656,0.6337422672918434,663.233311787324,357
12,Nsbar,-1.7967810611690027,1.6093706777481314,663.233311787324,357
