,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
62,pi+,2.7325,0.1725252525252525,0.367375,0.37725,0.03841952,0.0067123515,x
63,pi+,2.7325,0.1747272727272727,0.367375,0.37725,0.038038738,0.006740732,x
64,pi+,2.7325,0.1769292929292929,0.367375,0.37725,0.037653606,0.006771818,x
65,pi+,2.7325,0.1791313131313131,0.367375,0.37725,0.03726443,0.006806286,x
66,pi+,2.7325,0.1813333333333333,0.367375,0.37725,0.03687146,0.0068445313,x
67,pi+,2.7325,0.1835353535353535,0.367375,0.37725,0.036474593,0.0068862922,x
68,pi+,2.7325,0.1857373737373737,0.367375,0.37725,0.03607455,0.006930462,x
69,pi+,2.7325,0.1879393939393939,0.367375,0.37725,0.035669055,0.006972063,x
70,pi+,2.7325,0.1901414141414141,0.367375,0.37725,0.03525521,0.0070143007,x
71,pi+,2.7325,0.1923434343434343,0.367375,0.37725,0.034834214,0.007059554,x
72,pi+,2.7325,0.1945454545454545,0.367375,0.37725,0.034407735,0.0071094534,x
73,pi+,2.7325,0.1967474747474747,0.367375,0.37725,0.0339771,0.0071640625,x
74,pi+,2.7325,0.1989494949494949,0.367375,0.37725,0.03354301,0.00722321,x
75,pi+,2.7325,0.2011515151515151,0.367375,0.37725,0.03310545,0.0072871814,x
76,pi+,2.7325,0.2033535353535353,0.367375,0.37725,0.032664478,0.007355654,x
77,pi+,2.7325,0.2055555555555555,0.367375,0.37725,0.03222126,0.0074274987,x
78,pi+,2.7325,0.2077575757575757,0.367375,0.37725,0.031775657,0.0075039705,x
79,pi+,2.7325,0.2099595959595959,0.367375,0.37725,0.03132806,0.0075845663,x
80,pi+,2.7325,0.2121616161616161,0.367375,0.37725,0.030878458,0.007669158,x
81,pi+,2.7325,0.2143636363636363,0.367375,0.37725,0.030426513,0.00775832,x
82,pi+,2.7325,0.2165656565656565,0.367375,0.37725,0.029972669,0.007851552,x
83,pi+,2.7325,0.2187676767676767,0.367375,0.37725,0.029516427,0.007949171,x
84,pi+,2.7325,0.2209696969696969,0.367375,0.37725,0.029057963,0.0080510415,x
85,pi+,2.7325,0.2231717171717172,0.367375,0.37725,0.028598014,0.008155944,x
86,pi+,2.7325,0.2253737373737374,0.367375,0.37725,0.02813679,0.008263952,x
87,pi+,2.7325,0.2275757575757575,0.367375,0.37725,0.02767413,0.008374809,x
88,pi+,2.7325,0.2297777777777777,0.367375,0.37725,0.027210103,0.008488038,x
89,pi+,2.7325,0.2319797979797979,0.367375,0.37725,0.026744928,0.008603508,x
90,pi+,2.7325,0.2341818181818181,0.367375,0.37725,0.026278585,0.008720796,x
91,pi+,2.7325,0.2363838383838384,0.367375,0.37725,0.025811363,0.008838982,x
92,pi+,2.7325,0.2385858585858586,0.367375,0.37725,0.02534361,0.008957691,x
93,pi+,2.7325,0.2407878787878788,0.367375,0.37725,0.024875535,0.0090768775,x
94,pi+,2.7325,0.242989898989899,0.367375,0.37725,0.02440763,0.009195837,x
95,pi+,2.7325,0.2451919191919192,0.367375,0.37725,0.023940003,0.009314654,x
96,pi+,2.7325,0.2473939393939394,0.367375,0.37725,0.02347239,0.009432997,x
97,pi+,2.7325,0.2495959595959596,0.367375,0.37725,0.023004688,0.009550954,x
98,pi+,2.7325,0.2517979797979798,0.367375,0.37725,0.022536721,0.009668534,x
99,pi+,2.7325,0.254,0.367375,0.37725,0.022068946,0.009785223,x
100,pi+,2.4172727272727275,0.1016363636363636,0.229,0.4179090909090909,0.034591608,0.0027628723,z
101,pi+,2.4172727272727275,0.1016363636363636,0.2359393939393939,0.4179090909090909,0.035339903,0.002818336,z
102,pi+,2.4172727272727275,0.1016363636363636,0.2428787878787879,0.4179090909090909,0.036030963,0.0028702933,z
103,pi+,2.4172727272727275,0.1016363636363636,0.2498181818181818,0.4179090909090909,0.036739927,0.002922304,z
104,pi+,2.4172727272727275,0.1016363636363636,0.2567575757575757,0.4179090909090909,0.037484188,0.0029753332,z
105,pi+,2.4172727272727275,0.1016363636363636,0.2636969696969697,0.4179090909090909,0.03819185,0.0030259534,z
106,pi+,2.4172727272727275,0.1016363636363636,0.2706363636363637,0.4179090909090909,0.03889067,0.0030755803,z
107,pi+,2.4172727272727275,0.1016363636363636,0.2775757575757576,0.4179090909090909,0.039591413,0.0031248545,z
108,pi+,2.4172727272727275,0.1016363636363636,0.2845151515151515,0.4179090909090909,0.040282577,0.003173249,z
109,pi+,2.4172727272727275,0.1016363636363636,0.2914545454545454,0.4179090909090909,0.040962882,0.0032207482,z
110,pi+,2.4172727272727275,0.1016363636363636,0.2983939393939394,0.4179090909090909,0.041627713,0.0032671436,z
111,pi+,2.4172727272727275,0.1016363636363636,0.3053333333333333,0.4179090909090909,0.042274445,0.0033123018,z
112,pi+,2.4172727272727275,0.1016363636363636,0.3122727272727272,0.4179090909090909,0.042900473,0.0033560647,z
113,pi+,2.4172727272727275,0.1016363636363636,0.3192121212121212,0.4179090909090909,0.04350769,0.0033986077,z
114,pi+,2.4172727272727275,0.1016363636363636,0.3261515151515152,0.4179090909090909,0.04409697,0.00344002,z
115,pi+,2.4172727272727275,0.1016363636363636,0.3330909090909091,0.4179090909090909,0.044662338,0.0034799182,z
116,pi+,2.4172727272727275,0.1016363636363636,0.340030303030303,0.4179090909090909,0.045204166,0.003518314,z
117,pi+,2.4172727272727275,0.1016363636363636,0.346969696969697,0.4179090909090909,0.045719042,0.003554972,z
118,pi+,2.4172727272727275,0.1016363636363636,0.3539090909090909,0.4179090909090909,0.04620562,0.0035897822,z
119,pi+,2.4172727272727275,0.1016363636363636,0.3608484848484848,0.4179090909090909,0.04666366,0.0036227077,z
120,pi+,2.4172727272727275,0.1016363636363636,0.3677878787878788,0.4179090909090909,0.047092173,0.0036536586,z
121,pi+,2.4172727272727275,0.1016363636363636,0.3747272727272727,0.4179090909090909,0.04749375,0.0036827822,z
122,pi+,2.4172727272727275,0.1016363636363636,0.3816666666666667,0.4179090909090909,0.047871143,0.0037102476,z
123,pi+,2.4172727272727275,0.1016363636363636,0.3886060606060606,0.4179090909090909,0.048224192,0.0037360338,z
124,pi+,2.4172727272727275,0.1016363636363636,0.3955454545454545,0.4179090909090909,0.048550986,0.003759997,z
125,pi+,2.4172727272727275,0.1016363636363636,0.4024848484848485,0.4179090909090909,0.04884344,0.0037815396,z
126,pi+,2.4172727272727275,0.1016363636363636,0.4094242424242424,0.4179090909090909,0.049106933,0.0038010157,z
127,pi+,2.4172727272727275,0.1016363636363636,0.4163636363636364,0.4179090909090909,0.049348895,0.0038189462,z
128,pi+,2.4172727272727275,0.1016363636363636,0.4233030303030303,0.4179090909090909,0.04956897,0.0038352956,z
129,pi+,2.4172727272727275,0.1016363636363636,0.4302424242424242,0.4179090909090909,0.04976269,0.0038497278,z
130,pi+,2.4172727272727275,0.1016363636363636,0.4371818181818182,0.4179090909090909,0.04993371,0.0038624995,z
131,pi+,2.4172727272727275,0.1016363636363636,0.4441212121212121,0.4179090909090909,0.050087288,0.0038739885,z
132,pi+,2.4172727272727275,0.1016363636363636,0.451060606060606,0.4179090909090909,0.050221246,0.0038840193,z
133,pi+,2.4172727272727275,0.1016363636363636,0.458,0.4179090909090909,0.050334234,0.0038924767,z
134,pi+,2.4172727272727275,0.1016363636363636,0.464939393939394,0.4179090909090909,0.050430052,0.0038996537,z
135,pi+,2.4172727272727275,0.1016363636363636,0.4718787878787879,0.4179090909090909,0.050510168,0.0039056586,z
136,pi+,2.4172727272727275,0.1016363636363636,0.4788181818181818,0.4179090909090909,0.050581146,0.0039109713,z
137,pi+,2.4172727272727275,0.1016363636363636,0.4857575757575757,0.4179090909090909,0.050640088,0.0039153816,z
138,pi+,2.4172727272727275,0.1016363636363636,0.4926969696969697,0.4179090909090909,0.05068065,0.0039184047,z
139,pi+,2.4172727272727275,0.1016363636363636,0.4996363636363636,0.4179090909090909,0.05071845,0.0039212443,z
140,pi+,2.4172727272727275,0.1016363636363636,0.5065757575757576,0.4179090909090909,0.050763812,0.003924715,z
141,pi+,2.4172727272727275,0.1016363636363636,0.5135151515151515,0.4179090909090909,0.050793428,0.0039270073,z
142,pi+,2.4172727272727275,0.1016363636363636,0.5204545454545455,0.4179090909090909,0.0508075,0.0039281226,z
143,pi+,2.4172727272727275,0.1016363636363636,0.5273939393939394,0.4179090909090909,0.050837114,0.00393046,z
144,pi+,2.4172727272727275,0.1016363636363636,0.5343333333333333,0.4179090909090909,0.05087045,0.0039331215,z
145,pi+,2.4172727272727275,0.1016363636363636,0.5412727272727272,0.4179090909090909,0.050878737,0.0039338567,z
146,pi+,2.4172727272727275,0.1016363636363636,0.5482121212121213,0.4179090909090909,0.05089333,0.003935182,z
147,pi+,2.4172727272727275,0.1016363636363636,0.5551515151515152,0.4179090909090909,0.05093908,0.003939134,z
148,pi+,2.4172727272727275,0.1016363636363636,0.5620909090909091,0.4179090909090909,0.05097125,0.0039421124,z
149,pi+,2.4172727272727275,0.1016363636363636,0.569030303030303,0.4179090909090909,0.050984193,0.003943628,z
150,pi+,2.4172727272727275,0.1016363636363636,0.575969696969697,0.4179090909090909,0.05103804,0.003948523,z
151,pi+,2.4172727272727275,0.1016363636363636,0.5829090909090909,0.4179090909090909,0.051114324,0.0039553633,z
152,pi+,2.4172727272727275,0.1016363636363636,0.5898484848484848,0.4179090909090909,0.05115703,0.0039595915,z
153,pi+,2.4172727272727275,0.1016363636363636,0.5967878787878788,0.4179090909090909,0.051201526,0.0039641084,z
154,pi+,2.4172727272727275,0.1016363636363636,0.6037272727272728,0.4179090909090909,0.05127758,0.003971452,z
155,pi+,2.4172727272727275,0.1016363636363636,0.6106666666666667,0.4179090909090909,0.05134353,0.0039781346,z
156,pi+,2.4172727272727275,0.1016363636363636,0.6176060606060606,0.4179090909090909,0.051388793,0.0039832327,z
157,pi+,2.4172727272727275,0.1016363636363636,0.6245454545454545,0.4179090909090909,0.051484987,0.003992901,z
158,pi+,2.4172727272727275,0.1016363636363636,0.6314848484848485,0.4179090909090909,0.051614456,0.004005718,z
159,pi+,2.4172727272727275,0.1016363636363636,0.6384242424242424,0.4179090909090909,0.05169746,0.004014745,z
160,pi+,2.4172727272727275,0.1016363636363636,0.6453636363636364,0.4179090909090909,0.051777754,0.0040237494,z
161,pi+,2.4172727272727275,0.1016363636363636,0.6523030303030303,0.4179090909090909,0.05189929,0.0040366356,z
162,pi+,2.4172727272727275,0.1016363636363636,0.6592424242424243,0.4179090909090909,0.0520199,0.0040497254,z
163,pi+,2.4172727272727275,0.1016363636363636,0.6661818181818182,0.4179090909090909,0.0521277,0.0040619294,z
164,pi+,2.4172727272727275,0.1016363636363636,0.6731212121212121,0.4179090909090909,0.052238688,0.0040747183,z
165,pi+,2.4172727272727275,0.1016363636363636,0.680060606060606,0.4179090909090909,0.052352842,0.004088089,z
166,pi+,2.4172727272727275,0.1016363636363636,0.687,0.4179090909090909,0.05246389,0.004101462,z
167,pi+,2.4172727272727275,0.1016363636363636,0.693939393939394,0.4179090909090909,0.052574612,0.0041150893,z
168,pi+,2.4172727272727275,0.1016363636363636,0.7008787878787879,0.4179090909090909,0.052688934,0.0041293236,z
169,pi+,2.4172727272727275,0.1016363636363636,0.7078181818181818,0.4179090909090909,0.05280327,0.004143831,z
170,pi+,2.4172727272727275,0.1016363636363636,0.7147575757575758,0.4179090909090909,0.052917164,0.00415857,z
171,pi+,2.4172727272727275,0.1016363636363636,0.7216969696969697,0.4179090909090909,0.053020906,0.0041726036,z
172,pi+,2.4172727272727275,0.1016363636363636,0.7286363636363636,0.4179090909090909,0.053115547,0.0041860067,z
173,pi+,2.4172727272727275,0.1016363636363636,0.7355757575757575,0.4179090909090909,0.053222194,0.004200851,z
174,pi+,2.4172727272727275,0.1016363636363636,0.7425151515151515,0.4179090909090909,0.053325538,0.004215624,z
175,pi+,2.4172727272727275,0.1016363636363636,0.7494545454545455,0.4179090909090909,0.053394873,0.0042272224,z
176,pi+,2.4172727272727275,0.1016363636363636,0.7563939393939394,0.4179090909090909,0.053459994,0.0042385943,z
