,hadron,Q2,x,z,phT,Siv,tot_err,1D_dependence
61,pi+,5.738888888888889,0.1800111111111111,0.349,0.5,0.048348,0.008896351,x
62,pi+,5.738888888888889,0.1828555555555555,0.349,0.5,0.047679573,0.008964264,x
63,pi+,5.738888888888889,0.1857,0.349,0.5,0.04700371,0.0090383375,x
64,pi+,5.738888888888889,0.1885444444444444,0.349,0.5,0.046315823,0.0091086235,x
65,pi+,5.738888888888889,0.1913888888888889,0.349,0.5,0.04560973,0.009181931,x
66,pi+,5.738888888888889,0.1942333333333333,0.349,0.5,0.044890266,0.009263858,x
67,pi+,5.738888888888889,0.1970777777777778,0.349,0.5,0.044161126,0.009356189,x
68,pi+,5.738888888888889,0.1999222222222222,0.349,0.5,0.043424375,0.009458496,x
69,pi+,5.738888888888889,0.2027666666666666,0.349,0.5,0.042679828,0.009571239,x
70,pi+,5.738888888888889,0.2056111111111111,0.349,0.5,0.041929472,0.009691926,x
71,pi+,5.738888888888889,0.2084555555555555,0.349,0.5,0.041173916,0.009822335,x
72,pi+,5.738888888888889,0.2113,0.349,0.5,0.04041395,0.009961412,x
73,pi+,5.738888888888889,0.2141444444444444,0.349,0.5,0.039649047,0.010110014,x
74,pi+,5.738888888888889,0.2169888888888889,0.349,0.5,0.03887976,0.01026772,x
75,pi+,5.738888888888889,0.2198333333333333,0.349,0.5,0.038105313,0.010434983,x
76,pi+,5.738888888888889,0.2226777777777778,0.349,0.5,0.037326775,0.010610243,x
77,pi+,5.738888888888889,0.2255222222222222,0.349,0.5,0.036545265,0.010792098,x
78,pi+,5.738888888888889,0.2283666666666667,0.349,0.5,0.035760645,0.010979924,x
79,pi+,5.738888888888889,0.2312111111111111,0.349,0.5,0.034973286,0.011172886,x
80,pi+,5.738888888888889,0.2340555555555555,0.349,0.5,0.034183323,0.011370264,x
81,pi+,5.738888888888889,0.2369,0.349,0.5,0.033391465,0.011569635,x
82,pi+,5.738888888888889,0.2397444444444444,0.349,0.5,0.0325985,0.011770467,x
83,pi+,5.738888888888889,0.2425888888888889,0.349,0.5,0.031805415,0.011971158,x
84,pi+,5.738888888888889,0.2454333333333333,0.349,0.5,0.03101284,0.012171484,x
85,pi+,5.738888888888889,0.2482777777777778,0.349,0.5,0.030220343,0.012370818,x
86,pi+,5.738888888888889,0.2511222222222222,0.349,0.5,0.029427383,0.0125696715,x
87,pi+,5.738888888888889,0.2539666666666667,0.349,0.5,0.028634742,0.012766491,x
88,pi+,5.738888888888889,0.2568111111111111,0.349,0.5,0.027842423,0.012962162,x
89,pi+,5.738888888888889,0.2596555555555556,0.349,0.5,0.027050193,0.013156493,x
90,pi+,5.738888888888889,0.2625,0.349,0.5,0.026259119,0.013347252,x
91,pi+,5.738888888888889,0.2653444444444444,0.349,0.5,0.025469555,0.013534137,x
92,pi+,5.738888888888889,0.2681888888888889,0.349,0.5,0.024682967,0.013713602,x
93,pi+,5.738888888888889,0.2710333333333333,0.349,0.5,0.023902882,0.013878269,x
94,pi+,5.738888888888889,0.2738777777777778,0.349,0.5,0.023127807,0.014032464,x
95,pi+,5.738888888888889,0.2767222222222222,0.349,0.5,0.022358848,0.014181004,x
96,pi+,5.738888888888889,0.2795666666666667,0.349,0.5,0.021604063,0.014302553,x
97,pi+,5.738888888888889,0.2824111111111111,0.349,0.5,0.020851076,0.0144028785,x
98,pi+,5.738888888888889,0.2852555555555556,0.349,0.5,0.02011762,0.014462092,x
99,pi+,5.738888888888889,0.2881,0.349,0.5,0.01942348,0.01444722,x
100,pi+,3.46125,0.0513249999999999,0.223,0.51,0.016954908,0.0014440957,z
101,pi+,3.46125,0.0513249999999999,0.2296161616161616,0.51,0.017334403,0.0014748554,z
102,pi+,3.46125,0.0513249999999999,0.2362323232323232,0.51,0.017753806,0.0015077825,z
103,pi+,3.46125,0.0513249999999999,0.2428484848484848,0.51,0.018136483,0.0015382683,z
104,pi+,3.46125,0.0513249999999999,0.2494646464646464,0.51,0.018540818,0.0015699032,z
105,pi+,3.46125,0.0513249999999999,0.2560808080808081,0.51,0.018983232,0.0016038095,z
106,pi+,3.46125,0.0513249999999999,0.2626969696969697,0.51,0.019407224,0.0016364927,z
107,pi+,3.46125,0.0513249999999999,0.2693131313131313,0.51,0.019828925,0.001668969,z
108,pi+,3.46125,0.0513249999999999,0.2759292929292929,0.51,0.020261936,0.0017021473,z
109,pi+,3.46125,0.0513249999999999,0.2825454545454545,0.51,0.0206971,0.0017354742,z
110,pi+,3.46125,0.0513249999999999,0.2891616161616162,0.51,0.021133475,0.001768924,z
111,pi+,3.46125,0.0513249999999999,0.2957777777777778,0.51,0.021565244,0.0018021249,z
112,pi+,3.46125,0.0513249999999999,0.3023939393939394,0.51,0.021992028,0.0018350595,z
113,pi+,3.46125,0.0513249999999999,0.309010101010101,0.51,0.02241007,0.001867463,z
114,pi+,3.46125,0.0513249999999999,0.3156262626262626,0.51,0.022820523,0.0018994167,z
115,pi+,3.46125,0.0513249999999999,0.3222424242424242,0.51,0.023223493,0.0019309295,z
116,pi+,3.46125,0.0513249999999999,0.3288585858585858,0.51,0.02361765,0.0019619036,z
117,pi+,3.46125,0.0513249999999999,0.3354747474747475,0.51,0.023999255,0.0019920906,z
118,pi+,3.46125,0.0513249999999999,0.3420909090909091,0.51,0.024369238,0.002021537,z
119,pi+,3.46125,0.0513249999999999,0.3487070707070707,0.51,0.0247241,0.0020498862,z
120,pi+,3.46125,0.0513249999999999,0.3553232323232323,0.51,0.02506374,0.0020771099,z
121,pi+,3.46125,0.0513249999999999,0.3619393939393939,0.51,0.025387345,0.0021031725,z
122,pi+,3.46125,0.0513249999999999,0.3685555555555555,0.51,0.025694387,0.002127999,z
123,pi+,3.46125,0.0513249999999999,0.3751717171717171,0.51,0.025985772,0.0021517084,z
124,pi+,3.46125,0.0513249999999999,0.3817878787878788,0.51,0.026261974,0.0021743889,z
125,pi+,3.46125,0.0513249999999999,0.3884040404040404,0.51,0.026523445,0.0021960149,z
126,pi+,3.46125,0.0513249999999999,0.395020202020202,0.51,0.026769532,0.0022164662,z
127,pi+,3.46125,0.0513249999999999,0.4016363636363637,0.51,0.02699326,0.002235129,z
128,pi+,3.46125,0.0513249999999999,0.4082525252525252,0.51,0.027200004,0.0022523957,z
129,pi+,3.46125,0.0513249999999999,0.4148686868686869,0.51,0.027393611,0.0022686229,z
130,pi+,3.46125,0.0513249999999999,0.4214848484848484,0.51,0.027574774,0.0022838635,z
131,pi+,3.46125,0.0513249999999999,0.4281010101010101,0.51,0.027740935,0.0022978545,z
132,pi+,3.46125,0.0513249999999999,0.4347171717171717,0.51,0.02789182,0.0023105666,z
133,pi+,3.46125,0.0513249999999999,0.4413333333333333,0.51,0.0280316,0.0023223883,z
134,pi+,3.46125,0.0513249999999999,0.447949494949495,0.51,0.028160285,0.0023333274,z
135,pi+,3.46125,0.0513249999999999,0.4545656565656565,0.51,0.02827823,0.0023434856,z
136,pi+,3.46125,0.0513249999999999,0.4611818181818182,0.51,0.028384972,0.0023527718,z
137,pi+,3.46125,0.0513249999999999,0.4677979797979797,0.51,0.028479837,0.002361059,z
138,pi+,3.46125,0.0513249999999999,0.4744141414141414,0.51,0.02856808,0.002368823,z
139,pi+,3.46125,0.0513249999999999,0.481030303030303,0.51,0.028654307,0.0023764719,z
140,pi+,3.46125,0.0513249999999999,0.4876464646464646,0.51,0.028731465,0.0023833762,z
141,pi+,3.46125,0.0513249999999999,0.4942626262626263,0.51,0.0287957,0.002389207,z
142,pi+,3.46125,0.0513249999999999,0.5008787878787879,0.51,0.028868053,0.0023956846,z
143,pi+,3.46125,0.0513249999999999,0.5074949494949496,0.51,0.028950889,0.0024030018,z
144,pi+,3.46125,0.0513249999999999,0.5141111111111111,0.51,0.029019002,0.0024090877,z
145,pi+,3.46125,0.0513249999999999,0.5207272727272727,0.51,0.029077325,0.0024143665,z
