,hadron,Q2,x,z,phT,1D_dependence
0,pi+,3.0141428571428572,0.036,0.3668571428571429,0.37899999999999995,x
1,pi+,3.0141428571428572,0.038414141414141414,0.3668571428571429,0.37899999999999995,x
2,pi+,3.0141428571428572,0.040828282828282825,0.3668571428571429,0.37899999999999995,x
3,pi+,3.0141428571428572,0.04324242424242424,0.3668571428571429,0.37899999999999995,x
4,pi+,3.0141428571428572,0.04565656565656565,0.3668571428571429,0.37899999999999995,x
5,pi+,3.0141428571428572,0.04807070707070707,0.3668571428571429,0.37899999999999995,x
6,pi+,3.0141428571428572,0.05048484848484848,0.3668571428571429,0.37899999999999995,x
7,pi+,3.0141428571428572,0.0528989898989899,0.3668571428571429,0.37899999999999995,x
8,pi+,3.0141428571428572,0.055313131313131314,0.3668571428571429,0.37899999999999995,x
9,pi+,3.0141428571428572,0.057727272727272724,0.3668571428571429,0.37899999999999995,x
10,pi+,3.0141428571428572,0.060141414141414135,0.3668571428571429,0.37899999999999995,x
11,pi+,3.0141428571428572,0.06255555555555556,0.3668571428571429,0.37899999999999995,x
12,pi+,3.0141428571428572,0.06496969696969697,0.3668571428571429,0.37899999999999995,x
13,pi+,3.0141428571428572,0.06738383838383838,0.3668571428571429,0.37899999999999995,x
14,pi+,3.0141428571428572,0.0697979797979798,0.3668571428571429,0.37899999999999995,x
15,pi+,3.0141428571428572,0.0722121212121212,0.3668571428571429,0.37899999999999995,x
16,pi+,3.0141428571428572,0.07462626262626262,0.3668571428571429,0.37899999999999995,x
17,pi+,3.0141428571428572,0.07704040404040405,0.3668571428571429,0.37899999999999995,x
18,pi+,3.0141428571428572,0.07945454545454544,0.3668571428571429,0.37899999999999995,x
19,pi+,3.0141428571428572,0.08186868686868687,0.3668571428571429,0.37899999999999995,x
20,pi+,3.0141428571428572,0.08428282828282828,0.3668571428571429,0.37899999999999995,x
21,pi+,3.0141428571428572,0.08669696969696969,0.3668571428571429,0.37899999999999995,x
22,pi+,3.0141428571428572,0.08911111111111111,0.3668571428571429,0.37899999999999995,x
23,pi+,3.0141428571428572,0.09152525252525252,0.3668571428571429,0.37899999999999995,x
24,pi+,3.0141428571428572,0.09393939393939393,0.3668571428571429,0.37899999999999995,x
25,pi+,3.0141428571428572,0.09635353535353536,0.3668571428571429,0.37899999999999995,x
26,pi+,3.0141428571428572,0.09876767676767675,0.3668571428571429,0.37899999999999995,x
27,pi+,3.0141428571428572,0.10118181818181818,0.3668571428571429,0.37899999999999995,x
28,pi+,3.0141428571428572,0.1035959595959596,0.3668571428571429,0.37899999999999995,x
29,pi+,3.0141428571428572,0.106010101010101,0.3668571428571429,0.37899999999999995,x
30,pi+,3.0141428571428572,0.10842424242424242,0.3668571428571429,0.37899999999999995,x
31,pi+,3.0141428571428572,0.11083838383838385,0.3668571428571429,0.37899999999999995,x
32,pi+,3.0141428571428572,0.11325252525252524,0.3668571428571429,0.37899999999999995,x
33,pi+,3.0141428571428572,0.11566666666666667,0.3668571428571429,0.37899999999999995,x
34,pi+,3.0141428571428572,0.11808080808080809,0.3668571428571429,0.37899999999999995,x
35,pi+,3.0141428571428572,0.12049494949494949,0.3668571428571429,0.37899999999999995,x
36,pi+,3.0141428571428572,0.12290909090909091,0.3668571428571429,0.37899999999999995,x
37,pi+,3.0141428571428572,0.1253232323232323,0.3668571428571429,0.37899999999999995,x
38,pi+,3.0141428571428572,0.12773737373737373,0.3668571428571429,0.37899999999999995,x
39,pi+,3.0141428571428572,0.13015151515151516,0.3668571428571429,0.37899999999999995,x
40,pi+,3.0141428571428572,0.13256565656565655,0.3668571428571429,0.37899999999999995,x
41,pi+,3.0141428571428572,0.13497979797979798,0.3668571428571429,0.37899999999999995,x
42,pi+,3.0141428571428572,0.1373939393939394,0.3668571428571429,0.37899999999999995,x
43,pi+,3.0141428571428572,0.1398080808080808,0.3668571428571429,0.37899999999999995,x
44,pi+,3.0141428571428572,0.14222222222222222,0.3668571428571429,0.37899999999999995,x
45,pi+,3.0141428571428572,0.14463636363636365,0.3668571428571429,0.37899999999999995,x
46,pi+,3.0141428571428572,0.14705050505050504,0.3668571428571429,0.37899999999999995,x
47,pi+,3.0141428571428572,0.14946464646464647,0.3668571428571429,0.37899999999999995,x
48,pi+,3.0141428571428572,0.1518787878787879,0.3668571428571429,0.37899999999999995,x
49,pi+,3.0141428571428572,0.1542929292929293,0.3668571428571429,0.37899999999999995,x
50,pi+,3.0141428571428572,0.1567070707070707,0.3668571428571429,0.37899999999999995,x
51,pi+,3.0141428571428572,0.1591212121212121,0.3668571428571429,0.37899999999999995,x
52,pi+,3.0141428571428572,0.16153535353535353,0.3668571428571429,0.37899999999999995,x
53,pi+,3.0141428571428572,0.16394949494949496,0.3668571428571429,0.37899999999999995,x
54,pi+,3.0141428571428572,0.16636363636363638,0.3668571428571429,0.37899999999999995,x
55,pi+,3.0141428571428572,0.16877777777777778,0.3668571428571429,0.37899999999999995,x
56,pi+,3.0141428571428572,0.1711919191919192,0.3668571428571429,0.37899999999999995,x
57,pi+,3.0141428571428572,0.17360606060606062,0.3668571428571429,0.37899999999999995,x
58,pi+,3.0141428571428572,0.17602020202020202,0.3668571428571429,0.37899999999999995,x
59,pi+,3.0141428571428572,0.17843434343434345,0.3668571428571429,0.37899999999999995,x
60,pi+,3.0141428571428572,0.18084848484848484,0.3668571428571429,0.37899999999999995,x
61,pi+,3.0141428571428572,0.18326262626262627,0.3668571428571429,0.37899999999999995,x
62,pi+,3.0141428571428572,0.1856767676767677,0.3668571428571429,0.37899999999999995,x
