,Hadron,Dependence,QQ,x,z,phT,A_SIDIS
0,pi+,x,1.29,0.036,0.336,0.486,0.0289
1,pi+,x,1.64,0.056,0.356,0.408,0.0285
2,pi+,x,1.98,0.074,0.366,0.375,0.0571
3,pi+,x,2.34,0.093,0.374,0.358,0.047
4,pi+,x,2.34,0.093,0.374,0.358,0.047
5,pi+,x,2.87,0.118,0.379,0.348,0.0383
6,pi+,x,3.69,0.157,0.379,0.342,0.04
7,pi+,x,5.71,0.254,0.375,0.343,0.0571
8,pi+,z,2.44,0.087,0.229,0.344,0.0257
9,pi+,z,2.46,0.094,0.289,0.371,0.0334
10,pi+,z,2.45,0.098,0.349,0.394,0.0454
11,pi+,z,2.45,0.1,0.413,0.418,0.0355
12,pi+,z,2.44,0.101,0.483,0.441,0.0444
13,pi+,z,2.44,0.101,0.483,0.441,0.0444
14,pi+,z,2.43,0.102,0.558,0.46,0.0699
15,pi+,z,2.41,0.104,0.647,0.466,0.0691
16,pi+,z,2.41,0.107,0.729,0.453,0.101
17,pi+,z,2.35,0.108,0.798,0.433,0.0707
18,pi+,z,2.31,0.116,0.916,0.376,-0.0025
19,pi+,phT,2.56,0.11,0.341,0.11,0.0001
20,pi+,phT,2.56,0.108,0.35,0.211,0.0189
21,pi+,phT,2.52,0.103,0.354,0.28,0.0338
22,pi+,phT,2.46,0.097,0.355,0.345,0.0434
23,pi+,phT,2.46,0.097,0.355,0.345,0.0434
24,pi+,phT,2.39,0.09,0.356,0.446,0.062
25,pi+,phT,2.34,0.084,0.373,0.594,0.059
26,pi+,phT,2.3,0.076,0.429,0.849,0.068
0,pi0,x,1.3,0.036,0.325,0.492,-0.0132
1,pi0,x,1.72,0.056,0.352,0.406,-0.0145
2,pi0,x,2.14,0.074,0.366,0.374,0.0556
3,pi0,x,2.58,0.093,0.372,0.353,0.0339
4,pi0,x,2.58,0.093,0.372,0.353,0.0339
5,pi0,x,3.19,0.118,0.378,0.338,0.0196
6,pi0,x,4.1,0.156,0.38,0.323,0.0312
7,pi0,x,6.14,0.249,0.386,0.326,0.0437
8,pi0,z,2.45,0.078,0.229,0.337,0.0165
9,pi0,z,2.49,0.085,0.289,0.372,-0.0243
10,pi0,z,2.52,0.09,0.348,0.401,0.0148
11,pi0,z,2.53,0.095,0.413,0.427,0.0536
12,pi0,z,2.55,0.099,0.483,0.45,0.0452
13,pi0,z,2.55,0.099,0.483,0.45,0.0452
14,pi0,z,2.57,0.102,0.557,0.469,0.0225
15,pi0,z,2.59,0.106,0.645,0.483,0.0738
16,pi0,z,2.61,0.112,0.728,0.494,0.0384
17,pi0,z,2.66,0.116,0.796,0.488,0.1329
18,pi0,z,2.56,0.121,0.908,0.478,0.0734
19,pi0,phT,2.82,0.114,0.338,0.111,-0.0108
20,pi0,phT,2.69,0.103,0.34,0.211,0.0483
21,pi0,phT,2.59,0.095,0.343,0.28,0.0635
22,pi0,phT,2.49,0.088,0.347,0.345,0.0237
23,pi0,phT,2.49,0.088,0.347,0.345,0.0237
24,pi0,phT,2.39,0.081,0.353,0.446,0.0332
25,pi0,phT,2.3,0.074,0.371,0.595,0.0101
26,pi0,phT,2.27,0.071,0.428,0.849,0.0322
0,pi-,x,1.29,0.036,0.33,0.481,0.0123
1,pi-,x,1.64,0.056,0.35,0.402,0.0139
2,pi-,x,1.98,0.074,0.359,0.369,-0.0024
3,pi-,x,2.33,0.093,0.366,0.354,-0.0077
