,parameter,value
0,m1,1.1491499813888102
1,Nu,2.707238330807177
2,alphau,2.2246997066093672
3,betau,0.09250669854586493
4,Nubar,1.9312724293597312
5,alphaub,1.9430150320618989
6,betaub,0.1142288134100666
7,Nd,2.446073388665766
8,alphad,1.8462901874510589
9,betad,0.11660804821964398
10,Ndbar,-0.6742876744553036
11,alphadb,2.271080522369622
12,betadb,0.01934897913217133
13,Ns,-0.4301676686072547
14,alphas,1.7849191817614667
15,betas,0.5184920836295324
16,Nsbar,-0.15386395790140028
17,alphasb,0.3588738877114875
18,betasb,0.15246047948160862
