,m1,Nu,au,bu,Nub,Nd,ad,bd,Ndb,Ns,aS,bS,Nsb
0,6.505742701804696,0.9556676214398242,2.9438610696147665,18.610162535972652,-0.12883792271535252,-1.8540224613432887,3.0240876107259362,12.57058289587412,-0.09411870977487377,-23.080194946224793,9.274208144882799,10.85606697144129,0.013828522420672118
1,7.1207175687310515,0.8468033702174118,2.9714607704588816,21.369403489961456,-0.09682925430373746,-2.354548132048557,2.228240033914394,21.12588129278878,-0.335998484030846,-5.628307587327059,4.170575565082091,4.494679574124429,0.10800408351186705
2,6.678279892670877,0.8613735534980395,2.9049660244254767,18.4196046133437,-0.10444634804441208,-2.7655535633640227,2.9689549084413036,17.612544329573954,0.08806412865939334,7.26425866226554,2.6881109230154854,11.935717429791262,-0.22066532380400394
3,8.22505508497045,0.9199285940798644,2.4718088790218298,20.102586937083586,-0.1708741492704487,-2.0440543627925263,1.9091801442820544,17.007323130777856,-0.1551329499280179,-11.49168997681247,4.818933062967713,21.358624181987583,-0.2027509500863604
4,6.529006889823849,0.910532793220894,2.9659416770146625,18.413392788123552,-0.11385650842418196,-1.9226797428377158,2.975333986787496,16.986445470322476,0.12948066608775055,-9.419934189296026,3.445336384222819,12.540356686464651,-0.2390771442982886
5,6.587553331876023,0.9282689399142746,2.7509379118597455,16.32143255489882,0.028255159427985344,-2.7833983948091263,2.4055726895161555,18.84520374643753,0.0017355220443032726,-4.993810116979569,3.9960548447839814,14.271051461165303,-0.2707007859051357
6,7.6637942137234365,0.8429902841997626,2.631265815505704,17.875807263995245,-0.09060475262873074,-2.0916177277320163,3.010391373347719,17.869806859121997,-0.3770391673330271,-14.030673847944552,4.175995939668588,9.213230006781195,-0.08312460573327929
7,7.289678670465655,0.9512378109695561,2.7640584844184732,21.479585305532282,-0.012655664396846955,-2.636760236962491,2.218230754464222,18.34593218889657,-0.17922635458333058,-22.45499113791565,5.650087090272536,8.459008773605861,-0.18383464243897754
8,6.655243739463771,0.956807937952954,2.775850644781895,19.38128746030722,-0.1154267349572902,-2.51229507217361,2.0431605969323656,18.793779045245383,-0.34134371511659556,-15.340692420345174,8.362906075244453,8.663236116049088,0.17709727929239608
9,7.811679839601571,0.8781880267085099,2.878927924451137,21.240365685617626,-0.07470326718988059,-2.3759089501828945,1.8447058816216817,18.379985417543082,-0.5716789554270529,-3.0281963825273515,5.045755521978387,15.160427587599234,0.1943551415510059
