,parameter,value
0,m1,0.9097376909640383
1,Nu,2.3677226938492573
2,alphau,1.7106013129917055
3,betau,0.05293865293999145
4,Nubar,2.495872741048823
5,alphaub,2.239796626428347
6,betaub,0.09007946764478927
7,Nd,2.4334625043629643
8,alphad,1.9405146962071222
9,betad,0.1094012310252707
10,Ndbar,-1.8900737226977413
11,alphadb,2.6428773009644835
12,betadb,0.0442579672786588
13,Ns,0.5635273589334809
14,alphas,1.8647224976324368
15,betas,0.527638956706958
16,Nsbar,-0.1309678668002099
17,alphasb,0.5903249556321589
18,betasb,0.050544201671935886
