,parameter,value
0,m1,1.1779040834668733
1,Nu,3.48242656160677
2,alphau,2.057635949758404
3,betau,0.04659093368760319
4,Nubar,2.669304572035844
5,alphaub,1.9678384269736038
6,betaub,0.09073131954557903
7,Nd,1.9538610853278189
8,alphad,2.393175870983129
9,betad,0.0878021514472798
10,Ndbar,-1.763591284859841
11,alphadb,2.599388075799048
12,betadb,0.0405231507582884
13,Ns,-0.045456135562756156
14,alphas,1.6462155130351885
15,betas,0.5227660514608151
16,Nsbar,-0.12282873369772157
17,alphasb,0.7922136643242342
18,betasb,0.08306274915251191
